Dataset,method,Experiment,Accuracy,RMSE
22_seeds,multi,1,0.8810 ± 0.0000,0.6726 ± 0.0000
22_seeds,multi,2,0.8810 ± 0.0000,0.6250 ± 0.0476
22_seeds,multi,3,0.8810 ± 0.0000,0.6408 ± 0.0449
22_seeds,multi,4,0.8810 ± 0.0000,0.6397 ± 0.0389
22_seeds,multi,5,0.8810 ± 0.0000,0.6352 ± 0.0360
22_seeds,multi,6,0.8810 ± 0.0000,0.6354 ± 0.0328
22_seeds,multi,7,0.8810 ± 0.0000,0.6381 ± 0.0311
22_seeds,multi,8,0.8810 ± 0.0000,0.6446 ± 0.0338
22_seeds,multi,9,0.8810 ± 0.0000,0.6457 ± 0.0320
22_seeds,multi,10,0.8810 ± 0.0000,0.6535 ± 0.0384
22_seeds,multi,11,0.8810 ± 0.0000,0.6569 ± 0.0381
22_seeds,multi,12,0.8810 ± 0.0000,0.6567 ± 0.0364
22_seeds,multi,13,0.8810 ± 0.0000,0.6473 ± 0.0478
22_seeds,multi,14,0.8810 ± 0.0000,0.6423 ± 0.0495
22_seeds,multi,15,0.8810 ± 0.0000,0.6466 ± 0.0504
22_seeds,multi,16,0.8810 ± 0.0000,0.6435 ± 0.0503
22_seeds,multi,17,0.8810 ± 0.0000,0.6492 ± 0.0538
22_seeds,multi,18,0.8810 ± 0.0000,0.6505 ± 0.0525
22_seeds,multi,19,0.8810 ± 0.0000,0.6561 ± 0.0563
22_seeds,multi,20,0.8810 ± 0.0000,0.6586 ± 0.0560
22_seeds,multi,21,0.8810 ± 0.0000,0.6609 ± 0.0556
22_seeds,multi,22,0.8810 ± 0.0000,0.6638 ± 0.0559
22_seeds,multi,23,0.8810 ± 0.0000,0.6634 ± 0.0547
22_seeds,multi,24,0.8810 ± 0.0000,0.6652 ± 0.0542
22_seeds,multi,25,0.8810 ± 0.0000,0.6608 ± 0.0573
22_seeds,multi,26,0.8810 ± 0.0000,0.6620 ± 0.0564
22_seeds,multi,27,0.8810 ± 0.0000,0.6630 ± 0.0556
22_seeds,multi,28,0.8810 ± 0.0000,0.6621 ± 0.0549
22_seeds,multi,29,0.8810 ± 0.0000,0.6577 ± 0.0587
22_seeds,multi,30,0.8810 ± 0.0000,0.6582 ± 0.0578
