Dataset,method,Experiment,Accuracy
18_maternal,dynamic,23,0.3892 ± 0.0000
18_maternal,dynamic,24,0.3596 ± 0.0000
18_maternal,dynamic,25,0.4384 ± 0.0000
18_maternal,dynamic,26,0.3596 ± 0.0000
18_maternal,dynamic,27,0.3695 ± 0.0000
18_maternal,dynamic,28,0.3744 ± 0.0000
18_maternal,dynamic,29,0.3645 ± 0.0000
18_maternal,dynamic,30,0.3498 ± 0.0000
18_maternal,1_zero+knn,1,0.4754 ± 0.0369
18_maternal,1_zero+knn,2,0.5111 ± 0.0476
18_maternal,1_zero+knn,3,0.4860 ± 0.0557
18_maternal,1_zero+knn,4,0.4889 ± 0.0524
18_maternal,1_zero+knn,5,0.4985 ± 0.0514
18_maternal,1_zero+knn,6,0.5008 ± 0.0539
18_maternal,1_zero+knn,7,0.5032 ± 0.0511
18_maternal,1_zero+knn,8,0.5031 ± 0.0503
18_maternal,1_zero+knn,9,0.5033 ± 0.0505
18_maternal,1_zero+knn,10,0.5005 ± 0.0524
18_maternal,1_zero+knn,11,0.4962 ± 0.0558
18_maternal,1_zero+knn,12,0.4996 ± 0.0547
18_maternal,1_zero+knn,13,0.4991 ± 0.0530
18_maternal,1_zero+knn,14,0.4996 ± 0.0515
18_maternal,1_zero+knn,15,0.5059 ± 0.0561
18_maternal,1_zero+knn,16,0.5072 ± 0.0556
18_maternal,1_zero+knn,17,0.5059 ± 0.0543
18_maternal,1_zero+knn,18,0.5088 ± 0.0542
18_maternal,1_zero+knn,19,0.5083 ± 0.0529
18_maternal,1_zero+knn,20,0.5110 ± 0.0534
18_maternal,1_zero+knn,21,0.5131 ± 0.0539
18_maternal,1_zero+knn,22,0.5162 ± 0.0555
18_maternal,1_zero+knn,23,0.5170 ± 0.0550
18_maternal,1_zero+knn,24,0.5168 ± 0.0549
18_maternal,1_zero+knn,25,0.5162 ± 0.0544
18_maternal,1_zero+knn,26,0.5180 ± 0.0549
18_maternal,1_zero+knn,27,0.5170 ± 0.0551
18_maternal,1_zero+knn,28,0.5171 ± 0.0542
18_maternal,1_zero+knn,29,0.5178 ± 0.0536
18_maternal,1_zero+knn,30,0.5166 ± 0.0532
18_maternal,4_knn + dynamic,1,0.6773 ± 0.0419
18_maternal,4_knn + dynamic,2,0.6687 ± 0.0416
18_maternal,4_knn + dynamic,3,0.6741 ± 0.0487
18_maternal,4_knn + dynamic,4,0.6730 ± 0.0477
18_maternal,4_knn + dynamic,5,0.6778 ± 0.0542
18_maternal,4_knn + dynamic,6,0.6814 ± 0.0515
18_maternal,4_knn + dynamic,7,0.6805 ± 0.0500
18_maternal,4_knn + dynamic,8,0.6826 ± 0.0527
18_maternal,4_knn + dynamic,9,0.6839 ± 0.0524
18_maternal,4_knn + dynamic,10,0.6879 ± 0.0545
18_maternal,4_knn + dynamic,11,0.6890 ± 0.0528
18_maternal,4_knn + dynamic,12,0.6874 ± 0.0546
18_maternal,4_knn + dynamic,13,0.6861 ± 0.0560
18_maternal,4_knn + dynamic,14,0.6851 ± 0.0558
18_maternal,4_knn + dynamic,15,0.6857 ± 0.0552
18_maternal,4_knn + dynamic,16,0.6858 ± 0.0564
18_maternal,4_knn + dynamic,17,0.6857 ± 0.0562
18_maternal,4_knn + dynamic,18,0.6824 ± 0.0571
18_maternal,4_knn + dynamic,19,0.6823 ± 0.0567
18_maternal,4_knn + dynamic,20,0.6821 ± 0.0574
18_maternal,4_knn + dynamic,21,0.6825 ± 0.0580
18_maternal,4_knn + dynamic,22,0.6836 ± 0.0601
18_maternal,4_knn + dynamic,23,0.6844 ± 0.0619
18_maternal,4_knn + dynamic,24,0.6823 ± 0.0620
18_maternal,4_knn + dynamic,25,0.6844 ± 0.0625
18_maternal,4_knn + dynamic,26,0.6839 ± 0.0626
18_maternal,4_knn + dynamic,27,0.6840 ± 0.0617
18_maternal,4_knn + dynamic,28,0.6843 ± 0.0625
18_maternal,4_knn + dynamic,29,0.6845 ± 0.0624
18_maternal,4_knn + dynamic,30,0.6837 ± 0.0617
18_maternal,5_knn+datawig,1,0.3695 ± 0.0000
18_maternal,5_knn+datawig,2,0.4372 ± 0.0683
18_maternal,5_knn+datawig,3,0.4688 ± 0.0715
18_maternal,5_knn+datawig,4,0.4821 ± 0.0663
18_maternal,5_knn+datawig,5,0.4882 ± 0.0615
18_maternal,5_knn+datawig,6,0.4979 ± 0.0608
18_maternal,5_knn+datawig,7,0.5049 ± 0.0588
18_maternal,5_knn+datawig,8,0.5071 ± 0.0585
18_maternal,5_knn+datawig,9,0.5115 ± 0.0570
18_maternal,5_knn+datawig,10,0.5123 ± 0.0545
18_maternal,5_knn+datawig,11,0.5065 ± 0.0601
18_maternal,5_knn+datawig,12,0.5084 ± 0.0584
18_maternal,5_knn+datawig,13,0.5117 ± 0.0586
18_maternal,5_knn+datawig,14,0.5104 ± 0.0567
18_maternal,5_knn+datawig,15,0.5148 ± 0.0584
18_maternal,5_knn+datawig,16,0.5120 ± 0.0606
18_maternal,5_knn+datawig,17,0.5097 ± 0.0625
18_maternal,5_knn+datawig,18,0.5092 ± 0.0611
18_maternal,5_knn+datawig,19,0.5093 ± 0.0596
18_maternal,5_knn+datawig,20,0.5080 ± 0.0592
18_maternal,5_knn+datawig,21,0.5121 ± 0.0607
18_maternal,5_knn+datawig,22,0.5160 ± 0.0623
18_maternal,5_knn+datawig,23,0.5186 ± 0.0622
18_maternal,5_knn+datawig,24,0.5173 ± 0.0615
18_maternal,5_knn+datawig,25,0.5184 ± 0.0606
18_maternal,5_knn+datawig,26,0.5176 ± 0.0597
18_maternal,5_knn+datawig,27,0.5147 ± 0.0605
18_maternal,5_knn+datawig,28,0.5165 ± 0.0602
18_maternal,5_knn+datawig,29,0.5172 ± 0.0592
18_maternal,5_knn+datawig,30,0.5160 ± 0.0589
18_maternal,6_dynamic + datawig,1,0.6626 ± 0.0271
18_maternal,6_dynamic + datawig,2,0.6601 ± 0.0325
18_maternal,6_dynamic + datawig,3,0.6650 ± 0.0395
18_maternal,6_dynamic + datawig,4,0.6619 ± 0.0372
18_maternal,6_dynamic + datawig,5,0.6655 ± 0.0418
18_maternal,6_dynamic + datawig,6,0.6749 ± 0.0493
18_maternal,6_dynamic + datawig,7,0.6717 ± 0.0465
18_maternal,6_dynamic + datawig,8,0.6736 ± 0.0482
18_maternal,6_dynamic + datawig,9,0.6757 ± 0.0484
18_maternal,6_dynamic + datawig,10,0.6781 ± 0.0477
18_maternal,6_dynamic + datawig,11,0.6785 ± 0.0460
18_maternal,6_dynamic + datawig,12,0.6778 ± 0.0484
18_maternal,6_dynamic + datawig,13,0.6766 ± 0.0497
18_maternal,6_dynamic + datawig,14,0.6752 ± 0.0489
18_maternal,6_dynamic + datawig,15,0.6759 ± 0.0481
18_maternal,6_dynamic + datawig,16,0.6752 ± 0.0486
18_maternal,6_dynamic + datawig,17,0.6740 ± 0.0477
18_maternal,6_dynamic + datawig,18,0.6704 ± 0.0492
18_maternal,6_dynamic + datawig,19,0.6701 ± 0.0485
18_maternal,6_dynamic + datawig,20,0.6708 ± 0.0502
18_maternal,6_dynamic + datawig,21,0.6716 ± 0.0512
