Dataset,method,Experiment,Accuracy
14_national,zero,21,0.9167 ± 0.0000
14_national,zero,22,0.9013 ± 0.0000
14_national,zero,23,0.8991 ± 0.0000
14_national,zero,24,0.9167 ± 0.0000
14_national,zero,25,0.9035 ± 0.0000
14_national,zero,26,0.9035 ± 0.0000
14_national,zero,27,0.8969 ± 0.0000
14_national,zero,28,0.8904 ± 0.0000
14_national,zero,29,0.8882 ± 0.0000
14_national,zero,30,0.8925 ± 0.0000
14_national,3_zero+datawig,1,0.8947 ± 0.0219
14_national,3_zero+datawig,2,0.9090 ± 0.0213
14_national,3_zero+datawig,3,0.9108 ± 0.0187
14_national,3_zero+datawig,4,0.9139 ± 0.0179
14_national,3_zero+datawig,5,0.9149 ± 0.0175
14_national,3_zero+datawig,6,0.9196 ± 0.0192
14_national,3_zero+datawig,7,0.9168 ± 0.0191
14_national,3_zero+datawig,8,0.9154 ± 0.0183
14_national,3_zero+datawig,9,0.9161 ± 0.0194
14_national,3_zero+datawig,10,0.9163 ± 0.0191
14_national,3_zero+datawig,11,0.9185 ± 0.0194
14_national,3_zero+datawig,12,0.9179 ± 0.0193
14_national,3_zero+datawig,13,0.9172 ± 0.0187
14_national,3_zero+datawig,14,0.9156 ± 0.0195
14_national,3_zero+datawig,15,0.9162 ± 0.0191
14_national,3_zero+datawig,16,0.9154 ± 0.0191
14_national,3_zero+datawig,17,0.9149 ± 0.0191
14_national,3_zero+datawig,18,0.9144 ± 0.0188
14_national,3_zero+datawig,19,0.9143 ± 0.0185
14_national,3_zero+datawig,20,0.9147 ± 0.0183
14_national,3_zero+datawig,21,0.9154 ± 0.0182
14_national,3_zero+datawig,22,0.9151 ± 0.0183
14_national,3_zero+datawig,23,0.9153 ± 0.0180
14_national,3_zero+datawig,24,0.9154 ± 0.0177
14_national,3_zero+datawig,25,0.9155 ± 0.0174
14_national,3_zero+datawig,26,0.9152 ± 0.0174
14_national,3_zero+datawig,27,0.9151 ± 0.0174
14_national,3_zero+datawig,28,0.9143 ± 0.0176
14_national,3_zero+datawig,29,0.9139 ± 0.0175
14_national,3_zero+datawig,30,0.9135 ± 0.0175
14_national,4_knn + dynamic,1,0.9079 ± 0.0482
14_national,4_knn + dynamic,2,0.9156 ± 0.0438
14_national,4_knn + dynamic,3,0.9181 ± 0.0432
14_national,4_knn + dynamic,4,0.9183 ± 0.0423
14_national,4_knn + dynamic,5,0.9189 ± 0.0441
14_national,4_knn + dynamic,6,0.9178 ± 0.0449
14_national,4_knn + dynamic,7,0.9148 ± 0.0470
14_national,4_knn + dynamic,8,0.9142 ± 0.0461
14_national,4_knn + dynamic,9,0.9124 ± 0.0471
14_national,4_knn + dynamic,10,0.9111 ± 0.0486
14_national,4_knn + dynamic,11,0.9125 ± 0.0486
14_national,4_knn + dynamic,12,0.9121 ± 0.0486
14_national,4_knn + dynamic,13,0.9129 ± 0.0483
14_national,4_knn + dynamic,14,0.9126 ± 0.0484
14_national,4_knn + dynamic,15,0.9121 ± 0.0479
14_national,4_knn + dynamic,16,0.9104 ± 0.0485
14_national,4_knn + dynamic,17,0.9100 ± 0.0487
14_national,4_knn + dynamic,18,0.9100 ± 0.0489
14_national,4_knn + dynamic,19,0.9094 ± 0.0498
14_national,4_knn + dynamic,20,0.9098 ± 0.0495
14_national,4_knn + dynamic,21,0.9103 ± 0.0493
14_national,4_knn + dynamic,22,0.9102 ± 0.0492
14_national,4_knn + dynamic,23,0.9097 ± 0.0497
14_national,4_knn + dynamic,24,0.9104 ± 0.0496
14_national,4_knn + dynamic,25,0.9103 ± 0.0500
14_national,4_knn + dynamic,26,0.9104 ± 0.0499
14_national,4_knn + dynamic,27,0.9100 ± 0.0503
14_national,4_knn + dynamic,28,0.9094 ± 0.0507
14_national,4_knn + dynamic,29,0.9091 ± 0.0507
14_national,4_knn + dynamic,30,0.9090 ± 0.0505
14_national,5_knn+datawig,1,0.9221 ± 0.0033
14_national,5_knn+datawig,2,0.9276 ± 0.0117
14_national,5_knn+datawig,3,0.9287 ± 0.0106
14_national,5_knn+datawig,4,0.9312 ± 0.0102
14_national,5_knn+datawig,5,0.9316 ± 0.0092
14_national,5_knn+datawig,6,0.9349 ± 0.0113
14_national,5_knn+datawig,7,0.9309 ± 0.0146
14_national,5_knn+datawig,8,0.9293 ± 0.0148
14_national,5_knn+datawig,9,0.9301 ± 0.0141
14_national,5_knn+datawig,10,0.9314 ± 0.0142
14_national,5_knn+datawig,11,0.9328 ± 0.0146
14_national,5_knn+datawig,12,0.9327 ± 0.0140
14_national,5_knn+datawig,13,0.9331 ± 0.0144
14_national,5_knn+datawig,14,0.9323 ± 0.0145
14_national,5_knn+datawig,15,0.9328 ± 0.0143
14_national,5_knn+datawig,16,0.9317 ± 0.0145
14_national,5_knn+datawig,17,0.9312 ± 0.0143
14_national,5_knn+datawig,18,0.9306 ± 0.0143
14_national,5_knn+datawig,19,0.9305 ± 0.0140
14_national,5_knn+datawig,20,0.9310 ± 0.0138
14_national,5_knn+datawig,21,0.9312 ± 0.0135
14_national,5_knn+datawig,22,0.9313 ± 0.0134
14_national,5_knn+datawig,23,0.9310 ± 0.0132
14_national,5_knn+datawig,24,0.9310 ± 0.0130
14_national,5_knn+datawig,25,0.9311 ± 0.0129
14_national,5_knn+datawig,26,0.9313 ± 0.0126
14_national,5_knn+datawig,27,0.9310 ± 0.0125
14_national,5_knn+datawig,28,0.9305 ± 0.0127
