Dataset,method,Experiment,Accuracy
11_iris,4_knn + dynamic,6,0.7806 ± 0.1109
11_iris,4_knn + dynamic,7,0.7619 ± 0.1207
11_iris,4_knn + dynamic,8,0.7625 ± 0.1224
11_iris,4_knn + dynamic,9,0.7611 ± 0.1188
11_iris,4_knn + dynamic,10,0.7667 ± 0.1197
11_iris,4_knn + dynamic,11,0.7606 ± 0.1225
11_iris,4_knn + dynamic,12,0.7556 ± 0.1220
11_iris,4_knn + dynamic,13,0.7603 ± 0.1205
11_iris,4_knn + dynamic,14,0.7607 ± 0.1165
11_iris,4_knn + dynamic,15,0.7667 ± 0.1155
11_iris,4_knn + dynamic,16,0.7615 ± 0.1225
11_iris,4_knn + dynamic,17,0.7588 ± 0.1210
11_iris,4_knn + dynamic,18,0.7574 ± 0.1201
11_iris,4_knn + dynamic,19,0.7614 ± 0.1220
11_iris,4_knn + dynamic,20,0.7650 ± 0.1236
11_iris,4_knn + dynamic,21,0.7595 ± 0.1231
11_iris,4_knn + dynamic,22,0.7591 ± 0.1229
11_iris,4_knn + dynamic,23,0.7543 ± 0.1222
11_iris,4_knn + dynamic,24,0.7569 ± 0.1215
11_iris,4_knn + dynamic,25,0.7560 ± 0.1208
11_iris,4_knn + dynamic,26,0.7564 ± 0.1201
11_iris,4_knn + dynamic,27,0.7593 ± 0.1215
11_iris,4_knn + dynamic,28,0.7565 ± 0.1221
11_iris,4_knn + dynamic,29,0.7546 ± 0.1219
11_iris,4_knn + dynamic,30,0.7550 ± 0.1212
11_iris,5_knn+datawig,1,0.7333 ± 0.0000
11_iris,5_knn+datawig,2,0.7500 ± 0.0167
11_iris,5_knn+datawig,3,0.7278 ± 0.0356
11_iris,5_knn+datawig,4,0.7292 ± 0.0309
11_iris,5_knn+datawig,5,0.7333 ± 0.0298
11_iris,5_knn+datawig,6,0.7139 ± 0.0517
11_iris,5_knn+datawig,7,0.7000 ± 0.0591
11_iris,5_knn+datawig,8,0.6917 ± 0.0595
11_iris,5_knn+datawig,9,0.6815 ± 0.0631
11_iris,5_knn+datawig,10,0.6900 ± 0.0651
11_iris,5_knn+datawig,11,0.6955 ± 0.0646
11_iris,5_knn+datawig,12,0.6944 ± 0.0621
11_iris,5_knn+datawig,13,0.6910 ± 0.0610
11_iris,5_knn+datawig,14,0.6821 ± 0.0670
11_iris,5_knn+datawig,15,0.6844 ± 0.0654
11_iris,5_knn+datawig,16,0.6854 ± 0.0634
11_iris,5_knn+datawig,17,0.6863 ± 0.0616
11_iris,5_knn+datawig,18,0.6843 ± 0.0606
11_iris,5_knn+datawig,19,0.6798 ± 0.0619
11_iris,5_knn+datawig,20,0.6767 ± 0.0620
11_iris,5_knn+datawig,21,0.6738 ± 0.0620
11_iris,5_knn+datawig,22,0.6758 ± 0.0613
11_iris,5_knn+datawig,23,0.6674 ± 0.0717
11_iris,5_knn+datawig,24,0.6667 ± 0.0704
11_iris,5_knn+datawig,25,0.6640 ± 0.0702
11_iris,5_knn+datawig,26,0.6622 ± 0.0695
11_iris,5_knn+datawig,27,0.6593 ± 0.0699
11_iris,5_knn+datawig,28,0.6571 ± 0.0695
11_iris,5_knn+datawig,29,0.6575 ± 0.0683
11_iris,5_knn+datawig,30,0.6528 ± 0.0718
11_iris,6_dynamic + datawig,1,0.7333 ± 0.0667
11_iris,6_dynamic + datawig,2,0.7417 ± 0.1164
11_iris,6_dynamic + datawig,3,0.7611 ± 0.1061
11_iris,6_dynamic + datawig,4,0.7708 ± 0.1060
11_iris,6_dynamic + datawig,5,0.7800 ± 0.0991
11_iris,6_dynamic + datawig,6,0.7639 ± 0.1084
11_iris,6_dynamic + datawig,7,0.7452 ± 0.1166
11_iris,6_dynamic + datawig,8,0.7417 ± 0.1133
11_iris,6_dynamic + datawig,9,0.7463 ± 0.1112
11_iris,6_dynamic + datawig,10,0.7483 ± 0.1103
11_iris,6_dynamic + datawig,11,0.7409 ± 0.1119
11_iris,6_dynamic + datawig,12,0.7333 ± 0.1110
11_iris,6_dynamic + datawig,13,0.7359 ± 0.1074
11_iris,6_dynamic + datawig,14,0.7357 ± 0.1035
11_iris,6_dynamic + datawig,15,0.7444 ± 0.1066
11_iris,6_dynamic + datawig,16,0.7375 ± 0.1117
11_iris,6_dynamic + datawig,17,0.7343 ± 0.1098
11_iris,6_dynamic + datawig,18,0.7315 ± 0.1091
11_iris,6_dynamic + datawig,19,0.7342 ± 0.1085
11_iris,6_dynamic + datawig,20,0.7367 ± 0.1080
11_iris,6_dynamic + datawig,21,0.7389 ± 0.1088
11_iris,6_dynamic + datawig,22,0.7394 ± 0.1092
11_iris,6_dynamic + datawig,23,0.7384 ± 0.1074
11_iris,6_dynamic + datawig,24,0.7396 ± 0.1056
11_iris,6_dynamic + datawig,25,0.7407 ± 0.1069
11_iris,6_dynamic + datawig,26,0.7404 ± 0.1067
11_iris,6_dynamic + datawig,27,0.7401 ± 0.1049
11_iris,6_dynamic + datawig,28,0.7381 ± 0.1047
11_iris,6_dynamic + datawig,29,0.7374 ± 0.1052
11_iris,6_dynamic + datawig,30,0.7361 ± 0.1039
11_iris,7_dynamic + datawig + zero,1,0.7333 ± 0.0720
11_iris,7_dynamic + datawig + zero,2,0.7444 ± 0.0956
11_iris,7_dynamic + datawig + zero,3,0.7704 ± 0.0936
11_iris,7_dynamic + datawig + zero,4,0.7778 ± 0.0896
11_iris,7_dynamic + datawig + zero,5,0.7911 ± 0.0856
11_iris,7_dynamic + datawig + zero,6,0.7815 ± 0.0944
11_iris,7_dynamic + datawig + zero,7,0.7651 ± 0.1046
11_iris,7_dynamic + datawig + zero,8,0.7597 ± 0.1018
11_iris,7_dynamic + datawig + zero,9,0.7605 ± 0.1014
11_iris,7_dynamic + datawig + zero,10,0.7678 ± 0.1031
11_iris,7_dynamic + datawig + zero,11,0.7636 ± 0.1046
11_iris,7_dynamic + datawig + zero,12,0.7565 ± 0.1048
11_iris,7_dynamic + datawig + zero,13,0.7607 ± 0.1035
11_iris,7_dynamic + datawig + zero,14,0.7603 ± 0.1001
11_iris,7_dynamic + datawig + zero,15,0.7689 ± 0.1031
11_iris,7_dynamic + datawig + zero,16,0.7646 ± 0.1075
11_iris,7_dynamic + datawig + zero,17,0.7627 ± 0.1060
11_iris,7_dynamic + datawig + zero,18,0.7593 ± 0.1053
11_iris,7_dynamic + datawig + zero,19,0.7620 ± 0.1040
11_iris,7_dynamic + datawig + zero,20,0.7633 ± 0.1025
11_iris,7_dynamic + datawig + zero,21,0.7656 ± 0.1030
11_iris,7_dynamic + datawig + zero,22,0.7672 ± 0.1040
11_iris,7_dynamic + datawig + zero,23,0.7623 ± 0.1043
11_iris,7_dynamic + datawig + zero,24,0.7639 ± 0.1029
11_iris,7_dynamic + datawig + zero,25,0.7636 ± 0.1033
11_iris,7_dynamic + datawig + zero,26,0.7641 ± 0.1025
11_iris,7_dynamic + datawig + zero,27,0.7646 ± 0.1015
11_iris,7_dynamic + datawig + zero,28,0.7639 ± 0.1025
11_iris,7_dynamic + datawig + zero,29,0.7640 ± 0.1031
11_iris,7_dynamic + datawig + zero,30,0.7637 ± 0.1017
11_iris,8_dynamic + datawig + knn,1,0.7222 ± 0.0416
11_iris,8_dynamic + datawig + knn,2,0.7611 ± 0.1177
11_iris,8_dynamic + datawig + knn,3,0.7926 ± 0.1194
11_iris,8_dynamic + datawig + knn,4,0.7917 ± 0.1081
11_iris,8_dynamic + datawig + knn,5,0.7978 ± 0.0992
11_iris,8_dynamic + datawig + knn,6,0.7907 ± 0.1104
