Dataset,method,Experiment,Accuracy
7_post,4_knn + dynamic,10,0.9583 ± 0.0426
7_post,4_knn + dynamic,11,0.9621 ± 0.0423
7_post,4_knn + dynamic,12,0.9606 ± 0.0408
7_post,4_knn + dynamic,13,0.9594 ± 0.0424
7_post,4_knn + dynamic,14,0.9603 ± 0.0416
7_post,4_knn + dynamic,15,0.9574 ± 0.0423
7_post,4_knn + dynamic,16,0.9583 ± 0.0417
7_post,4_knn + dynamic,17,0.9542 ± 0.0456
7_post,4_knn + dynamic,18,0.9552 ± 0.0450
7_post,4_knn + dynamic,19,0.9532 ± 0.0451
7_post,4_knn + dynamic,20,0.9542 ± 0.0446
7_post,4_knn + dynamic,21,0.9524 ± 0.0447
7_post,4_knn + dynamic,22,0.9495 ± 0.0456
7_post,4_knn + dynamic,23,0.9493 ± 0.0446
7_post,4_knn + dynamic,24,0.9502 ± 0.0443
7_post,4_knn + dynamic,25,0.9511 ± 0.0439
7_post,4_knn + dynamic,26,0.9519 ± 0.0436
7_post,4_knn + dynamic,27,0.9506 ± 0.0436
7_post,4_knn + dynamic,28,0.9524 ± 0.0438
7_post,4_knn + dynamic,29,0.9531 ± 0.0435
7_post,4_knn + dynamic,30,0.9528 ± 0.0440
7_post,5_knn+datawig,1,0.1389 ± 0.0833
7_post,5_knn+datawig,2,0.1667 ± 0.0680
7_post,5_knn+datawig,3,0.1204 ± 0.0874
7_post,5_knn+datawig,4,0.1111 ± 0.0878
7_post,5_knn+datawig,5,0.1222 ± 0.0956
7_post,5_knn+datawig,6,0.1204 ± 0.0874
7_post,5_knn+datawig,7,0.1151 ± 0.0826
7_post,5_knn+datawig,8,0.1319 ± 0.0897
7_post,5_knn+datawig,9,0.1204 ± 0.0912
7_post,5_knn+datawig,10,0.1139 ± 0.0904
7_post,5_knn+datawig,11,0.1136 ± 0.0878
7_post,5_knn+datawig,12,0.1111 ± 0.0849
7_post,5_knn+datawig,13,0.1068 ± 0.0829
7_post,5_knn+datawig,14,0.1111 ± 0.0813
7_post,5_knn+datawig,15,0.1111 ± 0.0799
7_post,5_knn+datawig,16,0.1146 ± 0.0785
7_post,5_knn+datawig,17,0.1095 ± 0.0791
7_post,5_knn+datawig,18,0.1111 ± 0.0775
7_post,5_knn+datawig,19,0.1140 ± 0.0806
7_post,5_knn+datawig,20,0.1083 ± 0.0824
7_post,5_knn+datawig,21,0.1124 ± 0.0827
7_post,5_knn+datawig,22,0.1086 ± 0.0829
