Dataset,method,Experiment,Accuracy
21_yeast,2_zero + dynamic,16,0.9951 ± 0.0038
21_yeast,2_zero + dynamic,17,0.9949 ± 0.0037
21_yeast,2_zero + dynamic,18,0.9951 ± 0.0037
21_yeast,2_zero + dynamic,19,0.9950 ± 0.0036
21_yeast,2_zero + dynamic,20,0.9949 ± 0.0038
21_yeast,2_zero + dynamic,21,0.9950 ± 0.0038
21_yeast,2_zero + dynamic,22,0.9950 ± 0.0037
21_yeast,2_zero + dynamic,23,0.9951 ± 0.0036
21_yeast,2_zero + dynamic,24,0.9952 ± 0.0036
21_yeast,2_zero + dynamic,25,0.9954 ± 0.0037
21_yeast,2_zero + dynamic,26,0.9955 ± 0.0036
21_yeast,2_zero + dynamic,27,0.9956 ± 0.0036
21_yeast,2_zero + dynamic,28,0.9958 ± 0.0037
21_yeast,2_zero + dynamic,29,0.9959 ± 0.0036
21_yeast,2_zero + dynamic,30,0.9959 ± 0.0036
21_yeast,3_zero+datawig,1,0.0000 ± 0.0000
21_yeast,3_zero+datawig,2,0.0017 ± 0.0017
21_yeast,3_zero+datawig,3,0.0034 ± 0.0027
21_yeast,3_zero+datawig,4,0.0034 ± 0.0024
21_yeast,3_zero+datawig,5,0.0034 ± 0.0021
21_yeast,3_zero+datawig,6,0.0034 ± 0.0019
21_yeast,3_zero+datawig,7,0.0048 ± 0.0040
21_yeast,3_zero+datawig,8,0.0051 ± 0.0038
21_yeast,3_zero+datawig,9,0.0049 ± 0.0036
21_yeast,3_zero+datawig,10,0.0054 ± 0.0037
21_yeast,3_zero+datawig,11,0.0049 ± 0.0039
21_yeast,3_zero+datawig,12,0.0051 ± 0.0038
21_yeast,3_zero+datawig,13,0.0049 ± 0.0036
21_yeast,3_zero+datawig,14,0.0048 ± 0.0035
21_yeast,3_zero+datawig,15,0.0047 ± 0.0034
21_yeast,3_zero+datawig,16,0.0046 ± 0.0033
21_yeast,3_zero+datawig,17,0.0048 ± 0.0033
21_yeast,3_zero+datawig,18,0.0045 ± 0.0034
21_yeast,3_zero+datawig,19,0.0046 ± 0.0033
21_yeast,3_zero+datawig,20,0.0044 ± 0.0034
21_yeast,3_zero+datawig,21,0.0043 ± 0.0033
21_yeast,3_zero+datawig,22,0.0043 ± 0.0032
21_yeast,3_zero+datawig,23,0.0042 ± 0.0032
21_yeast,3_zero+datawig,24,0.0041 ± 0.0032
21_yeast,3_zero+datawig,25,0.0039 ± 0.0033
21_yeast,3_zero+datawig,26,0.0039 ± 0.0032
21_yeast,3_zero+datawig,27,0.0037 ± 0.0032
21_yeast,3_zero+datawig,28,0.0036 ± 0.0032
21_yeast,3_zero+datawig,29,0.0035 ± 0.0032
21_yeast,3_zero+datawig,30,0.0035 ± 0.0032
21_yeast,4_knn + dynamic,1,1.0000 ± 0.0000
21_yeast,4_knn + dynamic,2,0.9983 ± 0.0017
21_yeast,4_knn + dynamic,3,0.9961 ± 0.0036
21_yeast,4_knn + dynamic,4,0.9958 ± 0.0033
21_yeast,4_knn + dynamic,5,0.9960 ± 0.0029
21_yeast,4_knn + dynamic,6,0.9961 ± 0.0027
21_yeast,4_knn + dynamic,7,0.9947 ± 0.0042
21_yeast,4_knn + dynamic,8,0.9943 ± 0.0041
21_yeast,4_knn + dynamic,9,0.9946 ± 0.0039
21_yeast,4_knn + dynamic,10,0.9943 ± 0.0039
21_yeast,4_knn + dynamic,11,0.9946 ± 0.0039
21_yeast,4_knn + dynamic,12,0.9945 ± 0.0037
21_yeast,4_knn + dynamic,13,0.9948 ± 0.0038
21_yeast,4_knn + dynamic,14,0.9949 ± 0.0037
21_yeast,4_knn + dynamic,15,0.9952 ± 0.0037
21_yeast,4_knn + dynamic,16,0.9951 ± 0.0037
21_yeast,4_knn + dynamic,17,0.9947 ± 0.0041
21_yeast,4_knn + dynamic,18,0.9949 ± 0.0041
21_yeast,4_knn + dynamic,19,0.9948 ± 0.0040
21_yeast,4_knn + dynamic,20,0.9950 ± 0.0041
21_yeast,4_knn + dynamic,21,0.9952 ± 0.0040
21_yeast,4_knn + dynamic,22,0.9953 ± 0.0040
21_yeast,4_knn + dynamic,23,0.9953 ± 0.0039
21_yeast,4_knn + dynamic,24,0.9955 ± 0.0039
21_yeast,4_knn + dynamic,25,0.9957 ± 0.0039
21_yeast,4_knn + dynamic,26,0.9957 ± 0.0039
21_yeast,4_knn + dynamic,27,0.9959 ± 0.0039
21_yeast,4_knn + dynamic,28,0.9960 ± 0.0039
21_yeast,4_knn + dynamic,29,0.9961 ± 0.0038
21_yeast,4_knn + dynamic,30,0.9961 ± 0.0038
21_yeast,5_knn+datawig,1,0.0000 ± 0.0000
21_yeast,5_knn+datawig,2,0.0017 ± 0.0017
21_yeast,5_knn+datawig,3,0.0034 ± 0.0027
21_yeast,5_knn+datawig,4,0.0034 ± 0.0024
21_yeast,5_knn+datawig,5,0.0034 ± 0.0021
21_yeast,5_knn+datawig,6,0.0034 ± 0.0019
21_yeast,5_knn+datawig,7,0.0048 ± 0.0040
21_yeast,5_knn+datawig,8,0.0051 ± 0.0038
21_yeast,5_knn+datawig,9,0.0049 ± 0.0036
21_yeast,5_knn+datawig,10,0.0054 ± 0.0037
21_yeast,5_knn+datawig,11,0.0049 ± 0.0039
21_yeast,5_knn+datawig,12,0.0051 ± 0.0038
21_yeast,5_knn+datawig,13,0.0049 ± 0.0036
21_yeast,5_knn+datawig,14,0.0048 ± 0.0035
21_yeast,5_knn+datawig,15,0.0047 ± 0.0034
21_yeast,5_knn+datawig,16,0.0046 ± 0.0033
21_yeast,5_knn+datawig,17,0.0048 ± 0.0033
21_yeast,5_knn+datawig,18,0.0045 ± 0.0034
21_yeast,5_knn+datawig,19,0.0046 ± 0.0033
21_yeast,5_knn+datawig,20,0.0044 ± 0.0034
21_yeast,5_knn+datawig,21,0.0043 ± 0.0033
21_yeast,5_knn+datawig,22,0.0043 ± 0.0032
21_yeast,5_knn+datawig,23,0.0042 ± 0.0032
21_yeast,5_knn+datawig,24,0.0041 ± 0.0032
21_yeast,5_knn+datawig,25,0.0039 ± 0.0033
21_yeast,5_knn+datawig,26,0.0039 ± 0.0032
21_yeast,5_knn+datawig,27,0.0037 ± 0.0032
21_yeast,5_knn+datawig,28,0.0036 ± 0.0032
21_yeast,5_knn+datawig,29,0.0035 ± 0.0032
21_yeast,5_knn+datawig,30,0.0035 ± 0.0032
21_yeast,6_dynamic + datawig,1,1.0000 ± 0.0000
21_yeast,6_dynamic + datawig,2,0.9983 ± 0.0017
21_yeast,6_dynamic + datawig,3,0.9961 ± 0.0036
21_yeast,6_dynamic + datawig,4,0.9949 ± 0.0045
21_yeast,6_dynamic + datawig,5,0.9953 ± 0.0040
21_yeast,6_dynamic + datawig,6,0.9955 ± 0.0037
21_yeast,6_dynamic + datawig,7,0.9942 ± 0.0047
21_yeast,6_dynamic + datawig,8,0.9939 ± 0.0045
21_yeast,6_dynamic + datawig,9,0.9942 ± 0.0043
21_yeast,6_dynamic + datawig,10,0.9938 ± 0.0043
21_yeast,6_dynamic + datawig,11,0.9942 ± 0.0043
21_yeast,6_dynamic + datawig,12,0.9941 ± 0.0042
21_yeast,6_dynamic + datawig,13,0.9944 ± 0.0042
21_yeast,6_dynamic + datawig,14,0.9946 ± 0.0041
21_yeast,6_dynamic + datawig,15,0.9948 ± 0.0041
21_yeast,6_dynamic + datawig,16,0.9949 ± 0.0039
21_yeast,6_dynamic + datawig,17,0.9947 ± 0.0041
21_yeast,6_dynamic + datawig,18,0.9949 ± 0.0041
21_yeast,6_dynamic + datawig,19,0.9948 ± 0.0040
21_yeast,6_dynamic + datawig,20,0.9948 ± 0.0041
21_yeast,6_dynamic + datawig,21,0.9949 ± 0.0040
21_yeast,6_dynamic + datawig,22,0.9949 ± 0.0039
21_yeast,6_dynamic + datawig,23,0.9949 ± 0.0038
21_yeast,6_dynamic + datawig,24,0.9951 ± 0.0038
21_yeast,6_dynamic + datawig,25,0.9953 ± 0.0039
21_yeast,6_dynamic + datawig,26,0.9953 ± 0.0038
21_yeast,6_dynamic + datawig,27,0.9954 ± 0.0038
21_yeast,6_dynamic + datawig,28,0.9956 ± 0.0038
21_yeast,6_dynamic + datawig,29,0.9957 ± 0.0038
21_yeast,6_dynamic + datawig,30,0.9957 ± 0.0037
21_yeast,7_dynamic + datawig + zero,1,1.0000 ± 0.0000
21_yeast,7_dynamic + datawig + zero,2,0.9983 ± 0.0017
21_yeast,7_dynamic + datawig + zero,3,0.9944 ± 0.0071
21_yeast,7_dynamic + datawig + zero,4,0.9944 ± 0.0062
21_yeast,7_dynamic + datawig + zero,5,0.9948 ± 0.0056
21_yeast,7_dynamic + datawig + zero,6,0.9944 ± 0.0055
21_yeast,7_dynamic + datawig + zero,7,0.9933 ± 0.0058
21_yeast,7_dynamic + datawig + zero,8,0.9931 ± 0.0055
21_yeast,7_dynamic + datawig + zero,9,0.9936 ± 0.0054
21_yeast,7_dynamic + datawig + zero,10,0.9933 ± 0.0053
21_yeast,7_dynamic + datawig + zero,11,0.9937 ± 0.0052
21_yeast,7_dynamic + datawig + zero,12,0.9936 ± 0.0050
21_yeast,7_dynamic + datawig + zero,13,0.9940 ± 0.0050
21_yeast,7_dynamic + datawig + zero,14,0.9941 ± 0.0049
21_yeast,7_dynamic + datawig + zero,15,0.9945 ± 0.0049
