Dataset,method,Experiment,Accuracy
5_spambase,4_knn + dynamic,3,0.7505 ± 0.1544
5_spambase,4_knn + dynamic,4,0.7541 ± 0.1510
5_spambase,4_knn + dynamic,5,0.7553 ± 0.1509
5_spambase,4_knn + dynamic,6,0.7554 ± 0.1509
5_spambase,4_knn + dynamic,7,0.7547 ± 0.1507
5_spambase,4_knn + dynamic,8,0.7552 ± 0.1511
5_spambase,4_knn + dynamic,9,0.7537 ± 0.1522
5_spambase,4_knn + dynamic,10,0.7533 ± 0.1505
5_spambase,4_knn + dynamic,11,0.7541 ± 0.1504
5_spambase,4_knn + dynamic,12,0.7540 ± 0.1504
5_spambase,4_knn + dynamic,13,0.7546 ± 0.1496
5_spambase,4_knn + dynamic,14,0.7542 ± 0.1499
5_spambase,4_knn + dynamic,15,0.7543 ± 0.1500
5_spambase,4_knn + dynamic,16,0.7551 ± 0.1497
5_spambase,4_knn + dynamic,17,0.7549 ± 0.1497
5_spambase,4_knn + dynamic,18,0.7545 ± 0.1500
5_spambase,4_knn + dynamic,19,0.7545 ± 0.1512
5_spambase,4_knn + dynamic,20,0.7541 ± 0.1511
5_spambase,4_knn + dynamic,21,0.7536 ± 0.1512
5_spambase,4_knn + dynamic,22,0.7541 ± 0.1514
5_spambase,4_knn + dynamic,23,0.7540 ± 0.1513
5_spambase,4_knn + dynamic,24,0.7540 ± 0.1518
5_spambase,4_knn + dynamic,25,0.7541 ± 0.1521
5_spambase,4_knn + dynamic,26,0.7545 ± 0.1516
5_spambase,4_knn + dynamic,27,0.7546 ± 0.1517
5_spambase,4_knn + dynamic,28,0.7545 ± 0.1520
5_spambase,4_knn + dynamic,29,0.7550 ± 0.1518
5_spambase,4_knn + dynamic,30,0.7546 ± 0.1518
5_spambase,5_knn+datawig,1,0.9223 ± 0.0147
5_spambase,5_knn+datawig,2,0.9144 ± 0.0252
5_spambase,5_knn+datawig,3,0.9194 ± 0.0230
5_spambase,5_knn+datawig,4,0.9217 ± 0.0211
5_spambase,5_knn+datawig,5,0.9175 ± 0.0213
5_spambase,5_knn+datawig,6,0.9168 ± 0.0205
5_spambase,5_knn+datawig,7,0.9145 ± 0.0205
5_spambase,5_knn+datawig,8,0.9144 ± 0.0212
5_spambase,5_knn+datawig,9,0.9140 ± 0.0206
5_spambase,5_knn+datawig,10,0.9145 ± 0.0196
5_spambase,5_knn+datawig,11,0.9139 ± 0.0194
5_spambase,5_knn+datawig,12,0.9139 ± 0.0189
5_spambase,5_knn+datawig,13,0.9137 ± 0.0186
5_spambase,5_knn+datawig,14,0.9134 ± 0.0193
5_spambase,5_knn+datawig,15,0.9137 ± 0.0188
5_spambase,5_knn+datawig,16,0.9137 ± 0.0189
5_spambase,5_knn+datawig,17,0.9121 ± 0.0208
5_spambase,5_knn+datawig,18,0.9126 ± 0.0205
5_spambase,5_knn+datawig,19,0.9133 ± 0.0207
5_spambase,5_knn+datawig,20,0.9130 ± 0.0205
5_spambase,5_knn+datawig,21,0.9125 ± 0.0207
5_spambase,5_knn+datawig,22,0.9128 ± 0.0204
5_spambase,5_knn+datawig,23,0.9134 ± 0.0202
5_spambase,5_knn+datawig,24,0.9137 ± 0.0198
5_spambase,5_knn+datawig,25,0.9139 ± 0.0195
5_spambase,5_knn+datawig,26,0.9136 ± 0.0196
5_spambase,5_knn+datawig,27,0.9138 ± 0.0194
5_spambase,5_knn+datawig,28,0.9135 ± 0.0194
5_spambase,5_knn+datawig,29,0.9138 ± 0.0191
5_spambase,5_knn+datawig,30,0.9126 ± 0.0202
5_spambase,6_dynamic + datawig,1,0.7467 ± 0.1620
5_spambase,6_dynamic + datawig,2,0.7541 ± 0.1560
5_spambase,6_dynamic + datawig,3,0.7542 ± 0.1580
5_spambase,6_dynamic + datawig,4,0.7567 ± 0.1536
5_spambase,6_dynamic + datawig,5,0.7588 ± 0.1544
5_spambase,6_dynamic + datawig,6,0.7592 ± 0.1547
5_spambase,6_dynamic + datawig,7,0.7586 ± 0.1546
5_spambase,6_dynamic + datawig,8,0.7590 ± 0.1549
5_spambase,6_dynamic + datawig,9,0.7565 ± 0.1551
5_spambase,6_dynamic + datawig,10,0.7570 ± 0.1542
5_spambase,6_dynamic + datawig,11,0.7574 ± 0.1537
5_spambase,6_dynamic + datawig,12,0.7577 ± 0.1541
5_spambase,6_dynamic + datawig,13,0.7590 ± 0.1540
5_spambase,6_dynamic + datawig,14,0.7582 ± 0.1539
5_spambase,6_dynamic + datawig,15,0.7586 ± 0.1543
5_spambase,6_dynamic + datawig,16,0.7590 ± 0.1536
5_spambase,6_dynamic + datawig,17,0.7584 ± 0.1533
5_spambase,6_dynamic + datawig,18,0.7580 ± 0.1535
5_spambase,6_dynamic + datawig,19,0.7575 ± 0.1542
5_spambase,6_dynamic + datawig,20,0.7570 ± 0.1540
5_spambase,6_dynamic + datawig,21,0.7564 ± 0.1540
5_spambase,6_dynamic + datawig,22,0.7567 ± 0.1541
5_spambase,6_dynamic + datawig,23,0.7567 ± 0.1540
5_spambase,6_dynamic + datawig,24,0.7566 ± 0.1544
5_spambase,6_dynamic + datawig,25,0.7563 ± 0.1543
5_spambase,6_dynamic + datawig,26,0.7569 ± 0.1540
5_spambase,6_dynamic + datawig,27,0.7570 ± 0.1541
5_spambase,6_dynamic + datawig,28,0.7569 ± 0.1544
5_spambase,6_dynamic + datawig,29,0.7575 ± 0.1543
5_spambase,6_dynamic + datawig,30,0.7574 ± 0.1546
5_spambase,7_dynamic + datawig + zero,1,0.8025 ± 0.1541
5_spambase,7_dynamic + datawig + zero,2,0.8069 ± 0.1477
5_spambase,7_dynamic + datawig + zero,3,0.8051 ± 0.1478
5_spambase,7_dynamic + datawig + zero,4,0.8063 ± 0.1438
5_spambase,7_dynamic + datawig + zero,5,0.8086 ± 0.1445
5_spambase,7_dynamic + datawig + zero,6,0.8094 ± 0.1449
5_spambase,7_dynamic + datawig + zero,7,0.8091 ± 0.1451
5_spambase,7_dynamic + datawig + zero,8,0.8091 ± 0.1450
5_spambase,7_dynamic + datawig + zero,9,0.8075 ± 0.1457
5_spambase,7_dynamic + datawig + zero,10,0.8070 ± 0.1445
5_spambase,7_dynamic + datawig + zero,11,0.8076 ± 0.1443
5_spambase,7_dynamic + datawig + zero,12,0.8074 ± 0.1442
5_spambase,7_dynamic + datawig + zero,13,0.8084 ± 0.1439
5_spambase,7_dynamic + datawig + zero,14,0.8080 ± 0.1441
5_spambase,7_dynamic + datawig + zero,15,0.8078 ± 0.1439
5_spambase,7_dynamic + datawig + zero,16,0.8082 ± 0.1435
5_spambase,7_dynamic + datawig + zero,17,0.8077 ± 0.1433
5_spambase,7_dynamic + datawig + zero,18,0.8071 ± 0.1433
5_spambase,7_dynamic + datawig + zero,19,0.8074 ± 0.1444
5_spambase,7_dynamic + datawig + zero,20,0.8073 ± 0.1445
5_spambase,7_dynamic + datawig + zero,21,0.8072 ± 0.1449
5_spambase,7_dynamic + datawig + zero,22,0.8075 ± 0.1449
5_spambase,7_dynamic + datawig + zero,23,0.8077 ± 0.1450
5_spambase,7_dynamic + datawig + zero,24,0.8078 ± 0.1455
5_spambase,7_dynamic + datawig + zero,25,0.8081 ± 0.1458
5_spambase,7_dynamic + datawig + zero,26,0.8084 ± 0.1454
5_spambase,7_dynamic + datawig + zero,27,0.8084 ± 0.1454
5_spambase,7_dynamic + datawig + zero,28,0.8084 ± 0.1457
5_spambase,7_dynamic + datawig + zero,29,0.8088 ± 0.1454
5_spambase,7_dynamic + datawig + zero,30,0.8085 ± 0.1455
5_spambase,8_dynamic + datawig + knn,1,0.8014 ± 0.1533
5_spambase,8_dynamic + datawig + knn,2,0.8027 ± 0.1448
5_spambase,8_dynamic + datawig + knn,3,0.8014 ± 0.1452
5_spambase,8_dynamic + datawig + knn,4,0.8041 ± 0.1422
5_spambase,8_dynamic + datawig + knn,5,0.8043 ± 0.1417
5_spambase,8_dynamic + datawig + knn,6,0.8052 ± 0.1422
5_spambase,8_dynamic + datawig + knn,7,0.8051 ± 0.1424
5_spambase,8_dynamic + datawig + knn,8,0.8058 ± 0.1429
5_spambase,8_dynamic + datawig + knn,9,0.8043 ± 0.1437
5_spambase,8_dynamic + datawig + knn,10,0.8040 ± 0.1425
5_spambase,8_dynamic + datawig + knn,11,0.8053 ± 0.1428
5_spambase,8_dynamic + datawig + knn,12,0.8058 ± 0.1432
5_spambase,8_dynamic + datawig + knn,13,0.8066 ± 0.1428
5_spambase,8_dynamic + datawig + knn,14,0.8061 ± 0.1429
5_spambase,8_dynamic + datawig + knn,15,0.8061 ± 0.1429
5_spambase,8_dynamic + datawig + knn,16,0.8065 ± 0.1424
5_spambase,8_dynamic + datawig + knn,17,0.8060 ± 0.1421
5_spambase,8_dynamic + datawig + knn,18,0.8057 ± 0.1424
5_spambase,8_dynamic + datawig + knn,19,0.8059 ± 0.1434
5_spambase,8_dynamic + datawig + knn,20,0.8055 ± 0.1433
5_spambase,8_dynamic + datawig + knn,21,0.8053 ± 0.1436
5_spambase,8_dynamic + datawig + knn,22,0.8059 ± 0.1439
5_spambase,8_dynamic + datawig + knn,23,0.8062 ± 0.1441
5_spambase,8_dynamic + datawig + knn,24,0.8063 ± 0.1445
5_spambase,8_dynamic + datawig + knn,25,0.8063 ± 0.1446
5_spambase,8_dynamic + datawig + knn,26,0.8067 ± 0.1442
5_spambase,8_dynamic + datawig + knn,27,0.8066 ± 0.1442
5_spambase,8_dynamic + datawig + knn,28,0.8066 ± 0.1445
5_spambase,8_dynamic + datawig + knn,29,0.8071 ± 0.1443
5_spambase,8_dynamic + datawig + knn,30,0.8065 ± 0.1443
5_spambase,9_datawig+zero+knn.py,1,0.9268 ± 0.0027
5_spambase,9_datawig+zero+knn.py,2,0.9197 ± 0.0113
5_spambase,9_datawig+zero+knn.py,3,0.9173 ± 0.0118
5_spambase,9_datawig+zero+knn.py,4,0.9193 ± 0.0117
5_spambase,9_datawig+zero+knn.py,5,0.9184 ± 0.0153
5_spambase,9_datawig+zero+knn.py,6,0.9184 ± 0.0142
5_spambase,9_datawig+zero+knn.py,7,0.9168 ± 0.0155
5_spambase,9_datawig+zero+knn.py,8,0.9162 ± 0.0148
5_spambase,9_datawig+zero+knn.py,9,0.9147 ± 0.0148
5_spambase,9_datawig+zero+knn.py,10,0.9115 ± 0.0201
5_spambase,9_datawig+zero+knn.py,11,0.9096 ± 0.0219
5_spambase,9_datawig+zero+knn.py,12,0.9097 ± 0.0211
5_spambase,9_datawig+zero+knn.py,13,0.9103 ± 0.0206
5_spambase,9_datawig+zero+knn.py,14,0.9097 ± 0.0203
5_spambase,9_datawig+zero+knn.py,15,0.9102 ± 0.0198
5_spambase,9_datawig+zero+knn.py,16,0.9109 ± 0.0196
5_spambase,9_datawig+zero+knn.py,17,0.9107 ± 0.0192
5_spambase,9_datawig+zero+knn.py,18,0.9101 ± 0.0188
5_spambase,9_datawig+zero+knn.py,19,0.9109 ± 0.0189
5_spambase,9_datawig+zero+knn.py,20,0.9101 ± 0.0193
5_spambase,9_datawig+zero+knn.py,21,0.9097 ± 0.0191
5_spambase,9_datawig+zero+knn.py,22,0.9101 ± 0.0190
5_spambase,9_datawig+zero+knn.py,23,0.9107 ± 0.0189
5_spambase,9_datawig+zero+knn.py,24,0.9108 ± 0.0185
5_spambase,9_datawig+zero+knn.py,25,0.9110 ± 0.0183
5_spambase,9_datawig+zero+knn.py,26,0.9110 ± 0.0180
5_spambase,9_datawig+zero+knn.py,27,0.9112 ± 0.0179
5_spambase,9_datawig+zero+knn.py,28,0.9111 ± 0.0177
5_spambase,9_datawig+zero+knn.py,29,0.9118 ± 0.0177
5_spambase,9_datawig+zero+knn.py,30,0.9111 ± 0.0182
5_spambase,10_dynamic+zero+knn,1,0.8043 ± 0.1553
5_spambase,10_dynamic+zero+knn,2,0.8062 ± 0.1473
5_spambase,10_dynamic+zero+knn,3,0.8050 ± 0.1477
5_spambase,10_dynamic+zero+knn,4,0.8050 ± 0.1429
