Dataset,method,Experiment,Accuracy
6_chess,4_knn + dynamic,6,0.9492 ± 0.0024
6_chess,4_knn + dynamic,7,0.9492 ± 0.0022
6_chess,4_knn + dynamic,8,0.9493 ± 0.0023
6_chess,4_knn + dynamic,9,0.9500 ± 0.0028
6_chess,4_knn + dynamic,10,0.9500 ± 0.0026
6_chess,4_knn + dynamic,11,0.9495 ± 0.0029
6_chess,4_knn + dynamic,12,0.9494 ± 0.0028
6_chess,4_knn + dynamic,13,0.9494 ± 0.0027
6_chess,4_knn + dynamic,14,0.9488 ± 0.0034
6_chess,4_knn + dynamic,15,0.9488 ± 0.0033
6_chess,4_knn + dynamic,16,0.9489 ± 0.0033
6_chess,4_knn + dynamic,17,0.9486 ± 0.0034
6_chess,4_knn + dynamic,18,0.9486 ± 0.0033
6_chess,4_knn + dynamic,19,0.9486 ± 0.0032
6_chess,4_knn + dynamic,20,0.9484 ± 0.0033
6_chess,4_knn + dynamic,21,0.9484 ± 0.0032
6_chess,4_knn + dynamic,22,0.9484 ± 0.0032
6_chess,4_knn + dynamic,23,0.9482 ± 0.0033
6_chess,4_knn + dynamic,24,0.9483 ± 0.0033
6_chess,4_knn + dynamic,25,0.9483 ± 0.0032
6_chess,4_knn + dynamic,26,0.9484 ± 0.0032
6_chess,4_knn + dynamic,27,0.9484 ± 0.0032
6_chess,4_knn + dynamic,28,0.9483 ± 0.0032
6_chess,4_knn + dynamic,29,0.9484 ± 0.0032
6_chess,4_knn + dynamic,30,0.9483 ± 0.0031
6_chess,5_knn+datawig,1,0.0497 ± 0.0000
6_chess,5_knn+datawig,2,0.0489 ± 0.0008
6_chess,5_knn+datawig,3,0.0487 ± 0.0008
6_chess,5_knn+datawig,4,0.0497 ± 0.0020
6_chess,5_knn+datawig,5,0.0509 ± 0.0029
6_chess,5_knn+datawig,6,0.0513 ± 0.0028
6_chess,5_knn+datawig,7,0.0514 ± 0.0026
6_chess,5_knn+datawig,8,0.0509 ± 0.0027
6_chess,5_knn+datawig,9,0.0503 ± 0.0032
6_chess,5_knn+datawig,10,0.0503 ± 0.0030
6_chess,5_knn+datawig,11,0.0506 ± 0.0031
