Dataset,method,Experiment,Accuracy
1_breast,9_datawig+zero+knn.py,10,0.7082 ± 0.0465
1_breast,10_dynamic+zero+knn,1,0.6316 ± 0.0000
1_breast,10_dynamic+zero+knn,2,0.7544 ± 0.0000
1_breast,10_dynamic+zero+knn,3,0.6667 ± 0.0000
1_breast,10_dynamic+zero+knn,4,0.8070 ± 0.0000
1_breast,10_dynamic+zero+knn,5,0.7193 ± 0.0000
1_breast,10_dynamic+zero+knn,6,0.6842 ± 0.0000
1_breast,10_dynamic+zero+knn,7,0.6491 ± 0.0000
1_breast,10_dynamic+zero+knn,8,0.7368 ± 0.0000
1_breast,10_dynamic+zero+knn,9,0.6491 ± 0.0000
1_breast,10_dynamic+zero+knn,10,0.7368 ± 0.0000
1_breast,11_all(dynamic+datawig+zero+knn),1,0.6940 ± 0.0224
1_breast,11_all(dynamic+datawig+zero+knn),2,0.7112 ± 0.0320
1_breast,11_all(dynamic+datawig+zero+knn),3,0.7155 ± 0.0277
1_breast,11_all(dynamic+datawig+zero+knn),4,0.7252 ± 0.0331
1_breast,11_all(dynamic+datawig+zero+knn),5,0.7164 ± 0.0387
1_breast,11_all(dynamic+datawig+zero+knn),6,0.7155 ± 0.0386
1_breast,11_all(dynamic+datawig+zero+knn),7,0.7057 ± 0.0442
1_breast,11_all(dynamic+datawig+zero+knn),8,0.7064 ± 0.0449
1_breast,11_all(dynamic+datawig+zero+knn),9,0.7026 ± 0.0455
1_breast,11_all(dynamic+datawig+zero+knn),10,0.7052 ± 0.0444
1_breast,datawig,1,0.6842 ± 0.0000
1_breast,datawig,2,0.5789 ± 0.0000
1_breast,datawig,3,0.6140 ± 0.0000
1_breast,datawig,4,0.7895 ± 0.0000
1_breast,datawig,5,0.7368 ± 0.0000
1_breast,datawig,6,0.7193 ± 0.0000
1_breast,datawig,7,0.6491 ± 0.0000
1_breast,datawig,8,0.7895 ± 0.0000
1_breast,datawig,9,0.6667 ± 0.0000
1_breast,datawig,10,0.7368 ± 0.0000
1_breast,dynamic,1,0.6316 ± 0.0000
1_breast,dynamic,2,0.7544 ± 0.0000
1_breast,dynamic,3,0.6667 ± 0.0000
1_breast,dynamic,4,0.8070 ± 0.0000
1_breast,dynamic,5,0.7368 ± 0.0000
1_breast,dynamic,6,0.6842 ± 0.0000
1_breast,dynamic,7,0.6491 ± 0.0000
1_breast,dynamic,8,0.7368 ± 0.0000
1_breast,dynamic,9,0.6491 ± 0.0000
1_breast,dynamic,10,0.7368 ± 0.0000
1_breast,knn,1,0.6667 ± 0.0000
1_breast,knn,2,0.7018 ± 0.0000
1_breast,knn,3,0.6667 ± 0.0000
1_breast,knn,4,0.7719 ± 0.0000
1_breast,knn,5,0.7368 ± 0.0000
1_breast,knn,6,0.6842 ± 0.0000
1_breast,knn,7,0.7193 ± 0.0000
1_breast,knn,8,0.7544 ± 0.0000
1_breast,knn,9,0.7368 ± 0.0000
1_breast,knn,10,0.7544 ± 0.0000
1_breast,zero,1,0.6667 ± 0.0000
1_breast,zero,2,0.6316 ± 0.0000
1_breast,zero,3,0.5789 ± 0.0000
1_breast,zero,4,0.7018 ± 0.0000
1_breast,zero,5,0.5614 ± 0.0000
1_breast,zero,6,0.7193 ± 0.0000
1_breast,zero,7,0.7018 ± 0.0000
1_breast,zero,8,0.7544 ± 0.0000
1_breast,zero,9,0.6667 ± 0.0000
1_breast,zero,10,0.6667 ± 0.0000
