Dataset,method,Experiment,Accuracy
13_image,zero,1,0.1190 ± 0.0000
13_image,zero,2,0.1190 ± 0.0000
13_image,zero,3,0.0952 ± 0.0000
13_image,zero,4,0.0714 ± 0.0000
13_image,zero,5,0.1667 ± 0.0000
13_image,zero,6,0.1905 ± 0.0000
13_image,zero,7,0.2143 ± 0.0000
13_image,zero,8,0.2857 ± 0.0000
13_image,zero,9,0.1667 ± 0.0000
13_image,zero,10,0.1429 ± 0.0000
13_image,zero,11,0.1667 ± 0.0000
13_image,zero,12,0.1190 ± 0.0000
13_image,zero,13,0.1190 ± 0.0000
13_image,zero,14,0.2143 ± 0.0000
13_image,zero,15,0.1190 ± 0.0000
13_image,zero,16,0.1667 ± 0.0000
13_image,zero,17,0.1190 ± 0.0000
13_image,zero,18,0.1429 ± 0.0000
13_image,zero,19,0.1667 ± 0.0000
13_image,zero,20,0.2143 ± 0.0000
13_image,zero,21,0.1667 ± 0.0000
13_image,zero,22,0.1190 ± 0.0000
13_image,zero,23,0.3095 ± 0.0000
13_image,zero,24,0.0952 ± 0.0000
13_image,zero,25,0.1667 ± 0.0000
13_image,zero,26,0.1429 ± 0.0000
13_image,zero,27,0.1190 ± 0.0000
13_image,zero,28,0.2143 ± 0.0000
13_image,zero,29,0.1190 ± 0.0000
13_image,zero,30,0.1190 ± 0.0000
13_image,4_knn + dynamic,1,0.8929 ± 0.0119
13_image,4_knn + dynamic,2,0.8988 ± 0.0197
13_image,4_knn + dynamic,3,0.8968 ± 0.0177
13_image,4_knn + dynamic,4,0.8958 ± 0.0236
13_image,4_knn + dynamic,5,0.8857 ± 0.0297
13_image,4_knn + dynamic,6,0.8790 ± 0.0343
13_image,4_knn + dynamic,7,0.8707 ± 0.0400
13_image,4_knn + dynamic,8,0.8586 ± 0.0536
13_image,4_knn + dynamic,9,0.8571 ± 0.0508
13_image,4_knn + dynamic,10,0.8583 ± 0.0485
13_image,4_knn + dynamic,11,0.8571 ± 0.0465
13_image,4_knn + dynamic,12,0.8591 ± 0.0450
13_image,4_knn + dynamic,13,0.8617 ± 0.0443
13_image,4_knn + dynamic,14,0.8597 ± 0.0451
13_image,4_knn + dynamic,15,0.8611 ± 0.0439
13_image,4_knn + dynamic,16,0.8624 ± 0.0444
13_image,4_knn + dynamic,17,0.8648 ± 0.0446
13_image,4_knn + dynamic,18,0.8671 ± 0.0457
13_image,4_knn + dynamic,19,0.8634 ± 0.0478
13_image,4_knn + dynamic,20,0.8595 ± 0.0496
13_image,4_knn + dynamic,21,0.8600 ± 0.0491
13_image,4_knn + dynamic,22,0.8620 ± 0.0491
13_image,4_knn + dynamic,23,0.8587 ± 0.0542
13_image,4_knn + dynamic,24,0.8606 ± 0.0539
13_image,4_knn + dynamic,25,0.8600 ± 0.0529
13_image,4_knn + dynamic,26,0.8603 ± 0.0520
13_image,4_knn + dynamic,27,0.8607 ± 0.0511
13_image,4_knn + dynamic,28,0.8605 ± 0.0520
13_image,4_knn + dynamic,29,0.8625 ± 0.0525
13_image,4_knn + dynamic,30,0.8639 ± 0.0524
13_image,5_knn+datawig,1,0.1190 ± 0.0000
13_image,5_knn+datawig,2,0.1190 ± 0.0000
13_image,5_knn+datawig,3,0.1111 ± 0.0112
13_image,5_knn+datawig,4,0.1012 ± 0.0197
13_image,5_knn+datawig,5,0.1143 ± 0.0316
13_image,5_knn+datawig,6,0.1270 ± 0.0405
13_image,5_knn+datawig,7,0.1395 ± 0.0483
13_image,5_knn+datawig,8,0.1577 ± 0.0662
13_image,5_knn+datawig,9,0.1587 ± 0.0625
13_image,5_knn+datawig,10,0.1571 ± 0.0595
13_image,5_knn+datawig,11,0.1580 ± 0.0568
13_image,5_knn+datawig,12,0.1548 ± 0.0554
13_image,5_knn+datawig,13,0.1520 ± 0.0541
13_image,5_knn+datawig,14,0.1565 ± 0.0545
13_image,5_knn+datawig,15,0.1540 ± 0.0535
13_image,5_knn+datawig,16,0.1548 ± 0.0519
13_image,5_knn+datawig,17,0.1527 ± 0.0510
13_image,5_knn+datawig,18,0.1521 ± 0.0497
13_image,5_knn+datawig,19,0.1529 ± 0.0484
13_image,5_knn+datawig,20,0.1560 ± 0.0491
13_image,5_knn+datawig,21,0.1565 ± 0.0479
13_image,5_knn+datawig,22,0.1548 ± 0.0475
13_image,5_knn+datawig,23,0.1615 ± 0.0561
13_image,5_knn+datawig,24,0.1587 ± 0.0565
13_image,5_knn+datawig,25,0.1590 ± 0.0554
13_image,5_knn+datawig,26,0.1584 ± 0.0544
13_image,5_knn+datawig,27,0.1570 ± 0.0539
13_image,5_knn+datawig,28,0.1590 ± 0.0540
13_image,5_knn+datawig,29,0.1576 ± 0.0536
13_image,5_knn+datawig,30,0.1563 ± 0.0531
13_image,6_dynamic + datawig,1,0.9167 ± 0.0357
13_image,6_dynamic + datawig,2,0.9048 ± 0.0292
13_image,6_dynamic + datawig,3,0.8929 ± 0.0357
13_image,6_dynamic + datawig,4,0.8958 ± 0.0335
13_image,6_dynamic + datawig,5,0.8881 ± 0.0354
13_image,6_dynamic + datawig,6,0.8829 ± 0.0394
13_image,6_dynamic + datawig,7,0.8741 ± 0.0445
13_image,6_dynamic + datawig,8,0.8571 ± 0.0619
13_image,6_dynamic + datawig,9,0.8558 ± 0.0586
13_image,6_dynamic + datawig,10,0.8583 ± 0.0566
13_image,6_dynamic + datawig,11,0.8582 ± 0.0544
13_image,6_dynamic + datawig,12,0.8611 ± 0.0531
13_image,6_dynamic + datawig,13,0.8636 ± 0.0518
13_image,6_dynamic + datawig,14,0.8605 ± 0.0520
13_image,6_dynamic + datawig,15,0.8635 ± 0.0518
13_image,6_dynamic + datawig,16,0.8631 ± 0.0505
13_image,6_dynamic + datawig,17,0.8648 ± 0.0496
13_image,6_dynamic + datawig,18,0.8664 ± 0.0493
13_image,6_dynamic + datawig,19,0.8653 ± 0.0483
13_image,6_dynamic + datawig,20,0.8619 ± 0.0494
13_image,6_dynamic + datawig,21,0.8628 ± 0.0495
13_image,6_dynamic + datawig,22,0.8642 ± 0.0488
13_image,6_dynamic + datawig,23,0.8592 ± 0.0546
13_image,6_dynamic + datawig,24,0.8611 ± 0.0542
13_image,6_dynamic + datawig,25,0.8600 ± 0.0534
13_image,6_dynamic + datawig,26,0.8613 ± 0.0532
13_image,6_dynamic + datawig,27,0.8616 ± 0.0523
13_image,6_dynamic + datawig,28,0.8610 ± 0.0526
13_image,6_dynamic + datawig,29,0.8621 ± 0.0521
13_image,6_dynamic + datawig,30,0.8623 ± 0.0513
13_image,7_dynamic + datawig + zero,1,0.9048 ± 0.0194
13_image,7_dynamic + datawig + zero,2,0.8929 ± 0.0228
13_image,7_dynamic + datawig + zero,3,0.8995 ± 0.0270
13_image,7_dynamic + datawig + zero,4,0.8988 ± 0.0259
13_image,7_dynamic + datawig + zero,5,0.8905 ± 0.0299
13_image,7_dynamic + datawig + zero,6,0.8849 ± 0.0339
13_image,7_dynamic + datawig + zero,7,0.8787 ± 0.0381
13_image,7_dynamic + datawig + zero,8,0.8641 ± 0.0539
13_image,7_dynamic + datawig + zero,9,0.8598 ± 0.0524
13_image,7_dynamic + datawig + zero,10,0.8627 ± 0.0509
13_image,7_dynamic + datawig + zero,11,0.8629 ± 0.0491
13_image,7_dynamic + datawig + zero,12,0.8638 ± 0.0472
13_image,7_dynamic + datawig + zero,13,0.8669 ± 0.0469
13_image,7_dynamic + datawig + zero,14,0.8645 ± 0.0472
13_image,7_dynamic + datawig + zero,15,0.8651 ± 0.0457
13_image,7_dynamic + datawig + zero,16,0.8661 ± 0.0455
13_image,7_dynamic + datawig + zero,17,0.8688 ± 0.0458
13_image,7_dynamic + datawig + zero,18,0.8699 ± 0.0451
13_image,7_dynamic + datawig + zero,19,0.8676 ± 0.0455
13_image,7_dynamic + datawig + zero,20,0.8647 ± 0.0463
13_image,7_dynamic + datawig + zero,21,0.8662 ± 0.0469
13_image,7_dynamic + datawig + zero,22,0.8680 ± 0.0467
13_image,7_dynamic + datawig + zero,23,0.8634 ± 0.0517
13_image,7_dynamic + datawig + zero,24,0.8657 ± 0.0519
13_image,7_dynamic + datawig + zero,25,0.8638 ± 0.0518
13_image,7_dynamic + datawig + zero,26,0.8636 ± 0.0510
13_image,7_dynamic + datawig + zero,27,0.8627 ± 0.0505
13_image,7_dynamic + datawig + zero,28,0.8639 ± 0.0522
13_image,7_dynamic + datawig + zero,29,0.8656 ± 0.0522
13_image,7_dynamic + datawig + zero,30,0.8659 ± 0.0514
13_image,8_dynamic + datawig + knn,1,0.8968 ± 0.0112
13_image,8_dynamic + datawig + knn,2,0.8968 ± 0.0112
13_image,8_dynamic + datawig + knn,3,0.8995 ± 0.0099
13_image,8_dynamic + datawig + knn,4,0.9028 ± 0.0117
13_image,8_dynamic + datawig + knn,5,0.8905 ± 0.0272
13_image,8_dynamic + datawig + knn,6,0.8876 ± 0.0325
13_image,8_dynamic + datawig + knn,7,0.8798 ± 0.0385
13_image,8_dynamic + datawig + knn,8,0.8690 ± 0.0500
13_image,8_dynamic + datawig + knn,9,0.8660 ± 0.0481
13_image,8_dynamic + datawig + knn,10,0.8675 ± 0.0463
13_image,8_dynamic + datawig + knn,11,0.8694 ± 0.0462
13_image,8_dynamic + datawig + knn,12,0.8697 ± 0.0444
13_image,8_dynamic + datawig + knn,13,0.8724 ± 0.0440
13_image,8_dynamic + datawig + knn,14,0.8685 ± 0.0451
13_image,8_dynamic + datawig + knn,15,0.8698 ± 0.0439
13_image,8_dynamic + datawig + knn,16,0.8700 ± 0.0432
13_image,8_dynamic + datawig + knn,17,0.8716 ± 0.0425
13_image,8_dynamic + datawig + knn,18,0.8735 ± 0.0429
13_image,8_dynamic + datawig + knn,19,0.8709 ± 0.0437
13_image,8_dynamic + datawig + knn,20,0.8679 ± 0.0448
13_image,8_dynamic + datawig + knn,21,0.8692 ± 0.0455
13_image,8_dynamic + datawig + knn,22,0.8712 ± 0.0458
13_image,8_dynamic + datawig + knn,23,0.8689 ± 0.0504
13_image,8_dynamic + datawig + knn,24,0.8707 ± 0.0502
13_image,8_dynamic + datawig + knn,25,0.8695 ± 0.0495
13_image,8_dynamic + datawig + knn,26,0.8690 ± 0.0486
13_image,8_dynamic + datawig + knn,27,0.8689 ± 0.0478
13_image,8_dynamic + datawig + knn,28,0.8690 ± 0.0484
13_image,8_dynamic + datawig + knn,29,0.8703 ± 0.0481
13_image,8_dynamic + datawig + knn,30,0.8712 ± 0.0477
13_image,9_datawig+zero+knn.py,1,0.1190 ± 0.0000
13_image,9_datawig+zero+knn.py,2,0.1190 ± 0.0000
13_image,9_datawig+zero+knn.py,3,0.1111 ± 0.0112
13_image,9_datawig+zero+knn.py,4,0.1012 ± 0.0197
13_image,9_datawig+zero+knn.py,5,0.1143 ± 0.0316
13_image,9_datawig+zero+knn.py,6,0.1270 ± 0.0405
13_image,9_datawig+zero+knn.py,7,0.1395 ± 0.0483
13_image,9_datawig+zero+knn.py,8,0.1577 ± 0.0662
13_image,9_datawig+zero+knn.py,9,0.1587 ± 0.0625
13_image,9_datawig+zero+knn.py,10,0.1571 ± 0.0595
13_image,9_datawig+zero+knn.py,11,0.1580 ± 0.0568
13_image,9_datawig+zero+knn.py,12,0.1548 ± 0.0554
13_image,9_datawig+zero+knn.py,13,0.1520 ± 0.0541
13_image,9_datawig+zero+knn.py,14,0.1565 ± 0.0545
13_image,9_datawig+zero+knn.py,15,0.1540 ± 0.0535
13_image,9_datawig+zero+knn.py,16,0.1548 ± 0.0519
13_image,9_datawig+zero+knn.py,17,0.1527 ± 0.0510
13_image,9_datawig+zero+knn.py,18,0.1521 ± 0.0497
13_image,9_datawig+zero+knn.py,19,0.1529 ± 0.0484
13_image,9_datawig+zero+knn.py,20,0.1560 ± 0.0491
13_image,9_datawig+zero+knn.py,21,0.1565 ± 0.0479
13_image,9_datawig+zero+knn.py,22,0.1548 ± 0.0475
13_image,9_datawig+zero+knn.py,23,0.1615 ± 0.0561
