Dataset,method,Experiment,Accuracy
8_liver,4_knn + dynamic,20,0.9442 ± 0.0252
8_liver,4_knn + dynamic,21,0.9448 ± 0.0247
8_liver,4_knn + dynamic,22,0.9443 ± 0.0243
8_liver,4_knn + dynamic,23,0.9449 ± 0.0239
8_liver,4_knn + dynamic,24,0.9447 ± 0.0234
8_liver,4_knn + dynamic,25,0.9452 ± 0.0231
8_liver,4_knn + dynamic,26,0.9445 ± 0.0229
8_liver,4_knn + dynamic,27,0.9455 ± 0.0230
8_liver,4_knn + dynamic,28,0.9444 ± 0.0234
8_liver,4_knn + dynamic,29,0.9448 ± 0.0231
8_liver,4_knn + dynamic,30,0.9447 ± 0.0227
8_liver,5_knn+datawig,1,0.1304 ± 0.0000
8_liver,5_knn+datawig,2,0.0942 ± 0.0362
8_liver,5_knn+datawig,3,0.0870 ± 0.0313
8_liver,5_knn+datawig,4,0.0725 ± 0.0369
8_liver,5_knn+datawig,5,0.0754 ± 0.0336
8_liver,5_knn+datawig,6,0.0700 ± 0.0329
8_liver,5_knn+datawig,7,0.0725 ± 0.0310
8_liver,5_knn+datawig,8,0.0707 ± 0.0294
8_liver,5_knn+datawig,9,0.0692 ± 0.0280
8_liver,5_knn+datawig,10,0.0638 ± 0.0312
8_liver,5_knn+datawig,11,0.0632 ± 0.0298
8_liver,5_knn+datawig,12,0.0616 ± 0.0291
8_liver,5_knn+datawig,13,0.0591 ± 0.0292
8_liver,5_knn+datawig,14,0.0580 ± 0.0285
8_liver,5_knn+datawig,15,0.0570 ± 0.0277
8_liver,5_knn+datawig,16,0.0571 ± 0.0269
8_liver,5_knn+datawig,17,0.0554 ± 0.0269
8_liver,5_knn+datawig,18,0.0556 ± 0.0261
8_liver,5_knn+datawig,19,0.0549 ± 0.0256
8_liver,5_knn+datawig,20,0.0551 ± 0.0249
8_liver,5_knn+datawig,21,0.0545 ± 0.0245
8_liver,5_knn+datawig,22,0.0547 ± 0.0239
8_liver,5_knn+datawig,23,0.0542 ± 0.0235
8_liver,5_knn+datawig,24,0.0543 ± 0.0230
8_liver,5_knn+datawig,25,0.0539 ± 0.0226
8_liver,5_knn+datawig,26,0.0546 ± 0.0225
8_liver,5_knn+datawig,27,0.0537 ± 0.0226
8_liver,5_knn+datawig,28,0.0549 ± 0.0230
8_liver,5_knn+datawig,29,0.0545 ± 0.0227
8_liver,5_knn+datawig,30,0.0546 ± 0.0224
8_liver,6_dynamic + datawig,1,0.8696 ± 0.0000
8_liver,6_dynamic + datawig,2,0.9022 ± 0.0330
8_liver,6_dynamic + datawig,3,0.9106 ± 0.0295
8_liver,6_dynamic + datawig,4,0.9239 ± 0.0346
8_liver,6_dynamic + datawig,5,0.9217 ± 0.0312
8_liver,6_dynamic + datawig,6,0.9275 ± 0.0313
8_liver,6_dynamic + datawig,7,0.9255 ± 0.0294
8_liver,6_dynamic + datawig,8,0.9275 ± 0.0281
8_liver,6_dynamic + datawig,9,0.9291 ± 0.0268
8_liver,6_dynamic + datawig,10,0.9341 ± 0.0295
8_liver,6_dynamic + datawig,11,0.9348 ± 0.0282
8_liver,6_dynamic + datawig,12,0.9366 ± 0.0277
8_liver,6_dynamic + datawig,13,0.9392 ± 0.0281
8_liver,6_dynamic + datawig,14,0.9405 ± 0.0275
8_liver,6_dynamic + datawig,15,0.9415 ± 0.0268
8_liver,6_dynamic + datawig,16,0.9416 ± 0.0260
8_liver,6_dynamic + datawig,17,0.9433 ± 0.0262
8_liver,6_dynamic + datawig,18,0.9432 ± 0.0254
8_liver,6_dynamic + datawig,19,0.9436 ± 0.0248
8_liver,6_dynamic + datawig,20,0.9435 ± 0.0242
8_liver,6_dynamic + datawig,21,0.9441 ± 0.0238
8_liver,6_dynamic + datawig,22,0.9437 ± 0.0234
8_liver,6_dynamic + datawig,23,0.9442 ± 0.0230
8_liver,6_dynamic + datawig,24,0.9441 ± 0.0225
8_liver,6_dynamic + datawig,25,0.9446 ± 0.0222
8_liver,6_dynamic + datawig,26,0.9440 ± 0.0220
8_liver,6_dynamic + datawig,27,0.9447 ± 0.0220
8_liver,6_dynamic + datawig,28,0.9436 ± 0.0224
8_liver,6_dynamic + datawig,29,0.9440 ± 0.0221
8_liver,6_dynamic + datawig,30,0.9440 ± 0.0217
8_liver,7_dynamic + datawig + zero,1,0.8696 ± 0.0000
8_liver,7_dynamic + datawig + zero,2,0.9058 ± 0.0362
8_liver,7_dynamic + datawig + zero,3,0.9130 ± 0.0313
8_liver,7_dynamic + datawig + zero,4,0.9275 ± 0.0369
8_liver,7_dynamic + datawig + zero,5,0.9227 ± 0.0346
8_liver,7_dynamic + datawig + zero,6,0.9283 ± 0.0340
8_liver,7_dynamic + datawig + zero,7,0.9262 ± 0.0319
8_liver,7_dynamic + datawig + zero,8,0.9269 ± 0.0300
8_liver,7_dynamic + datawig + zero,9,0.9286 ± 0.0287
8_liver,7_dynamic + datawig + zero,10,0.9343 ± 0.0321
8_liver,7_dynamic + datawig + zero,11,0.9350 ± 0.0307
8_liver,7_dynamic + datawig + zero,12,0.9368 ± 0.0300
8_liver,7_dynamic + datawig + zero,13,0.9394 ± 0.0302
8_liver,7_dynamic + datawig + zero,14,0.9406 ± 0.0295
8_liver,7_dynamic + datawig + zero,15,0.9417 ± 0.0287
8_liver,7_dynamic + datawig + zero,16,0.9417 ± 0.0278
8_liver,7_dynamic + datawig + zero,17,0.9434 ± 0.0279
8_liver,7_dynamic + datawig + zero,18,0.9434 ± 0.0271
8_liver,7_dynamic + datawig + zero,19,0.9441 ± 0.0265
8_liver,7_dynamic + datawig + zero,20,0.9440 ± 0.0259
8_liver,7_dynamic + datawig + zero,21,0.9446 ± 0.0254
8_liver,7_dynamic + datawig + zero,22,0.9444 ± 0.0248
8_liver,7_dynamic + datawig + zero,23,0.9450 ± 0.0244
8_liver,7_dynamic + datawig + zero,24,0.9448 ± 0.0239
8_liver,7_dynamic + datawig + zero,25,0.9453 ± 0.0235
8_liver,7_dynamic + datawig + zero,26,0.9446 ± 0.0233
8_liver,7_dynamic + datawig + zero,27,0.9454 ± 0.0233
8_liver,7_dynamic + datawig + zero,28,0.9443 ± 0.0236
8_liver,7_dynamic + datawig + zero,29,0.9447 ± 0.0233
8_liver,7_dynamic + datawig + zero,30,0.9446 ± 0.0229
8_liver,8_dynamic + datawig + knn,1,0.8696 ± 0.0000
8_liver,8_dynamic + datawig + knn,2,0.9058 ± 0.0362
8_liver,8_dynamic + datawig + knn,3,0.9130 ± 0.0313
8_liver,8_dynamic + datawig + knn,4,0.9275 ± 0.0369
8_liver,8_dynamic + datawig + knn,5,0.9227 ± 0.0346
8_liver,8_dynamic + datawig + knn,6,0.9283 ± 0.0340
8_liver,8_dynamic + datawig + knn,7,0.9262 ± 0.0319
8_liver,8_dynamic + datawig + knn,8,0.9281 ± 0.0303
8_liver,8_dynamic + datawig + knn,9,0.9297 ± 0.0289
8_liver,8_dynamic + datawig + knn,10,0.9348 ± 0.0315
8_liver,8_dynamic + datawig + knn,11,0.9354 ± 0.0301
8_liver,8_dynamic + datawig + knn,12,0.9368 ± 0.0292
8_liver,8_dynamic + datawig + knn,13,0.9394 ± 0.0295
8_liver,8_dynamic + datawig + knn,14,0.9406 ± 0.0288
8_liver,8_dynamic + datawig + knn,15,0.9417 ± 0.0281
8_liver,8_dynamic + datawig + knn,16,0.9417 ± 0.0272
8_liver,8_dynamic + datawig + knn,17,0.9434 ± 0.0273
8_liver,8_dynamic + datawig + knn,18,0.9434 ± 0.0265
8_liver,8_dynamic + datawig + knn,19,0.9441 ± 0.0260
8_liver,8_dynamic + datawig + knn,20,0.9440 ± 0.0253
8_liver,8_dynamic + datawig + knn,21,0.9446 ± 0.0248
8_liver,8_dynamic + datawig + knn,22,0.9444 ± 0.0243
8_liver,8_dynamic + datawig + knn,23,0.9450 ± 0.0239
8_liver,8_dynamic + datawig + knn,24,0.9448 ± 0.0234
8_liver,8_dynamic + datawig + knn,25,0.9453 ± 0.0230
8_liver,8_dynamic + datawig + knn,26,0.9446 ± 0.0228
8_liver,8_dynamic + datawig + knn,27,0.9454 ± 0.0228
8_liver,8_dynamic + datawig + knn,28,0.9443 ± 0.0232
8_liver,8_dynamic + datawig + knn,29,0.9447 ± 0.0229
8_liver,8_dynamic + datawig + knn,30,0.9446 ± 0.0225
8_liver,9_datawig+zero+knn.py,1,0.1304 ± 0.0000
8_liver,9_datawig+zero+knn.py,2,0.0942 ± 0.0362
8_liver,9_datawig+zero+knn.py,3,0.0870 ± 0.0313
8_liver,9_datawig+zero+knn.py,4,0.0725 ± 0.0369
8_liver,9_datawig+zero+knn.py,5,0.0754 ± 0.0336
8_liver,9_datawig+zero+knn.py,6,0.0700 ± 0.0329
8_liver,9_datawig+zero+knn.py,7,0.0725 ± 0.0310
8_liver,9_datawig+zero+knn.py,8,0.0707 ± 0.0294
8_liver,9_datawig+zero+knn.py,9,0.0692 ± 0.0280
8_liver,9_datawig+zero+knn.py,10,0.0638 ± 0.0312
8_liver,9_datawig+zero+knn.py,11,0.0632 ± 0.0298
8_liver,9_datawig+zero+knn.py,12,0.0616 ± 0.0291
8_liver,9_datawig+zero+knn.py,13,0.0591 ± 0.0292
8_liver,9_datawig+zero+knn.py,14,0.0580 ± 0.0285
8_liver,9_datawig+zero+knn.py,15,0.0570 ± 0.0277
8_liver,9_datawig+zero+knn.py,16,0.0571 ± 0.0269
8_liver,9_datawig+zero+knn.py,17,0.0554 ± 0.0269
8_liver,9_datawig+zero+knn.py,18,0.0556 ± 0.0261
8_liver,9_datawig+zero+knn.py,19,0.0549 ± 0.0256
8_liver,9_datawig+zero+knn.py,20,0.0551 ± 0.0249
8_liver,9_datawig+zero+knn.py,21,0.0545 ± 0.0245
8_liver,9_datawig+zero+knn.py,22,0.0547 ± 0.0239
8_liver,9_datawig+zero+knn.py,23,0.0542 ± 0.0235
8_liver,9_datawig+zero+knn.py,24,0.0543 ± 0.0230
8_liver,9_datawig+zero+knn.py,25,0.0539 ± 0.0226
8_liver,9_datawig+zero+knn.py,26,0.0546 ± 0.0225
8_liver,9_datawig+zero+knn.py,27,0.0537 ± 0.0226
8_liver,9_datawig+zero+knn.py,28,0.0549 ± 0.0230
8_liver,9_datawig+zero+knn.py,29,0.0545 ± 0.0227
8_liver,9_datawig+zero+knn.py,30,0.0546 ± 0.0224
8_liver,10_dynamic+zero+knn,1,0.8696 ± 0.0000
8_liver,10_dynamic+zero+knn,2,0.9058 ± 0.0362
8_liver,10_dynamic+zero+knn,3,0.9130 ± 0.0313
8_liver,10_dynamic+zero+knn,4,0.9275 ± 0.0369
8_liver,10_dynamic+zero+knn,5,0.9227 ± 0.0346
8_liver,10_dynamic+zero+knn,6,0.9283 ± 0.0340
8_liver,10_dynamic+zero+knn,7,0.9255 ± 0.0323
8_liver,10_dynamic+zero+knn,8,0.9269 ± 0.0306
8_liver,10_dynamic+zero+knn,9,0.9286 ± 0.0292
8_liver,10_dynamic+zero+knn,10,0.9343 ± 0.0326
8_liver,10_dynamic+zero+knn,11,0.9350 ± 0.0311
8_liver,10_dynamic+zero+knn,12,0.9364 ± 0.0302
8_liver,10_dynamic+zero+knn,13,0.9391 ± 0.0305
8_liver,10_dynamic+zero+knn,14,0.9403 ± 0.0297
8_liver,10_dynamic+zero+knn,15,0.9414 ± 0.0290
8_liver,10_dynamic+zero+knn,16,0.9414 ± 0.0281
8_liver,10_dynamic+zero+knn,17,0.9432 ± 0.0281
8_liver,10_dynamic+zero+knn,18,0.9428 ± 0.0274
8_liver,10_dynamic+zero+knn,19,0.9436 ± 0.0268
8_liver,10_dynamic+zero+knn,20,0.9435 ± 0.0262
8_liver,10_dynamic+zero+knn,21,0.9441 ± 0.0257
8_liver,10_dynamic+zero+knn,22,0.9440 ± 0.0251
8_liver,10_dynamic+zero+knn,23,0.9445 ± 0.0247
8_liver,10_dynamic+zero+knn,24,0.9444 ± 0.0242
8_liver,10_dynamic+zero+knn,25,0.9449 ± 0.0238
8_liver,10_dynamic+zero+knn,26,0.9443 ± 0.0236
8_liver,10_dynamic+zero+knn,27,0.9451 ± 0.0235
8_liver,10_dynamic+zero+knn,28,0.9439 ± 0.0239
8_liver,10_dynamic+zero+knn,29,0.9444 ± 0.0236
8_liver,10_dynamic+zero+knn,30,0.9441 ± 0.0232
8_liver,11_all(dynamic+datawig+zero+knn),1,0.8696 ± 0.0000
8_liver,11_all(dynamic+datawig+zero+knn),2,0.9058 ± 0.0362
8_liver,11_all(dynamic+datawig+zero+knn),3,0.9130 ± 0.0313
8_liver,11_all(dynamic+datawig+zero+knn),4,0.9275 ± 0.0369
8_liver,11_all(dynamic+datawig+zero+knn),5,0.9246 ± 0.0336
8_liver,11_all(dynamic+datawig+zero+knn),6,0.9300 ± 0.0329
8_liver,11_all(dynamic+datawig+zero+knn),7,0.9265 ± 0.0317
8_liver,11_all(dynamic+datawig+zero+knn),8,0.9284 ± 0.0301
8_liver,11_all(dynamic+datawig+zero+knn),9,0.9295 ± 0.0286
8_liver,11_all(dynamic+datawig+zero+knn),10,0.9348 ± 0.0314
8_liver,11_all(dynamic+datawig+zero+knn),11,0.9354 ± 0.0300
8_liver,11_all(dynamic+datawig+zero+knn),12,0.9369 ± 0.0292
8_liver,11_all(dynamic+datawig+zero+knn),13,0.9395 ± 0.0295
8_liver,11_all(dynamic+datawig+zero+knn),14,0.9407 ± 0.0288
8_liver,11_all(dynamic+datawig+zero+knn),15,0.9418 ± 0.0281
8_liver,11_all(dynamic+datawig+zero+knn),16,0.9418 ± 0.0272
8_liver,11_all(dynamic+datawig+zero+knn),17,0.9435 ± 0.0272
8_liver,11_all(dynamic+datawig+zero+knn),18,0.9434 ± 0.0265
8_liver,11_all(dynamic+datawig+zero+knn),19,0.9441 ± 0.0259
8_liver,11_all(dynamic+datawig+zero+knn),20,0.9440 ± 0.0253
8_liver,11_all(dynamic+datawig+zero+knn),21,0.9446 ± 0.0248
8_liver,11_all(dynamic+datawig+zero+knn),22,0.9445 ± 0.0243
8_liver,11_all(dynamic+datawig+zero+knn),23,0.9450 ± 0.0238
8_liver,11_all(dynamic+datawig+zero+knn),24,0.9449 ± 0.0234
8_liver,11_all(dynamic+datawig+zero+knn),25,0.9454 ± 0.0230
8_liver,11_all(dynamic+datawig+zero+knn),26,0.9447 ± 0.0228
8_liver,11_all(dynamic+datawig+zero+knn),27,0.9455 ± 0.0228
8_liver,11_all(dynamic+datawig+zero+knn),28,0.9444 ± 0.0232
8_liver,11_all(dynamic+datawig+zero+knn),29,0.9448 ± 0.0229
8_liver,11_all(dynamic+datawig+zero+knn),30,0.9447 ± 0.0225
8_liver,datawig,1,0.1304 ± 0.0000
