Dataset,method,Experiment,Accuracy
16_rice,9_datawig+zero+knn.py,10,0.5603 ± 0.0301
16_rice,10_dynamic+zero+knn,1,0.8023 ± 0.1739
16_rice,10_dynamic+zero+knn,2,0.8003 ± 0.1688
16_rice,10_dynamic+zero+knn,3,0.7992 ± 0.1715
16_rice,10_dynamic+zero+knn,4,0.7977 ± 0.1736
16_rice,10_dynamic+zero+knn,5,0.7980 ± 0.1723
16_rice,10_dynamic+zero+knn,6,0.7985 ± 0.1724
16_rice,10_dynamic+zero+knn,7,0.7982 ± 0.1727
16_rice,10_dynamic+zero+knn,8,0.7988 ± 0.1710
16_rice,10_dynamic+zero+knn,9,0.8005 ± 0.1706
16_rice,10_dynamic+zero+knn,10,0.8011 ± 0.1705
16_rice,11_all(dynamic+datawig+zero+knn),1,0.8327 ± 0.1580
16_rice,11_all(dynamic+datawig+zero+knn),2,0.8286 ± 0.1539
16_rice,11_all(dynamic+datawig+zero+knn),3,0.8275 ± 0.1564
16_rice,11_all(dynamic+datawig+zero+knn),4,0.8277 ± 0.1589
16_rice,11_all(dynamic+datawig+zero+knn),5,0.8276 ± 0.1575
16_rice,11_all(dynamic+datawig+zero+knn),6,0.8278 ± 0.1576
16_rice,11_all(dynamic+datawig+zero+knn),7,0.8273 ± 0.1578
16_rice,11_all(dynamic+datawig+zero+knn),8,0.8278 ± 0.1564
16_rice,11_all(dynamic+datawig+zero+knn),9,0.8299 ± 0.1564
16_rice,11_all(dynamic+datawig+zero+knn),10,0.8304 ± 0.1564
16_rice,datawig,1,0.5577 ± 0.0000
16_rice,datawig,2,0.5551 ± 0.0000
16_rice,datawig,3,0.5774 ± 0.0000
16_rice,datawig,4,0.5879 ± 0.0000
16_rice,datawig,5,0.5787 ± 0.0000
16_rice,datawig,6,0.5787 ± 0.0000
16_rice,datawig,7,0.5774 ± 0.0000
16_rice,datawig,8,0.5459 ± 0.0000
16_rice,datawig,9,0.5669 ± 0.0000
16_rice,datawig,10,0.5407 ± 0.0000
16_rice,dynamic,1,0.5564 ± 0.0000
16_rice,dynamic,2,0.5669 ± 0.0000
16_rice,dynamic,3,0.5486 ± 0.0000
16_rice,dynamic,4,0.5407 ± 0.0000
16_rice,dynamic,5,0.5630 ± 0.0000
16_rice,dynamic,6,0.5551 ± 0.0000
16_rice,dynamic,7,0.5499 ± 0.0000
16_rice,dynamic,8,0.5787 ± 0.0000
16_rice,dynamic,9,0.5774 ± 0.0000
16_rice,dynamic,10,0.5643 ± 0.0000
16_rice,knn,1,0.5577 ± 0.0000
16_rice,knn,2,0.5551 ± 0.0000
16_rice,knn,3,0.5801 ± 0.0000
