Dataset,method,Experiment,Accuracy
11_iris,9_datawig+zero+knn.py,10,0.6633 ± 0.0727
11_iris,10_dynamic+zero+knn,1,0.6667 ± 0.0000
11_iris,10_dynamic+zero+knn,2,0.6000 ± 0.0000
11_iris,10_dynamic+zero+knn,3,0.7000 ± 0.0000
11_iris,10_dynamic+zero+knn,4,0.7000 ± 0.0000
11_iris,10_dynamic+zero+knn,5,0.7667 ± 0.0000
11_iris,10_dynamic+zero+knn,6,0.5667 ± 0.0000
11_iris,10_dynamic+zero+knn,7,0.5333 ± 0.0000
11_iris,10_dynamic+zero+knn,8,0.6333 ± 0.0000
11_iris,10_dynamic+zero+knn,9,0.6333 ± 0.0000
11_iris,10_dynamic+zero+knn,10,0.6667 ± 0.0000
11_iris,11_all(dynamic+datawig+zero+knn),1,0.7500 ± 0.0601
11_iris,11_all(dynamic+datawig+zero+knn),2,0.7750 ± 0.0997
11_iris,11_all(dynamic+datawig+zero+knn),3,0.8000 ± 0.0981
11_iris,11_all(dynamic+datawig+zero+knn),4,0.8000 ± 0.0898
11_iris,11_all(dynamic+datawig+zero+knn),5,0.8083 ± 0.0842
11_iris,11_all(dynamic+datawig+zero+knn),6,0.8056 ± 0.0956
11_iris,11_all(dynamic+datawig+zero+knn),7,0.7893 ± 0.1020
11_iris,11_all(dynamic+datawig+zero+knn),8,0.7854 ± 0.1007
11_iris,11_all(dynamic+datawig+zero+knn),9,0.7852 ± 0.0980
11_iris,11_all(dynamic+datawig+zero+knn),10,0.7858 ± 0.0960
11_iris,datawig,1,0.7333 ± 0.0000
11_iris,datawig,2,0.7667 ± 0.0000
11_iris,datawig,3,0.6667 ± 0.0000
11_iris,datawig,4,0.7333 ± 0.0000
11_iris,datawig,5,0.7000 ± 0.0000
11_iris,datawig,6,0.6333 ± 0.0000
11_iris,datawig,7,0.6000 ± 0.0000
11_iris,datawig,8,0.6000 ± 0.0000
11_iris,datawig,9,0.6000 ± 0.0000
11_iris,datawig,10,0.7667 ± 0.0000
11_iris,dynamic,1,0.5333 ± 0.0000
11_iris,dynamic,2,0.5667 ± 0.0000
11_iris,dynamic,3,0.6000 ± 0.0000
11_iris,dynamic,4,0.5333 ± 0.0000
11_iris,dynamic,5,0.6667 ± 0.0000
11_iris,dynamic,6,0.5000 ± 0.0000
11_iris,dynamic,7,0.4667 ± 0.0000
