Dataset,method,Experiment,Accuracy
2_heart_disease,9_datawig+zero+knn.py,4,0.4303 ± 0.0429
2_heart_disease,9_datawig+zero+knn.py,5,0.4404 ± 0.0443
2_heart_disease,9_datawig+zero+knn.py,6,0.4454 ± 0.0587
2_heart_disease,9_datawig+zero+knn.py,7,0.4395 ± 0.0567
2_heart_disease,9_datawig+zero+knn.py,8,0.4344 ± 0.0617
2_heart_disease,9_datawig+zero+knn.py,9,0.4250 ± 0.0643
2_heart_disease,9_datawig+zero+knn.py,10,0.4235 ± 0.0690
2_heart_disease,10_dynamic+zero+knn,1,0.8306 ± 0.0430
2_heart_disease,10_dynamic+zero+knn,2,0.8142 ± 0.0589
2_heart_disease,10_dynamic+zero+knn,3,0.8051 ± 0.0521
2_heart_disease,10_dynamic+zero+knn,4,0.8046 ± 0.0466
2_heart_disease,10_dynamic+zero+knn,5,0.7836 ± 0.0620
2_heart_disease,10_dynamic+zero+knn,6,0.7896 ± 0.0584
2_heart_disease,10_dynamic+zero+knn,7,0.7869 ± 0.0592
2_heart_disease,10_dynamic+zero+knn,8,0.7903 ± 0.0580
2_heart_disease,10_dynamic+zero+knn,9,0.7887 ± 0.0567
2_heart_disease,10_dynamic+zero+knn,10,0.7814 ± 0.0587
2_heart_disease,11_all(dynamic+datawig+zero+knn),1,0.8238 ± 0.0315
2_heart_disease,11_all(dynamic+datawig+zero+knn),2,0.8053 ± 0.0515
2_heart_disease,11_all(dynamic+datawig+zero+knn),3,0.7951 ± 0.0476
2_heart_disease,11_all(dynamic+datawig+zero+knn),4,0.7930 ± 0.0425
2_heart_disease,11_all(dynamic+datawig+zero+knn),5,0.7738 ± 0.0567
2_heart_disease,11_all(dynamic+datawig+zero+knn),6,0.7848 ± 0.0576
2_heart_disease,11_all(dynamic+datawig+zero+knn),7,0.7834 ± 0.0565
2_heart_disease,11_all(dynamic+datawig+zero+knn),8,0.7838 ± 0.0558
2_heart_disease,11_all(dynamic+datawig+zero+knn),9,0.7801 ± 0.0571
2_heart_disease,11_all(dynamic+datawig+zero+knn),10,0.7717 ± 0.0608
2_heart,datawig,1,0.3934 ± 0.0000
2_heart,datawig,2,0.2459 ± 0.0000
2_heart,datawig,3,0.4754 ± 0.0000
2_heart,datawig,4,0.1639 ± 0.0000
2_heart,datawig,5,0.2459 ± 0.0000
2_heart,datawig,6,0.5082 ± 0.0000
2_heart,datawig,7,0.4262 ± 0.0000
2_heart,datawig,8,0.4918 ± 0.0000
2_heart,datawig,9,0.4754 ± 0.0000
2_heart,datawig,10,0.4426 ± 0.0000
2_heart,dynamic,1,0.5246 ± 0.0000
2_heart,dynamic,2,0.6066 ± 0.0000
2_heart,dynamic,3,0.4918 ± 0.0000
2_heart,dynamic,4,0.6066 ± 0.0000
2_heart,dynamic,5,0.5082 ± 0.0000
2_heart,dynamic,6,0.6721 ± 0.0000
2_heart,dynamic,7,0.5738 ± 0.0000
2_heart,dynamic,8,0.5902 ± 0.0000
2_heart,dynamic,9,0.3934 ± 0.0000
2_heart,dynamic,10,0.5246 ± 0.0000
2_heart,knn,1,0.2951 ± 0.0000
2_heart,knn,2,0.2131 ± 0.0000
2_heart,knn,3,0.4426 ± 0.0000
2_heart,knn,4,0.4426 ± 0.0000
2_heart,knn,5,0.4262 ± 0.0000
2_heart,knn,6,0.3607 ± 0.0000
2_heart,knn,7,0.4426 ± 0.0000
2_heart,knn,8,0.2951 ± 0.0000
2_heart,knn,9,0.3770 ± 0.0000
2_heart,knn,10,0.4098 ± 0.0000
2_heart,zero,1,0.3607 ± 0.0000
2_heart,zero,2,0.3770 ± 0.0000
2_heart,zero,3,0.4918 ± 0.0000
2_heart,zero,4,0.4590 ± 0.0000
2_heart,zero,5,0.3607 ± 0.0000
2_heart,zero,6,0.4262 ± 0.0000
2_heart,zero,7,0.2951 ± 0.0000
2_heart,zero,8,0.2131 ± 0.0000
2_heart,zero,9,0.4098 ± 0.0000
2_heart,zero,10,0.3770 ± 0.0000
