Dataset,method,Experiment,Accuracy
10_lymphography,9_datawig+zero+knn.py,5,0.0067 ± 0.0133
10_lymphography,9_datawig+zero+knn.py,6,0.0056 ± 0.0124
10_lymphography,9_datawig+zero+knn.py,7,0.0048 ± 0.0117
10_lymphography,9_datawig+zero+knn.py,8,0.0125 ± 0.0232
10_lymphography,9_datawig+zero+knn.py,9,0.0111 ± 0.0222
10_lymphography,9_datawig+zero+knn.py,10,0.0100 ± 0.0213
10_lymphography,10_dynamic+zero+knn,1,1.0000 ± 0.0000
10_lymphography,10_dynamic+zero+knn,2,1.0000 ± 0.0000
10_lymphography,10_dynamic+zero+knn,3,0.9889 ± 0.0157
10_lymphography,10_dynamic+zero+knn,4,0.9917 ± 0.0144
10_lymphography,10_dynamic+zero+knn,5,0.9933 ± 0.0133
10_lymphography,10_dynamic+zero+knn,6,0.9944 ± 0.0124
10_lymphography,10_dynamic+zero+knn,7,0.9952 ± 0.0117
10_lymphography,10_dynamic+zero+knn,8,0.9875 ± 0.0232
10_lymphography,10_dynamic+zero+knn,9,0.9889 ± 0.0222
10_lymphography,10_dynamic+zero+knn,10,0.9900 ± 0.0213
10_lymphography,11_all(dynamic+datawig+zero+knn),1,0.9917 ± 0.0144
10_lymphography,11_all(dynamic+datawig+zero+knn),2,0.9958 ± 0.0110
10_lymphography,11_all(dynamic+datawig+zero+knn),3,0.9833 ± 0.0215
10_lymphography,11_all(dynamic+datawig+zero+knn),4,0.9875 ± 0.0200
10_lymphography,11_all(dynamic+datawig+zero+knn),5,0.9900 ± 0.0186
10_lymphography,11_all(dynamic+datawig+zero+knn),6,0.9917 ± 0.0173
10_lymphography,11_all(dynamic+datawig+zero+knn),7,0.9917 ± 0.0170
10_lymphography,11_all(dynamic+datawig+zero+knn),8,0.9844 ± 0.0250
10_lymphography,11_all(dynamic+datawig+zero+knn),9,0.9861 ± 0.0241
10_lymphography,11_all(dynamic+datawig+zero+knn),10,0.9875 ± 0.0232
10_lympho,datawig,1,0.0000 ± 0.0000
10_lympho,datawig,2,0.0000 ± 0.0000
10_lympho,datawig,3,0.0333 ± 0.0000
10_lympho,datawig,4,0.0000 ± 0.0000
10_lympho,datawig,5,0.0000 ± 0.0000
10_lympho,datawig,6,0.0000 ± 0.0000
10_lympho,datawig,7,0.0000 ± 0.0000
10_lympho,datawig,8,0.0667 ± 0.0000
10_lympho,datawig,9,0.0000 ± 0.0000
10_lympho,datawig,10,0.0000 ± 0.0000
10_lympho,dynamic,1,0.4333 ± 0.0000
10_lympho,dynamic,2,0.3667 ± 0.0000
10_lympho,dynamic,3,0.4333 ± 0.0000
10_lympho,dynamic,4,0.4000 ± 0.0000
10_lympho,dynamic,5,0.3667 ± 0.0000
10_lympho,dynamic,6,0.2667 ± 0.0000
10_lympho,dynamic,7,0.3333 ± 0.0000
