Dataset,method,Experiment,Accuracy
20_obesity,4_knn + dynamic,3,0.8944 ± 0.0268
20_obesity,4_knn + dynamic,4,0.8907 ± 0.0248
20_obesity,4_knn + dynamic,5,0.8870 ± 0.0236
20_obesity,4_knn + dynamic,6,0.8814 ± 0.0256
20_obesity,4_knn + dynamic,7,0.8821 ± 0.0254
20_obesity,4_knn + dynamic,8,0.8805 ± 0.0249
20_obesity,4_knn + dynamic,9,0.8794 ± 0.0242
20_obesity,4_knn + dynamic,10,0.8793 ± 0.0251
20_obesity,4_knn + dynamic,11,0.8812 ± 0.0254
20_obesity,4_knn + dynamic,12,0.8801 ± 0.0249
20_obesity,4_knn + dynamic,13,0.8796 ± 0.0248
20_obesity,4_knn + dynamic,14,0.8786 ± 0.0242
20_obesity,4_knn + dynamic,15,0.8786 ± 0.0239
20_obesity,4_knn + dynamic,16,0.8790 ± 0.0236
20_obesity,4_knn + dynamic,17,0.8795 ± 0.0230
20_obesity,4_knn + dynamic,18,0.8792 ± 0.0227
20_obesity,4_knn + dynamic,19,0.8796 ± 0.0224
20_obesity,4_knn + dynamic,20,0.8796 ± 0.0220
20_obesity,4_knn + dynamic,21,0.8790 ± 0.0218
20_obesity,4_knn + dynamic,22,0.8798 ± 0.0218
20_obesity,4_knn + dynamic,23,0.8797 ± 0.0213
20_obesity,4_knn + dynamic,24,0.8790 ± 0.0214
20_obesity,4_knn + dynamic,25,0.8792 ± 0.0211
20_obesity,4_knn + dynamic,26,0.8797 ± 0.0212
20_obesity,4_knn + dynamic,27,0.8801 ± 0.0211
20_obesity,4_knn + dynamic,28,0.8794 ± 0.0212
20_obesity,4_knn + dynamic,29,0.8796 ± 0.0210
20_obesity,4_knn + dynamic,30,0.8801 ± 0.0211
20_obesity,5_knn+datawig,1,0.2281 ± 0.0201
20_obesity,5_knn+datawig,2,0.1826 ± 0.0524
20_obesity,5_knn+datawig,3,0.1848 ± 0.0434
20_obesity,5_knn+datawig,4,0.1906 ± 0.0396
20_obesity,5_knn+datawig,5,0.1936 ± 0.0365
20_obesity,5_knn+datawig,6,0.1976 ± 0.0351
20_obesity,5_knn+datawig,7,0.2020 ± 0.0349
20_obesity,5_knn+datawig,8,0.2042 ± 0.0333
20_obesity,5_knn+datawig,9,0.2063 ± 0.0323
20_obesity,5_knn+datawig,10,0.2038 ± 0.0324
20_obesity,5_knn+datawig,11,0.2038 ± 0.0310
20_obesity,5_knn+datawig,12,0.2031 ± 0.0304
20_obesity,5_knn+datawig,13,0.2039 ± 0.0295
20_obesity,5_knn+datawig,14,0.2041 ± 0.0286
20_obesity,5_knn+datawig,15,0.2054 ± 0.0288
20_obesity,5_knn+datawig,16,0.2049 ± 0.0279
20_obesity,5_knn+datawig,17,0.2041 ± 0.0280
20_obesity,5_knn+datawig,18,0.2049 ± 0.0278
20_obesity,5_knn+datawig,19,0.2045 ± 0.0271
20_obesity,5_knn+datawig,20,0.2034 ± 0.0290
20_obesity,5_knn+datawig,21,0.2045 ± 0.0289
20_obesity,5_knn+datawig,22,0.2054 ± 0.0288
20_obesity,5_knn+datawig,23,0.2056 ± 0.0283
20_obesity,5_knn+datawig,24,0.2052 ± 0.0281
20_obesity,5_knn+datawig,25,0.2037 ± 0.0295
20_obesity,5_knn+datawig,26,0.2043 ± 0.0291
20_obesity,5_knn+datawig,27,0.2038 ± 0.0289
20_obesity,5_knn+datawig,28,0.2046 ± 0.0293
20_obesity,5_knn+datawig,29,0.2041 ± 0.0290
20_obesity,5_knn+datawig,30,0.2040 ± 0.0288
20_obesity,6_dynamic + datawig,1,0.8700 ± 0.0047
20_obesity,6_dynamic + datawig,2,0.8812 ± 0.0117
20_obesity,6_dynamic + datawig,3,0.8771 ± 0.0135
20_obesity,6_dynamic + datawig,4,0.8783 ± 0.0138
20_obesity,6_dynamic + datawig,5,0.8773 ± 0.0128
20_obesity,6_dynamic + datawig,6,0.8735 ± 0.0157
20_obesity,6_dynamic + datawig,7,0.8728 ± 0.0148
