Dataset,method,Experiment,Accuracy
15_magic,1_zero+knn,1,0.7921 ± 0.0187
15_magic,1_zero+knn,2,0.7986 ± 0.0209
15_magic,1_zero+knn,3,0.8006 ± 0.0192
15_magic,1_zero+knn,4,0.8002 ± 0.0173
15_magic,1_zero+knn,5,0.8000 ± 0.0166
15_magic,1_zero+knn,6,0.7999 ± 0.0165
15_magic,1_zero+knn,7,0.8008 ± 0.0167
15_magic,1_zero+knn,8,0.8012 ± 0.0171
15_magic,1_zero+knn,9,0.8012 ± 0.0173
15_magic,1_zero+knn,10,0.8021 ± 0.0175
15_magic,1_zero+knn,11,0.8019 ± 0.0179
15_magic,1_zero+knn,12,0.8022 ± 0.0175
15_magic,1_zero+knn,13,0.8022 ± 0.0183
15_magic,1_zero+knn,14,0.8018 ± 0.0184
15_magic,1_zero+knn,15,0.8021 ± 0.0187
15_magic,1_zero+knn,16,0.8019 ± 0.0185
15_magic,1_zero+knn,17,0.8018 ± 0.0190
15_magic,1_zero+knn,18,0.8017 ± 0.0190
15_magic,1_zero+knn,19,0.8021 ± 0.0190
15_magic,1_zero+knn,20,0.8021 ± 0.0188
15_magic,1_zero+knn,21,0.8019 ± 0.0188
15_magic,1_zero+knn,22,0.8018 ± 0.0187
15_magic,1_zero+knn,23,0.8020 ± 0.0187
15_magic,1_zero+knn,24,0.8017 ± 0.0189
15_magic,1_zero+knn,25,0.8019 ± 0.0187
15_magic,1_zero+knn,26,0.8020 ± 0.0187
15_magic,1_zero+knn,27,0.8019 ± 0.0186
15_magic,1_zero+knn,28,0.8018 ± 0.0192
15_magic,1_zero+knn,29,0.8017 ± 0.0191
15_magic,1_zero+knn,30,0.8015 ± 0.0190
15_magic,2_zero + dynamic,1,0.7487 ± 0.0747
15_magic,2_zero + dynamic,2,0.7448 ± 0.0774
15_magic,2_zero + dynamic,3,0.7436 ± 0.0769
15_magic,2_zero + dynamic,4,0.7436 ± 0.0756
15_magic,2_zero + dynamic,5,0.7432 ± 0.0735
15_magic,2_zero + dynamic,6,0.7420 ± 0.0727
15_magic,2_zero + dynamic,7,0.7420 ± 0.0730
15_magic,2_zero + dynamic,8,0.7414 ± 0.0743
15_magic,2_zero + dynamic,9,0.7402 ± 0.0740
15_magic,2_zero + dynamic,10,0.7411 ± 0.0734
15_magic,2_zero + dynamic,11,0.7414 ± 0.0736
15_magic,2_zero + dynamic,12,0.7413 ± 0.0734
15_magic,2_zero + dynamic,13,0.7412 ± 0.0731
15_magic,2_zero + dynamic,14,0.7409 ± 0.0730
15_magic,2_zero + dynamic,15,0.7418 ± 0.0723
15_magic,2_zero + dynamic,16,0.7420 ± 0.0719
15_magic,2_zero + dynamic,17,0.7414 ± 0.0716
15_magic,2_zero + dynamic,18,0.7415 ± 0.0716
15_magic,2_zero + dynamic,19,0.7412 ± 0.0713
15_magic,2_zero + dynamic,20,0.7409 ± 0.0710
15_magic,2_zero + dynamic,21,0.7409 ± 0.0708
15_magic,2_zero + dynamic,22,0.7409 ± 0.0706
15_magic,2_zero + dynamic,23,0.7406 ± 0.0707
15_magic,2_zero + dynamic,24,0.7408 ± 0.0706
15_magic,2_zero + dynamic,25,0.7408 ± 0.0704
15_magic,2_zero + dynamic,26,0.7410 ± 0.0705
15_magic,2_zero + dynamic,27,0.7411 ± 0.0707
15_magic,2_zero + dynamic,28,0.7412 ± 0.0710
15_magic,2_zero + dynamic,29,0.7404 ± 0.0713
15_magic,2_zero + dynamic,30,0.7404 ± 0.0712
15_magic,knn,1,0.8102 ± 0.0000
15_magic,knn,2,0.8070 ± 0.0000
15_magic,knn,3,0.7971 ± 0.0000
15_magic,knn,4,0.7992 ± 0.0000
15_magic,knn,5,0.8076 ± 0.0000
15_magic,knn,6,0.7842 ± 0.0000
15_magic,knn,7,0.8078 ± 0.0000
15_magic,knn,8,0.8068 ± 0.0000
15_magic,knn,9,0.8060 ± 0.0000
15_magic,knn,10,0.8086 ± 0.0000
15_magic,knn,11,0.8021 ± 0.0000
15_magic,knn,12,0.7955 ± 0.0000
15_magic,knn,13,0.8031 ± 0.0000
15_magic,knn,14,0.8102 ± 0.0000
15_magic,knn,15,0.8247 ± 0.0000
15_magic,knn,16,0.7989 ± 0.0000
15_magic,knn,17,0.8141 ± 0.0000
15_magic,knn,18,0.8021 ± 0.0000
15_magic,knn,19,0.8118 ± 0.0000
15_magic,knn,20,0.8134 ± 0.0000
15_magic,knn,21,0.8126 ± 0.0000
15_magic,knn,22,0.8089 ± 0.0000
15_magic,knn,23,0.8028 ± 0.0000
15_magic,knn,24,0.8099 ± 0.0000
15_magic,knn,25,0.7881 ± 0.0000
