Dataset,method,Experiment,Accuracy
22_seeds,4_knn + dynamic,4,0.7917 ± 0.1447
22_seeds,4_knn + dynamic,5,0.8024 ± 0.1437
22_seeds,4_knn + dynamic,6,0.8135 ± 0.1378
22_seeds,4_knn + dynamic,7,0.8027 ± 0.1351
22_seeds,4_knn + dynamic,8,0.8155 ± 0.1332
22_seeds,4_knn + dynamic,9,0.8214 ± 0.1297
22_seeds,4_knn + dynamic,10,0.8155 ± 0.1280
22_seeds,4_knn + dynamic,11,0.8149 ± 0.1272
22_seeds,4_knn + dynamic,12,0.8095 ± 0.1335
22_seeds,4_knn + dynamic,13,0.8086 ± 0.1317
22_seeds,4_knn + dynamic,14,0.8146 ± 0.1297
22_seeds,4_knn + dynamic,15,0.8151 ± 0.1283
22_seeds,4_knn + dynamic,16,0.8147 ± 0.1265
22_seeds,4_knn + dynamic,17,0.8109 ± 0.1264
22_seeds,4_knn + dynamic,18,0.8128 ± 0.1269
22_seeds,4_knn + dynamic,19,0.8120 ± 0.1271
22_seeds,4_knn + dynamic,20,0.8119 ± 0.1249
22_seeds,4_knn + dynamic,21,0.8141 ± 0.1241
22_seeds,4_knn + dynamic,22,0.8149 ± 0.1239
22_seeds,4_knn + dynamic,23,0.8157 ± 0.1229
22_seeds,4_knn + dynamic,24,0.8160 ± 0.1232
22_seeds,4_knn + dynamic,25,0.8176 ± 0.1225
22_seeds,4_knn + dynamic,26,0.8159 ± 0.1215
22_seeds,4_knn + dynamic,27,0.8166 ± 0.1207
22_seeds,4_knn + dynamic,28,0.8180 ± 0.1201
22_seeds,4_knn + dynamic,29,0.8198 ± 0.1200
22_seeds,4_knn + dynamic,30,0.8198 ± 0.1182
22_seeds,5_knn+datawig,1,0.3095 ± 0.0000
22_seeds,5_knn+datawig,2,0.3929 ± 0.0833
22_seeds,5_knn+datawig,3,0.4127 ± 0.0736
22_seeds,5_knn+datawig,4,0.3988 ± 0.0681
22_seeds,5_knn+datawig,5,0.3762 ± 0.0759
22_seeds,5_knn+datawig,6,0.3651 ± 0.0736
22_seeds,5_knn+datawig,7,0.3673 ± 0.0684
22_seeds,5_knn+datawig,8,0.3512 ± 0.0769
22_seeds,5_knn+datawig,9,0.3439 ± 0.0754
22_seeds,5_knn+datawig,10,0.3524 ± 0.0759
22_seeds,5_knn+datawig,11,0.3550 ± 0.0728
22_seeds,5_knn+datawig,12,0.3651 ± 0.0774
22_seeds,5_knn+datawig,13,0.3590 ± 0.0773
22_seeds,5_knn+datawig,14,0.3469 ± 0.0862
22_seeds,5_knn+datawig,15,0.3476 ± 0.0833
22_seeds,5_knn+datawig,16,0.3452 ± 0.0812
22_seeds,5_knn+datawig,17,0.3459 ± 0.0788
22_seeds,5_knn+datawig,18,0.3413 ± 0.0790
22_seeds,5_knn+datawig,19,0.3434 ± 0.0774
22_seeds,5_knn+datawig,20,0.3417 ± 0.0758
22_seeds,5_knn+datawig,21,0.3379 ± 0.0759
22_seeds,5_knn+datawig,22,0.3377 ± 0.0741
22_seeds,5_knn+datawig,23,0.3354 ± 0.0733
22_seeds,5_knn+datawig,24,0.3363 ± 0.0719
22_seeds,5_knn+datawig,25,0.3333 ± 0.0719
22_seeds,5_knn+datawig,26,0.3333 ± 0.0705
22_seeds,5_knn+datawig,27,0.3351 ± 0.0698
22_seeds,5_knn+datawig,28,0.3325 ± 0.0698
22_seeds,5_knn+datawig,29,0.3309 ± 0.0692
22_seeds,5_knn+datawig,30,0.3270 ± 0.0711
22_seeds,6_dynamic + datawig,1,0.8214 ± 0.1071
22_seeds,6_dynamic + datawig,2,0.8036 ± 0.1556
22_seeds,6_dynamic + datawig,3,0.8016 ± 0.1413
22_seeds,6_dynamic + datawig,4,0.8095 ± 0.1424
22_seeds,6_dynamic + datawig,5,0.8190 ± 0.1393
22_seeds,6_dynamic + datawig,6,0.8254 ± 0.1337
22_seeds,6_dynamic + datawig,7,0.8180 ± 0.1346
22_seeds,6_dynamic + datawig,8,0.8274 ± 0.1300
22_seeds,6_dynamic + datawig,9,0.8307 ± 0.1252
22_seeds,6_dynamic + datawig,10,0.8238 ± 0.1243
22_seeds,6_dynamic + datawig,11,0.8225 ± 0.1239
22_seeds,6_dynamic + datawig,12,0.8155 ± 0.1277
22_seeds,6_dynamic + datawig,13,0.8141 ± 0.1263
22_seeds,6_dynamic + datawig,14,0.8138 ± 0.1219
22_seeds,6_dynamic + datawig,15,0.8151 ± 0.1218
22_seeds,6_dynamic + datawig,16,0.8162 ± 0.1217
22_seeds,6_dynamic + datawig,17,0.8102 ± 0.1217
22_seeds,6_dynamic + datawig,18,0.8095 ± 0.1200
22_seeds,6_dynamic + datawig,19,0.8070 ± 0.1193
22_seeds,6_dynamic + datawig,20,0.8077 ± 0.1178
22_seeds,6_dynamic + datawig,21,0.8084 ± 0.1157
22_seeds,6_dynamic + datawig,22,0.8084 ± 0.1149
22_seeds,6_dynamic + datawig,23,0.8090 ± 0.1137
22_seeds,6_dynamic + datawig,24,0.8085 ± 0.1135
22_seeds,6_dynamic + datawig,25,0.8110 ± 0.1138
22_seeds,6_dynamic + datawig,26,0.8077 ± 0.1134
22_seeds,6_dynamic + datawig,27,0.8095 ± 0.1140
22_seeds,6_dynamic + datawig,28,0.8108 ± 0.1132
22_seeds,6_dynamic + datawig,29,0.8124 ± 0.1130
22_seeds,6_dynamic + datawig,30,0.8135 ± 0.1118
22_seeds,7_dynamic + datawig + zero,1,0.8571 ± 0.1029
22_seeds,7_dynamic + datawig + zero,2,0.8532 ± 0.1464
22_seeds,7_dynamic + datawig + zero,3,0.8386 ± 0.1346
22_seeds,7_dynamic + datawig + zero,4,0.8413 ± 0.1294
22_seeds,7_dynamic + datawig + zero,5,0.8476 ± 0.1268
22_seeds,7_dynamic + datawig + zero,6,0.8519 ± 0.1208
22_seeds,7_dynamic + datawig + zero,7,0.8481 ± 0.1179
22_seeds,7_dynamic + datawig + zero,8,0.8581 ± 0.1159
22_seeds,7_dynamic + datawig + zero,9,0.8598 ± 0.1114
22_seeds,7_dynamic + datawig + zero,10,0.8563 ± 0.1119
22_seeds,7_dynamic + datawig + zero,11,0.8557 ± 0.1120
22_seeds,7_dynamic + datawig + zero,12,0.8492 ± 0.1156
22_seeds,7_dynamic + datawig + zero,13,0.8474 ± 0.1146
22_seeds,7_dynamic + datawig + zero,14,0.8464 ± 0.1106
22_seeds,7_dynamic + datawig + zero,15,0.8476 ± 0.1105
22_seeds,7_dynamic + datawig + zero,16,0.8482 ± 0.1099
22_seeds,7_dynamic + datawig + zero,17,0.8427 ± 0.1107
22_seeds,7_dynamic + datawig + zero,18,0.8417 ± 0.1092
22_seeds,7_dynamic + datawig + zero,19,0.8400 ± 0.1091
22_seeds,7_dynamic + datawig + zero,20,0.8401 ± 0.1076
22_seeds,7_dynamic + datawig + zero,21,0.8409 ± 0.1062
22_seeds,7_dynamic + datawig + zero,22,0.8398 ± 0.1051
22_seeds,7_dynamic + datawig + zero,23,0.8402 ± 0.1041
22_seeds,7_dynamic + datawig + zero,24,0.8406 ± 0.1044
22_seeds,7_dynamic + datawig + zero,25,0.8429 ± 0.1047
22_seeds,7_dynamic + datawig + zero,26,0.8407 ± 0.1047
22_seeds,7_dynamic + datawig + zero,27,0.8419 ± 0.1046
22_seeds,7_dynamic + datawig + zero,28,0.8433 ± 0.1042
22_seeds,7_dynamic + datawig + zero,29,0.8451 ± 0.1044
22_seeds,7_dynamic + datawig + zero,30,0.8452 ± 0.1032
22_seeds,8_dynamic + datawig + knn,1,0.8571 ± 0.1010
22_seeds,8_dynamic + datawig + knn,2,0.8413 ± 0.1365
22_seeds,8_dynamic + datawig + knn,3,0.8307 ± 0.1316
22_seeds,8_dynamic + datawig + knn,4,0.8393 ± 0.1268
22_seeds,8_dynamic + datawig + knn,5,0.8476 ± 0.1262
22_seeds,8_dynamic + datawig + knn,6,0.8545 ± 0.1219
22_seeds,8_dynamic + datawig + knn,7,0.8447 ± 0.1218
22_seeds,8_dynamic + datawig + knn,8,0.8552 ± 0.1196
22_seeds,8_dynamic + datawig + knn,9,0.8563 ± 0.1144
22_seeds,8_dynamic + datawig + knn,10,0.8524 ± 0.1143
22_seeds,8_dynamic + datawig + knn,11,0.8521 ± 0.1141
22_seeds,8_dynamic + datawig + knn,12,0.8459 ± 0.1172
22_seeds,8_dynamic + datawig + knn,13,0.8443 ± 0.1159
22_seeds,8_dynamic + datawig + knn,14,0.8452 ± 0.1133
22_seeds,8_dynamic + datawig + knn,15,0.8471 ± 0.1134
22_seeds,8_dynamic + datawig + knn,16,0.8472 ± 0.1124
22_seeds,8_dynamic + datawig + knn,17,0.8427 ± 0.1128
22_seeds,8_dynamic + datawig + knn,18,0.8426 ± 0.1117
22_seeds,8_dynamic + datawig + knn,19,0.8413 ± 0.1118
22_seeds,8_dynamic + datawig + knn,20,0.8417 ± 0.1104
22_seeds,8_dynamic + datawig + knn,21,0.8428 ± 0.1092
22_seeds,8_dynamic + datawig + knn,22,0.8424 ± 0.1084
22_seeds,8_dynamic + datawig + knn,23,0.8427 ± 0.1073
22_seeds,8_dynamic + datawig + knn,24,0.8423 ± 0.1071
22_seeds,8_dynamic + datawig + knn,25,0.8441 ± 0.1069
22_seeds,8_dynamic + datawig + knn,26,0.8410 ± 0.1069
22_seeds,8_dynamic + datawig + knn,27,0.8413 ± 0.1061
22_seeds,8_dynamic + datawig + knn,28,0.8424 ± 0.1054
22_seeds,8_dynamic + datawig + knn,29,0.8446 ± 0.1059
22_seeds,8_dynamic + datawig + knn,30,0.8444 ± 0.1044
22_seeds,9_datawig+zero+knn.py,1,0.3095 ± 0.0000
22_seeds,9_datawig+zero+knn.py,2,0.3929 ± 0.0833
22_seeds,9_datawig+zero+knn.py,3,0.4127 ± 0.0736
22_seeds,9_datawig+zero+knn.py,4,0.3988 ± 0.0681
22_seeds,9_datawig+zero+knn.py,5,0.3762 ± 0.0759
22_seeds,9_datawig+zero+knn.py,6,0.3651 ± 0.0736
22_seeds,9_datawig+zero+knn.py,7,0.3673 ± 0.0684
22_seeds,9_datawig+zero+knn.py,8,0.3512 ± 0.0769
22_seeds,9_datawig+zero+knn.py,9,0.3439 ± 0.0754
22_seeds,9_datawig+zero+knn.py,10,0.3524 ± 0.0759
22_seeds,9_datawig+zero+knn.py,11,0.3550 ± 0.0728
22_seeds,9_datawig+zero+knn.py,12,0.3651 ± 0.0774
22_seeds,9_datawig+zero+knn.py,13,0.3590 ± 0.0773
22_seeds,9_datawig+zero+knn.py,14,0.3469 ± 0.0862
22_seeds,9_datawig+zero+knn.py,15,0.3476 ± 0.0833
22_seeds,9_datawig+zero+knn.py,16,0.3452 ± 0.0812
22_seeds,9_datawig+zero+knn.py,17,0.3459 ± 0.0788
22_seeds,9_datawig+zero+knn.py,18,0.3413 ± 0.0790
22_seeds,9_datawig+zero+knn.py,19,0.3434 ± 0.0774
22_seeds,9_datawig+zero+knn.py,20,0.3417 ± 0.0758
22_seeds,9_datawig+zero+knn.py,21,0.3379 ± 0.0759
22_seeds,9_datawig+zero+knn.py,22,0.3377 ± 0.0741
22_seeds,9_datawig+zero+knn.py,23,0.3354 ± 0.0733
22_seeds,9_datawig+zero+knn.py,24,0.3363 ± 0.0719
22_seeds,9_datawig+zero+knn.py,25,0.3333 ± 0.0719
22_seeds,9_datawig+zero+knn.py,26,0.3333 ± 0.0705
22_seeds,9_datawig+zero+knn.py,27,0.3351 ± 0.0698
22_seeds,9_datawig+zero+knn.py,28,0.3325 ± 0.0698
22_seeds,9_datawig+zero+knn.py,29,0.3309 ± 0.0692
22_seeds,9_datawig+zero+knn.py,30,0.3270 ± 0.0711
22_seeds,10_dynamic+zero+knn,1,0.8571 ± 0.1029
22_seeds,10_dynamic+zero+knn,2,0.8452 ± 0.1407
22_seeds,10_dynamic+zero+knn,3,0.8307 ± 0.1386
22_seeds,10_dynamic+zero+knn,4,0.8373 ± 0.1343
22_seeds,10_dynamic+zero+knn,5,0.8476 ± 0.1309
22_seeds,10_dynamic+zero+knn,6,0.8519 ± 0.1244
22_seeds,10_dynamic+zero+knn,7,0.8435 ± 0.1237
22_seeds,10_dynamic+zero+knn,8,0.8542 ± 0.1215
22_seeds,10_dynamic+zero+knn,9,0.8554 ± 0.1163
22_seeds,10_dynamic+zero+knn,10,0.8492 ± 0.1186
22_seeds,10_dynamic+zero+knn,11,0.8499 ± 0.1186
22_seeds,10_dynamic+zero+knn,12,0.8439 ± 0.1215
22_seeds,10_dynamic+zero+knn,13,0.8431 ± 0.1205
22_seeds,10_dynamic+zero+knn,14,0.8464 ± 0.1175
22_seeds,10_dynamic+zero+knn,15,0.8471 ± 0.1166
22_seeds,10_dynamic+zero+knn,16,0.8472 ± 0.1154
22_seeds,10_dynamic+zero+knn,17,0.8427 ± 0.1156
22_seeds,10_dynamic+zero+knn,18,0.8435 ± 0.1150
22_seeds,10_dynamic+zero+knn,19,0.8425 ± 0.1150
22_seeds,10_dynamic+zero+knn,20,0.8421 ± 0.1131
22_seeds,10_dynamic+zero+knn,21,0.8439 ± 0.1122
22_seeds,10_dynamic+zero+knn,22,0.8438 ± 0.1114
22_seeds,10_dynamic+zero+knn,23,0.8440 ± 0.1102
22_seeds,10_dynamic+zero+knn,24,0.8433 ± 0.1097
22_seeds,10_dynamic+zero+knn,25,0.8454 ± 0.1097
22_seeds,10_dynamic+zero+knn,26,0.8431 ± 0.1094
22_seeds,10_dynamic+zero+knn,27,0.8439 ± 0.1088
22_seeds,10_dynamic+zero+knn,28,0.8450 ± 0.1081
22_seeds,10_dynamic+zero+knn,29,0.8470 ± 0.1084
22_seeds,10_dynamic+zero+knn,30,0.8466 ± 0.1068
22_seeds,11_all(dynamic+datawig+zero+knn),1,0.8750 ± 0.0943
22_seeds,11_all(dynamic+datawig+zero+knn),2,0.8690 ± 0.1288
22_seeds,11_all(dynamic+datawig+zero+knn),3,0.8552 ± 0.1235
22_seeds,11_all(dynamic+datawig+zero+knn),4,0.8631 ± 0.1221
22_seeds,11_all(dynamic+datawig+zero+knn),5,0.8726 ± 0.1201
22_seeds,11_all(dynamic+datawig+zero+knn),6,0.8770 ± 0.1133
22_seeds,11_all(dynamic+datawig+zero+knn),7,0.8690 ± 0.1121
22_seeds,11_all(dynamic+datawig+zero+knn),8,0.8750 ± 0.1076
22_seeds,11_all(dynamic+datawig+zero+knn),9,0.8757 ± 0.1032
22_seeds,11_all(dynamic+datawig+zero+knn),10,0.8696 ± 0.1059
22_seeds,11_all(dynamic+datawig+zero+knn),11,0.8701 ± 0.1060
22_seeds,11_all(dynamic+datawig+zero+knn),12,0.8646 ± 0.1093
22_seeds,11_all(dynamic+datawig+zero+knn),13,0.8631 ± 0.1073
22_seeds,11_all(dynamic+datawig+zero+knn),14,0.8639 ± 0.1046
22_seeds,11_all(dynamic+datawig+zero+knn),15,0.8651 ± 0.1043
22_seeds,11_all(dynamic+datawig+zero+knn),16,0.8642 ± 0.1024
22_seeds,11_all(dynamic+datawig+zero+knn),17,0.8596 ± 0.1031
22_seeds,11_all(dynamic+datawig+zero+knn),18,0.8598 ± 0.1024
22_seeds,11_all(dynamic+datawig+zero+knn),19,0.8587 ± 0.1024
22_seeds,11_all(dynamic+datawig+zero+knn),20,0.8583 ± 0.1009
22_seeds,11_all(dynamic+datawig+zero+knn),21,0.8591 ± 0.0998
22_seeds,11_all(dynamic+datawig+zero+knn),22,0.8585 ± 0.0990
22_seeds,11_all(dynamic+datawig+zero+knn),23,0.8584 ± 0.0981
22_seeds,11_all(dynamic+datawig+zero+knn),24,0.8586 ± 0.0982
22_seeds,11_all(dynamic+datawig+zero+knn),25,0.8600 ± 0.0976
22_seeds,11_all(dynamic+datawig+zero+knn),26,0.8571 ± 0.0977
22_seeds,11_all(dynamic+datawig+zero+knn),27,0.8582 ± 0.0975
22_seeds,11_all(dynamic+datawig+zero+knn),28,0.8595 ± 0.0970
22_seeds,11_all(dynamic+datawig+zero+knn),29,0.8610 ± 0.0971
22_seeds,11_all(dynamic+datawig+zero+knn),30,0.8607 ± 0.0959
22_seeds,datawig,1,0.3095 ± 0.0000
22_seeds,datawig,2,0.4762 ± 0.0000
22_seeds,datawig,3,0.4524 ± 0.0000
22_seeds,datawig,4,0.3571 ± 0.0000
22_seeds,datawig,5,0.2857 ± 0.0000
22_seeds,datawig,6,0.3095 ± 0.0000
22_seeds,datawig,7,0.3810 ± 0.0000
22_seeds,datawig,8,0.2381 ± 0.0000
22_seeds,datawig,9,0.2857 ± 0.0000
22_seeds,datawig,10,0.4286 ± 0.0000
22_seeds,datawig,11,0.3810 ± 0.0000
22_seeds,datawig,12,0.4762 ± 0.0000
22_seeds,datawig,13,0.2857 ± 0.0000
22_seeds,datawig,14,0.1905 ± 0.0000
22_seeds,datawig,15,0.3571 ± 0.0000
22_seeds,datawig,16,0.3095 ± 0.0000
22_seeds,datawig,17,0.3571 ± 0.0000
22_seeds,datawig,18,0.2619 ± 0.0000
22_seeds,datawig,19,0.3810 ± 0.0000
22_seeds,datawig,20,0.3095 ± 0.0000
22_seeds,datawig,21,0.2619 ± 0.0000
22_seeds,datawig,22,0.3333 ± 0.0000
22_seeds,datawig,23,0.2857 ± 0.0000
22_seeds,datawig,24,0.3571 ± 0.0000
22_seeds,datawig,25,0.2619 ± 0.0000
22_seeds,datawig,26,0.3333 ± 0.0000
22_seeds,datawig,27,0.3810 ± 0.0000
22_seeds,datawig,28,0.2619 ± 0.0000
22_seeds,datawig,29,0.2857 ± 0.0000
22_seeds,datawig,30,0.2143 ± 0.0000
22_seeds,dynamic,1,0.5714 ± 0.0000
22_seeds,dynamic,2,0.5952 ± 0.0000
22_seeds,dynamic,3,0.6905 ± 0.0000
22_seeds,dynamic,4,0.4762 ± 0.0000
22_seeds,dynamic,5,0.5476 ± 0.0000
22_seeds,dynamic,6,0.4524 ± 0.0000
22_seeds,dynamic,7,0.5000 ± 0.0000
22_seeds,dynamic,8,0.4286 ± 0.0000
22_seeds,dynamic,9,0.4286 ± 0.0000
22_seeds,dynamic,10,0.4762 ± 0.0000
22_seeds,dynamic,11,0.4762 ± 0.0000
22_seeds,dynamic,12,0.5952 ± 0.0000
22_seeds,dynamic,13,0.5952 ± 0.0000
22_seeds,dynamic,14,0.3571 ± 0.0000
22_seeds,dynamic,15,0.5714 ± 0.0000
22_seeds,dynamic,16,0.5476 ± 0.0000
22_seeds,dynamic,17,0.4762 ± 0.0000
22_seeds,dynamic,18,0.4524 ± 0.0000
22_seeds,dynamic,19,0.5476 ± 0.0000
22_seeds,dynamic,20,0.4048 ± 0.0000
22_seeds,dynamic,21,0.4762 ± 0.0000
