Dataset,method,Experiment,Accuracy,RMSE
5_spambase,9_datawig+zero+knn.py,6,0.9138 ± 0.0144
5_spambase,9_datawig+zero+knn.py,7,0.9133 ± 0.0136
5_spambase,9_datawig+zero+knn.py,8,0.9144 ± 0.0131
5_spambase,9_datawig+zero+knn.py,9,0.9132 ± 0.0130
5_spambase,9_datawig+zero+knn.py,10,0.9112 ± 0.0148
5_spambase,10_dynamic+zero+knn,1,0.8029 ± 0.1542
5_spambase,10_dynamic+zero+knn,2,0.8076 ± 0.1482
5_spambase,10_dynamic+zero+knn,3,0.8058 ± 0.1483
5_spambase,10_dynamic+zero+knn,4,0.8072 ± 0.1444
5_spambase,10_dynamic+zero+knn,5,0.8074 ± 0.1436
5_spambase,10_dynamic+zero+knn,6,0.8072 ± 0.1434
5_spambase,10_dynamic+zero+knn,7,0.8067 ± 0.1433
5_spambase,10_dynamic+zero+knn,8,0.8079 ± 0.1442
5_spambase,10_dynamic+zero+knn,9,0.8060 ± 0.1447
5_spambase,10_dynamic+zero+knn,10,0.8059 ± 0.1437
5_spambase,11_all(dynamic+datawig+zero+knn),1,0.8342 ± 0.1440
5_spambase,11_all(dynamic+datawig+zero+knn),2,0.8352 ± 0.1370
5_spambase,11_all(dynamic+datawig+zero+knn),3,0.8320 ± 0.1363
5_spambase,11_all(dynamic+datawig+zero+knn),4,0.8317 ± 0.1322
5_spambase,11_all(dynamic+datawig+zero+knn),5,0.8334 ± 0.1324
5_spambase,11_all(dynamic+datawig+zero+knn),6,0.8336 ± 0.1324
5_spambase,11_all(dynamic+datawig+zero+knn),7,0.8325 ± 0.1321
5_spambase,11_all(dynamic+datawig+zero+knn),8,0.8327 ± 0.1322
5_spambase,11_all(dynamic+datawig+zero+knn),9,0.8313 ± 0.1329
5_spambase,11_all(dynamic+datawig+zero+knn),10,0.8307 ± 0.1318
5_spambase,datawig,1,0.9217 ± 0.0000
5_spambase,datawig,2,0.9163 ± 0.0000
5_spambase,datawig,3,0.9054 ± 0.0000
5_spambase,datawig,4,0.9152 ± 0.0000
5_spambase,datawig,5,0.8870 ± 0.0000
5_spambase,datawig,6,0.9065 ± 0.0000
5_spambase,datawig,7,0.8946 ± 0.0000
5_spambase,datawig,8,0.9087 ± 0.0000
5_spambase,datawig,9,0.9033 ± 0.0000
5_spambase,datawig,10,0.9011 ± 0.0000
5_spambase,dynamic,1,0.5848 ± 0.0000
5_spambase,dynamic,2,0.6120 ± 0.0000
5_spambase,dynamic,3,0.5924 ± 0.0000
5_spambase,dynamic,4,0.6250 ± 0.0000
5_spambase,dynamic,5,0.6098 ± 0.0000
5_spambase,dynamic,6,0.6054 ± 0.0000
5_spambase,dynamic,7,0.6011 ± 0.0000
5_spambase,dynamic,8,0.6043 ± 0.0000
5_spambase,dynamic,9,0.5815 ± 0.0000
5_spambase,dynamic,10,0.6152 ± 0.0000
5_spambase,knn,1,0.9348 ± 0.0000
5_spambase,knn,2,0.9478 ± 0.0000
5_spambase,knn,3,0.9196 ± 0.0000
5_spambase,knn,4,0.9326 ± 0.0000
5_spambase,knn,5,0.9293 ± 0.0000
5_spambase,knn,6,0.9196 ± 0.0000
5_spambase,knn,7,0.9304 ± 0.0000
5_spambase,knn,8,0.9250 ± 0.0000
5_spambase,knn,9,0.9359 ± 0.0000
5_spambase,knn,10,0.9217 ± 0.0000
5_spambase,zero,1,0.9087 ± 0.0000
5_spambase,zero,2,0.9207 ± 0.0000
5_spambase,zero,3,0.9196 ± 0.0000
5_spambase,zero,4,0.9228 ± 0.0000
5_spambase,zero,5,0.9239 ± 0.0000
5_spambase,zero,6,0.9141 ± 0.0000
5_spambase,zero,7,0.9098 ± 0.0000
5_spambase,zero,8,0.9228 ± 0.0000
5_spambase,zero,9,0.9054 ± 0.0000
5_spambase,zero,10,0.9141 ± 0.0000
