Dataset,method,Experiment,Accuracy
14_national,10_dynamic+zero+knn,3,0.8816 ± 0.0000
14_national,10_dynamic+zero+knn,4,0.8794 ± 0.0000
14_national,10_dynamic+zero+knn,5,0.8706 ± 0.0000
14_national,10_dynamic+zero+knn,6,0.8640 ± 0.0000
14_national,10_dynamic+zero+knn,7,0.8421 ± 0.0000
14_national,10_dynamic+zero+knn,8,0.8684 ± 0.0000
14_national,10_dynamic+zero+knn,9,0.8465 ± 0.0000
14_national,10_dynamic+zero+knn,10,0.8399 ± 0.0000
14_national,11_all(dynamic+datawig+zero+knn),1,0.9304 ± 0.0423
14_national,11_all(dynamic+datawig+zero+knn),2,0.9386 ± 0.0398
14_national,11_all(dynamic+datawig+zero+knn),3,0.9417 ± 0.0396
14_national,11_all(dynamic+datawig+zero+knn),4,0.9404 ± 0.0381
14_national,11_all(dynamic+datawig+zero+knn),5,0.9397 ± 0.0382
14_national,11_all(dynamic+datawig+zero+knn),6,0.9393 ± 0.0390
14_national,11_all(dynamic+datawig+zero+knn),7,0.9374 ± 0.0408
14_national,11_all(dynamic+datawig+zero+knn),8,0.9376 ± 0.0410
14_national,11_all(dynamic+datawig+zero+knn),9,0.9358 ± 0.0414
14_national,11_all(dynamic+datawig+zero+knn),10,0.9353 ± 0.0427
14_national,datawig,1,0.9167 ± 0.0000
14_national,datawig,2,0.9430 ± 0.0000
14_national,datawig,3,0.9167 ± 0.0000
14_national,datawig,4,0.9254 ± 0.0000
14_national,datawig,5,0.9276 ± 0.0000
14_national,datawig,6,0.9430 ± 0.0000
14_national,datawig,7,0.9013 ± 0.0000
14_national,datawig,8,0.9211 ± 0.0000
14_national,datawig,9,0.9430 ± 0.0000
14_national,datawig,10,0.9386 ± 0.0000
14_national,dynamic,1,0.8575 ± 0.0000
14_national,dynamic,2,0.8860 ± 0.0000
14_national,dynamic,3,0.8816 ± 0.0000
14_national,dynamic,4,0.8794 ± 0.0000
14_national,dynamic,5,0.8706 ± 0.0000
14_national,dynamic,6,0.8640 ± 0.0000
14_national,dynamic,7,0.8421 ± 0.0000
14_national,dynamic,8,0.8684 ± 0.0000
14_national,dynamic,9,0.8465 ± 0.0000
14_national,dynamic,10,0.8399 ± 0.0000
14_national,knn,1,0.9364 ± 0.0000
14_national,knn,2,0.9430 ± 0.0000
14_national,knn,3,0.9276 ± 0.0000
14_national,knn,4,0.9518 ± 0.0000
14_national,knn,5,0.9342 ± 0.0000
14_national,knn,6,0.9430 ± 0.0000
14_national,knn,7,0.9452 ± 0.0000
14_national,knn,8,0.9430 ± 0.0000
14_national,knn,9,0.9386 ± 0.0000
14_national,knn,10,0.9298 ± 0.0000
14_national,zero,1,0.8925 ± 0.0000
14_national,zero,2,0.9057 ± 0.0000
14_national,zero,3,0.9013 ± 0.0000
14_national,zero,4,0.8991 ± 0.0000
14_national,zero,5,0.9013 ± 0.0000
14_national,zero,6,0.9057 ± 0.0000
14_national,zero,7,0.8706 ± 0.0000
14_national,zero,8,0.9145 ± 0.0000
14_national,zero,9,0.8860 ± 0.0000
14_national,zero,10,0.9101 ± 0.0000
