Dataset,method,Experiment,Accuracy
15_magic,9_datawig+zero+knn.py,10,0.7919 ± 0.0137
15_magic,10_dynamic+zero+knn,1,0.7747 ± 0.0701
15_magic,10_dynamic+zero+knn,2,0.7707 ± 0.0731
15_magic,10_dynamic+zero+knn,3,0.7698 ± 0.0734
15_magic,10_dynamic+zero+knn,4,0.7687 ± 0.0716
15_magic,10_dynamic+zero+knn,5,0.7691 ± 0.0704
15_magic,10_dynamic+zero+knn,6,0.7674 ± 0.0696
15_magic,10_dynamic+zero+knn,7,0.7669 ± 0.0695
15_magic,10_dynamic+zero+knn,8,0.7660 ± 0.0700
15_magic,10_dynamic+zero+knn,9,0.7654 ± 0.0701
15_magic,10_dynamic+zero+knn,10,0.7656 ± 0.0693
15_magic,11_all(dynamic+datawig+zero+knn),1,0.7846 ± 0.0641
15_magic,11_all(dynamic+datawig+zero+knn),2,0.7818 ± 0.0673
15_magic,11_all(dynamic+datawig+zero+knn),3,0.7825 ± 0.0678
15_magic,11_all(dynamic+datawig+zero+knn),4,0.7808 ± 0.0665
15_magic,11_all(dynamic+datawig+zero+knn),5,0.7800 ± 0.0649
15_magic,11_all(dynamic+datawig+zero+knn),6,0.7782 ± 0.0639
15_magic,11_all(dynamic+datawig+zero+knn),7,0.7769 ± 0.0633
15_magic,11_all(dynamic+datawig+zero+knn),8,0.7769 ± 0.0641
15_magic,11_all(dynamic+datawig+zero+knn),9,0.7767 ± 0.0644
15_magic,11_all(dynamic+datawig+zero+knn),10,0.7768 ± 0.0636
15_magic,datawig,1,0.7894 ± 0.0000
15_magic,datawig,2,0.7928 ± 0.0000
15_magic,datawig,3,0.7821 ± 0.0000
15_magic,datawig,4,0.7894 ± 0.0000
15_magic,datawig,5,0.7744 ± 0.0000
15_magic,datawig,6,0.7855 ± 0.0000
15_magic,datawig,7,0.7863 ± 0.0000
15_magic,datawig,8,0.7900 ± 0.0000
15_magic,datawig,9,0.7960 ± 0.0000
15_magic,datawig,10,0.7992 ± 0.0000
15_magic,dynamic,1,0.6740 ± 0.0000
15_magic,dynamic,2,0.6625 ± 0.0000
15_magic,dynamic,3,0.6640 ± 0.0000
15_magic,dynamic,4,0.6725 ± 0.0000
15_magic,dynamic,5,0.6770 ± 0.0000
15_magic,dynamic,6,0.6695 ± 0.0000
15_magic,dynamic,7,0.6685 ± 0.0000
15_magic,dynamic,8,0.6560 ± 0.0000
15_magic,dynamic,9,0.6605 ± 0.0000
15_magic,dynamic,10,0.6820 ± 0.0000
15_magic,knn,1,0.7965 ± 0.0000
15_magic,knn,2,0.7960 ± 0.0000
15_magic,knn,3,0.7955 ± 0.0000
15_magic,knn,4,0.7944 ± 0.0000
15_magic,knn,5,0.7923 ± 0.0000
15_magic,knn,6,0.8034 ± 0.0000
15_magic,knn,7,0.8147 ± 0.0000
15_magic,knn,8,0.7939 ± 0.0000
15_magic,knn,9,0.8034 ± 0.0000
15_magic,knn,10,0.7952 ± 0.0000
15_magic,zero,1,0.7731 ± 0.0000
15_magic,zero,2,0.7928 ± 0.0000
15_magic,zero,3,0.7689 ± 0.0000
15_magic,zero,4,0.7734 ± 0.0000
15_magic,zero,5,0.7760 ± 0.0000
15_magic,zero,6,0.7626 ± 0.0000
15_magic,zero,7,0.7889 ± 0.0000
15_magic,zero,8,0.7729 ± 0.0000
15_magic,zero,9,0.7731 ± 0.0000
15_magic,zero,10,0.7737 ± 0.0000
