Dataset,method,Experiment,Accuracy
6_chess,9_datawig+zero+knn.py,10,0.0503 ± 0.0030
6_chess,11_all(dynamic+datawig+zero+knn),1,0.9515 ± 0.0023
6_chess,11_all(dynamic+datawig+zero+knn),2,0.9527 ± 0.0024
6_chess,11_all(dynamic+datawig+zero+knn),3,0.9526 ± 0.0020
6_chess,11_all(dynamic+datawig+zero+knn),4,0.9511 ± 0.0032
6_chess,11_all(dynamic+datawig+zero+knn),5,0.9501 ± 0.0036
6_chess,11_all(dynamic+datawig+zero+knn),6,0.9499 ± 0.0034
6_chess,11_all(dynamic+datawig+zero+knn),7,0.9497 ± 0.0034
6_chess,11_all(dynamic+datawig+zero+knn),8,0.9499 ± 0.0033
6_chess,11_all(dynamic+datawig+zero+knn),9,0.9505 ± 0.0036
6_chess,11_all(dynamic+datawig+zero+knn),10,0.9507 ± 0.0035
6_chess,datawig,1,0.0497 ± 0.0000
6_chess,datawig,2,0.0481 ± 0.0000
6_chess,datawig,3,0.0481 ± 0.0000
6_chess,datawig,4,0.0529 ± 0.0000
6_chess,datawig,5,0.0554 ± 0.0000
6_chess,datawig,6,0.0535 ± 0.0000
6_chess,datawig,7,0.0519 ± 0.0000
6_chess,datawig,8,0.0479 ± 0.0000
6_chess,datawig,9,0.0447 ± 0.0000
6_chess,datawig,10,0.0510 ± 0.0000
6_chess,dynamic,1,0.2110 ± 0.0000
6_chess,dynamic,2,0.2212 ± 0.0000
6_chess,dynamic,3,0.2158 ± 0.0000
6_chess,dynamic,4,0.2181 ± 0.0000
6_chess,dynamic,5,0.2026 ± 0.0000
6_chess,dynamic,6,0.2085 ± 0.0000
6_chess,dynamic,7,0.2119 ± 0.0000
6_chess,dynamic,8,0.2030 ± 0.0000
6_chess,dynamic,9,0.2108 ± 0.0000
6_chess,dynamic,10,0.2058 ± 0.0000
6_chess,knn,1,0.0497 ± 0.0000
6_chess,knn,2,0.0481 ± 0.0000
6_chess,knn,3,0.0481 ± 0.0000
6_chess,knn,4,0.0529 ± 0.0000
6_chess,knn,5,0.0554 ± 0.0000
6_chess,knn,6,0.0535 ± 0.0000
6_chess,knn,7,0.0519 ± 0.0000
6_chess,knn,8,0.0479 ± 0.0000
6_chess,knn,9,0.0447 ± 0.0000
6_chess,knn,10,0.0510 ± 0.0000
6_chess,zero,1,0.0497 ± 0.0000
6_chess,zero,2,0.0481 ± 0.0000
6_chess,zero,3,0.0481 ± 0.0000
6_chess,zero,4,0.0529 ± 0.0000
6_chess,zero,5,0.0554 ± 0.0000
6_chess,zero,6,0.0535 ± 0.0000
6_chess,zero,7,0.0519 ± 0.0000
6_chess,zero,8,0.0479 ± 0.0000
6_chess,zero,9,0.0447 ± 0.0000
6_chess,zero,10,0.0510 ± 0.0000
