Dataset,method,Experiment,Accuracy
7_post,10_dynamic+zero+knn,3,0.9444 ± 0.0000
7_post,10_dynamic+zero+knn,4,1.0000 ± 0.0000
7_post,10_dynamic+zero+knn,5,1.0000 ± 0.0000
7_post,10_dynamic+zero+knn,6,0.9444 ± 0.0000
7_post,10_dynamic+zero+knn,7,1.0000 ± 0.0000
7_post,10_dynamic+zero+knn,8,0.7778 ± 0.0000
7_post,10_dynamic+zero+knn,9,0.9444 ± 0.0000
7_post,10_dynamic+zero+knn,10,1.0000 ± 0.0000
7_post,11_all(dynamic+datawig+zero+knn),1,0.9167 ± 0.0481
7_post,11_all(dynamic+datawig+zero+knn),2,0.9236 ± 0.0387
7_post,11_all(dynamic+datawig+zero+knn),3,0.9444 ± 0.0454
7_post,11_all(dynamic+datawig+zero+knn),4,0.9514 ± 0.0434
7_post,11_all(dynamic+datawig+zero+knn),5,0.9611 ± 0.0434
7_post,11_all(dynamic+datawig+zero+knn),6,0.9676 ± 0.0422
7_post,11_all(dynamic+datawig+zero+knn),7,0.9722 ± 0.0407
7_post,11_all(dynamic+datawig+zero+knn),8,0.9653 ± 0.0455
7_post,11_all(dynamic+datawig+zero+knn),9,0.9660 ± 0.0459
7_post,11_all(dynamic+datawig+zero+knn),10,0.9694 ± 0.0447
7_post_patient,datawig,1,0.1667 ± 0.0000
7_post_patient,datawig,2,0.1111 ± 0.0000
7_post_patient,datawig,3,0.0556 ± 0.0000
7_post_patient,datawig,4,0.0556 ± 0.0000
7_post_patient,datawig,5,0.1111 ± 0.0000
7_post_patient,datawig,6,0.0556 ± 0.0000
7_post_patient,datawig,7,0.1111 ± 0.0000
7_post_patient,datawig,8,0.1667 ± 0.0000
7_post_patient,datawig,9,0.0000 ± 0.0000
7_post_patient,datawig,10,0.1111 ± 0.0000
7_post_patient,dynamic,1,0.6111 ± 0.0000
7_post_patient,dynamic,2,0.7222 ± 0.0000
7_post_patient,dynamic,3,0.5000 ± 0.0000
7_post_patient,dynamic,4,0.4444 ± 0.0000
7_post_patient,dynamic,5,0.6111 ± 0.0000
7_post_patient,dynamic,6,0.5556 ± 0.0000
7_post_patient,dynamic,7,0.6667 ± 0.0000
7_post_patient,dynamic,8,0.5556 ± 0.0000
7_post_patient,dynamic,9,0.7222 ± 0.0000
7_post_patient,dynamic,10,0.7222 ± 0.0000
7_post_patient,knn,1,0.2222 ± 0.0000
7_post_patient,knn,2,0.1667 ± 0.0000
7_post_patient,knn,3,0.2222 ± 0.0000
7_post_patient,knn,4,0.2222 ± 0.0000
7_post_patient,knn,5,0.2778 ± 0.0000
7_post_patient,knn,6,0.1111 ± 0.0000
7_post_patient,knn,7,0.1111 ± 0.0000
7_post_patient,knn,8,0.3333 ± 0.0000
7_post_patient,knn,9,0.2222 ± 0.0000
7_post_patient,knn,10,0.0000 ± 0.0000
7_post_patient,zero,1,0.2222 ± 0.0000
7_post_patient,zero,2,0.2222 ± 0.0000
7_post_patient,zero,3,0.1111 ± 0.0000
7_post_patient,zero,4,0.1111 ± 0.0000
7_post_patient,zero,5,0.1667 ± 0.0000
7_post_patient,zero,6,0.2222 ± 0.0000
7_post_patient,zero,7,0.0000 ± 0.0000
7_post_patient,zero,8,0.2222 ± 0.0000
7_post_patient,zero,9,0.1111 ± 0.0000
7_post_patient,zero,10,0.1111 ± 0.0000
