Dataset,method,Experiment,Accuracy
8_liver,10_dynamic+zero+knn,2,0.9034 ± 0.0342
8_liver,10_dynamic+zero+knn,3,0.9114 ± 0.0301
8_liver,10_dynamic+zero+knn,4,0.9263 ± 0.0367
8_liver,10_dynamic+zero+knn,5,0.9237 ± 0.0332
8_liver,10_dynamic+zero+knn,6,0.9291 ± 0.0327
8_liver,10_dynamic+zero+knn,7,0.9268 ± 0.0308
8_liver,10_dynamic+zero+knn,8,0.9275 ± 0.0290
8_liver,10_dynamic+zero+knn,9,0.9286 ± 0.0276
8_liver,10_dynamic+zero+knn,10,0.9343 ± 0.0312
8_liver,11_all(dynamic+datawig+zero+knn),1,0.8696 ± 0.0000
8_liver,11_all(dynamic+datawig+zero+knn),2,0.9058 ± 0.0362
8_liver,11_all(dynamic+datawig+zero+knn),3,0.9130 ± 0.0313
8_liver,11_all(dynamic+datawig+zero+knn),4,0.9275 ± 0.0369
8_liver,11_all(dynamic+datawig+zero+knn),5,0.9246 ± 0.0336
8_liver,11_all(dynamic+datawig+zero+knn),6,0.9300 ± 0.0329
8_liver,11_all(dynamic+datawig+zero+knn),7,0.9270 ± 0.0313
8_liver,11_all(dynamic+datawig+zero+knn),8,0.9289 ± 0.0297
8_liver,11_all(dynamic+datawig+zero+knn),9,0.9304 ± 0.0283
8_liver,11_all(dynamic+datawig+zero+knn),10,0.9355 ± 0.0311
8_liver,datawig,1,0.1304 ± 0.0000
8_liver,datawig,2,0.0580 ± 0.0000
8_liver,datawig,3,0.0725 ± 0.0000
8_liver,datawig,4,0.0290 ± 0.0000
8_liver,datawig,5,0.0870 ± 0.0000
8_liver,datawig,6,0.0435 ± 0.0000
8_liver,datawig,7,0.0870 ± 0.0000
8_liver,datawig,8,0.0580 ± 0.0000
8_liver,datawig,9,0.0580 ± 0.0000
8_liver,datawig,10,0.0145 ± 0.0000
8_liver,dynamic,1,0.1304 ± 0.0000
8_liver,dynamic,2,0.0870 ± 0.0000
8_liver,dynamic,3,0.1739 ± 0.0000
8_liver,dynamic,4,0.0870 ± 0.0000
8_liver,dynamic,5,0.1014 ± 0.0000
8_liver,dynamic,6,0.0725 ± 0.0000
8_liver,dynamic,7,0.1304 ± 0.0000
8_liver,dynamic,8,0.1739 ± 0.0000
8_liver,dynamic,9,0.0435 ± 0.0000
8_liver,dynamic,10,0.1449 ± 0.0000
8_liver,knn,1,0.1304 ± 0.0000
8_liver,knn,2,0.0580 ± 0.0000
8_liver,knn,3,0.0725 ± 0.0000
8_liver,knn,4,0.0290 ± 0.0000
8_liver,knn,5,0.0870 ± 0.0000
8_liver,knn,6,0.0435 ± 0.0000
8_liver,knn,7,0.0870 ± 0.0000
8_liver,knn,8,0.0580 ± 0.0000
8_liver,knn,9,0.0580 ± 0.0000
8_liver,knn,10,0.0145 ± 0.0000
8_liver,zero,1,0.1304 ± 0.0000
8_liver,zero,2,0.0580 ± 0.0000
8_liver,zero,3,0.0725 ± 0.0000
8_liver,zero,4,0.0290 ± 0.0000
8_liver,zero,5,0.0870 ± 0.0000
8_liver,zero,6,0.0435 ± 0.0000
8_liver,zero,7,0.0870 ± 0.0000
8_liver,zero,8,0.0580 ± 0.0000
8_liver,zero,9,0.0580 ± 0.0000
8_liver,zero,10,0.0145 ± 0.0000
