Dataset,method,Experiment,Accuracy,RMSE
16_rice,dynamic,16,0.4567 ± 0.0000,6928.0604 ± 27.6197
16_rice,dynamic,17,0.4685 ± 0.0000,6926.7546 ± 27.2994
16_rice,dynamic,18,0.4226 ± 0.0000,6922.3904 ± 32.0569
16_rice,dynamic,19,0.4816 ± 0.0000,6924.3544 ± 32.2954
16_rice,dynamic,20,0.4751 ± 0.0000,6925.0175 ± 31.6100
16_rice,dynamic,21,0.4580 ± 0.0000,6922.9287 ± 32.2316
16_rice,dynamic,22,0.4672 ± 0.0000,6922.4758 ± 31.5589
16_rice,dynamic,23,0.4462 ± 0.0000,6921.1395 ± 31.4951
16_rice,dynamic,24,0.4606 ± 0.0000,6920.0981 ± 31.2339
16_rice,dynamic,25,0.4541 ± 0.0000,6919.3202 ± 30.8392
16_rice,dynamic,26,0.4383 ± 0.0000,6918.2548 ± 30.7060
16_rice,dynamic,27,0.4816 ± 0.0000,6919.5555 ± 30.8533
16_rice,dynamic,28,0.4541 ± 0.0000,6919.7245 ± 30.3101
16_rice,dynamic,29,0.4475 ± 0.0000,6920.0812 ± 29.8426
16_rice,dynamic,30,0.4738 ± 0.0000,6921.8755 ± 30.8911
16_rice,datawig,1,0.5577 ± 0.0000,447.0650 ± 0.0000
16_rice,datawig,2,0.5551 ± 0.0000,457.0087 ± 9.9437
16_rice,datawig,3,0.5774 ± 0.0000,451.4173 ± 11.3333
16_rice,datawig,4,0.5879 ± 0.0000,435.9453 ± 28.5392
16_rice,datawig,5,0.5787 ± 0.0000,431.9676 ± 26.7371
16_rice,datawig,6,0.5787 ± 0.0000,427.7998 ± 26.1262
16_rice,datawig,7,0.5774 ± 0.0000,430.2117 ± 24.8992
16_rice,datawig,8,0.5459 ± 0.0000,428.2025 ± 23.8900
16_rice,datawig,9,0.5669 ± 0.0000,426.8470 ± 22.8478
16_rice,datawig,10,0.5407 ± 0.0000,424.6980 ± 22.6138
16_rice,datawig,11,0.5512 ± 0.0000,425.1260 ± 21.6038
16_rice,datawig,12,0.5984 ± 0.0000,426.8462 ± 21.4566
16_rice,datawig,13,0.5919 ± 0.0000,429.4994 ± 22.5708
16_rice,datawig,14,0.5446 ± 0.0000,428.6954 ± 21.9421
16_rice,datawig,15,0.5459 ± 0.0000,430.1040 ± 21.8435
16_rice,datawig,16,0.5774 ± 0.0000,429.1346 ± 21.4806
16_rice,datawig,17,0.5617 ± 0.0000,431.0250 ± 22.1687
16_rice,datawig,18,0.4055 ± 0.0000,430.0366 ± 21.9262
16_rice,datawig,19,0.5512 ± 0.0000,431.0796 ± 21.7954
16_rice,datawig,20,0.5604 ± 0.0000,429.9387 ± 21.8179
16_rice,datawig,21,0.5591 ± 0.0000,428.6471 ± 22.0617
16_rice,datawig,22,0.5630 ± 0.0000,427.8815 ± 21.8381
16_rice,datawig,23,0.5748 ± 0.0000,426.8169 ± 21.9340
16_rice,datawig,24,0.5696 ± 0.0000,426.6699 ± 21.4838
16_rice,datawig,25,0.5617 ± 0.0000,425.4820 ± 21.8394
16_rice,datawig,26,0.5722 ± 0.0000,425.2238 ± 21.4541
16_rice,datawig,27,0.5407 ± 0.0000,425.4441 ± 21.0830
16_rice,datawig,28,0.5591 ± 0.0000,425.3996 ± 20.7044
16_rice,datawig,29,0.5748 ± 0.0000,426.1652 ± 20.7438
16_rice,datawig,30,0.5499 ± 0.0000,425.8119 ± 20.4837
