Dataset,method,Experiment,Accuracy,RMSE
23_ai4i,knn,12,0.9045 ± 0.0000,0.1879 ± 0.0044
23_ai4i,knn,13,0.9000 ± 0.0000,0.1872 ± 0.0048
23_ai4i,knn,14,0.8905 ± 0.0000,0.1865 ± 0.0052
23_ai4i,knn,15,0.9015 ± 0.0000,0.1867 ± 0.0051
23_ai4i,knn,16,0.9025 ± 0.0000,0.1870 ± 0.0051
23_ai4i,knn,17,0.8905 ± 0.0000,0.1867 ± 0.0051
23_ai4i,knn,18,0.9025 ± 0.0000,0.1866 ± 0.0050
23_ai4i,knn,19,0.8915 ± 0.0000,0.1872 ± 0.0054
23_ai4i,knn,20,0.8990 ± 0.0000,0.1872 ± 0.0052
23_ai4i,knn,21,0.8925 ± 0.0000,0.1869 ± 0.0053
23_ai4i,knn,22,0.8960 ± 0.0000,0.1868 ± 0.0052
23_ai4i,knn,23,0.8990 ± 0.0000,0.1868 ± 0.0051
23_ai4i,knn,24,0.9000 ± 0.0000,0.1870 ± 0.0050
23_ai4i,knn,25,0.9010 ± 0.0000,0.1868 ± 0.0050
23_ai4i,knn,26,0.9015 ± 0.0000,0.1866 ± 0.0050
23_ai4i,knn,27,0.8995 ± 0.0000,0.1867 ± 0.0050
23_ai4i,knn,28,0.8950 ± 0.0000,0.1867 ± 0.0049
23_ai4i,knn,29,0.9000 ± 0.0000,0.1868 ± 0.0049
23_ai4i,knn,30,0.8915 ± 0.0000,0.1868 ± 0.0048
23_ai4i,datawig,1,0.8995 ± 0.0000,0.1695 ± 0.0000
23_ai4i,datawig,2,0.8880 ± 0.0000,0.1709 ± 0.0014
23_ai4i,datawig,3,0.9015 ± 0.0000,0.1728 ± 0.0029
23_ai4i,datawig,4,0.9055 ± 0.0000,0.1720 ± 0.0029
23_ai4i,datawig,5,0.8995 ± 0.0000,0.1724 ± 0.0027
23_ai4i,datawig,6,0.9030 ± 0.0000,0.1727 ± 0.0026
23_ai4i,datawig,7,0.9005 ± 0.0000,0.1729 ± 0.0024
23_ai4i,datawig,8,0.9070 ± 0.0000,0.1733 ± 0.0026
23_ai4i,datawig,9,0.8930 ± 0.0000,0.1734 ± 0.0024
23_ai4i,datawig,10,0.8940 ± 0.0000,0.1729 ± 0.0027
23_ai4i,datawig,11,0.9005 ± 0.0000,0.1724 ± 0.0030
23_ai4i,datawig,12,0.9045 ± 0.0000,0.1727 ± 0.0030
23_ai4i,datawig,13,0.9000 ± 0.0000,0.1724 ± 0.0031
23_ai4i,datawig,14,0.8905 ± 0.0000,0.1721 ± 0.0032
23_ai4i,datawig,15,0.9015 ± 0.0000,0.1724 ± 0.0033
23_ai4i,datawig,16,0.9025 ± 0.0000,0.1727 ± 0.0035
23_ai4i,datawig,17,0.8905 ± 0.0000,0.1724 ± 0.0036
23_ai4i,datawig,18,0.9025 ± 0.0000,0.1722 ± 0.0036
23_ai4i,datawig,19,0.8915 ± 0.0000,0.1726 ± 0.0040
23_ai4i,datawig,20,0.8990 ± 0.0000,0.1727 ± 0.0039
23_ai4i,datawig,21,0.8925 ± 0.0000,0.1724 ± 0.0041
23_ai4i,datawig,22,0.8960 ± 0.0000,0.1722 ± 0.0040
23_ai4i,datawig,23,0.8990 ± 0.0000,0.1723 ± 0.0040
23_ai4i,datawig,24,0.9000 ± 0.0000,0.1726 ± 0.0041
23_ai4i,datawig,25,0.9010 ± 0.0000,0.1726 ± 0.0040
23_ai4i,datawig,26,0.9015 ± 0.0000,0.1724 ± 0.0040
23_ai4i,datawig,27,0.8995 ± 0.0000,0.1726 ± 0.0040
23_ai4i,datawig,28,0.8950 ± 0.0000,0.1725 ± 0.0039
23_ai4i,datawig,29,0.9000 ± 0.0000,0.1727 ± 0.0039
23_ai4i,datawig,30,0.8915 ± 0.0000,0.1726 ± 0.0039
