Dataset,method,Experiment,Accuracy,RMSE
15_magic,dynamic,17,0.6546 ± 0.0000,74.7993 ± 0.4434
15_magic,dynamic,18,0.6443 ± 0.0000,74.7738 ± 0.4434
15_magic,dynamic,19,0.6506 ± 0.0000,74.7902 ± 0.4372
15_magic,dynamic,20,0.6588 ± 0.0000,74.8030 ± 0.4298
15_magic,dynamic,21,0.6470 ± 0.0000,74.8298 ± 0.4361
15_magic,dynamic,22,0.6525 ± 0.0000,74.8256 ± 0.4265
15_magic,dynamic,23,0.6606 ± 0.0000,74.8234 ± 0.4173
15_magic,dynamic,24,0.6498 ± 0.0000,74.8607 ± 0.4459
15_magic,dynamic,25,0.6377 ± 0.0000,74.8550 ± 0.4378
15_magic,dynamic,26,0.6604 ± 0.0000,74.8510 ± 0.4298
15_magic,dynamic,27,0.6443 ± 0.0000,74.8698 ± 0.4325
15_magic,dynamic,28,0.6514 ± 0.0000,74.8882 ± 0.4353
15_magic,dynamic,29,0.6593 ± 0.0000,74.8976 ± 0.4306
15_magic,dynamic,30,0.6412 ± 0.0000,74.8830 ± 0.4305
15_magic,datawig,1,0.7831 ± 0.0000,18.2884 ± 0.0000
15_magic,datawig,2,0.7800 ± 0.0000,17.8782 ± 0.4102
15_magic,datawig,3,0.7942 ± 0.0000,17.6871 ± 0.4304
15_magic,datawig,4,0.7902 ± 0.0000,17.5709 ± 0.4236
15_magic,datawig,5,0.7794 ± 0.0000,17.5373 ± 0.3848
15_magic,datawig,6,0.7808 ± 0.0000,17.6411 ± 0.4209
15_magic,datawig,7,0.7892 ± 0.0000,17.6480 ± 0.3901
15_magic,datawig,8,0.7928 ± 0.0000,17.6042 ± 0.3828
15_magic,datawig,9,0.7805 ± 0.0000,17.5941 ± 0.3621
15_magic,datawig,10,0.8007 ± 0.0000,17.5909 ± 0.3436
15_magic,datawig,11,0.7763 ± 0.0000,17.5656 ± 0.3373
15_magic,datawig,12,0.7776 ± 0.0000,17.5440 ± 0.3308
15_magic,datawig,13,0.7902 ± 0.0000,17.5265 ± 0.3235
15_magic,datawig,14,0.7805 ± 0.0000,17.5346 ± 0.3132
15_magic,datawig,15,0.7981 ± 0.0000,17.5625 ± 0.3200
15_magic,datawig,16,0.7889 ± 0.0000,17.5625 ± 0.3098
15_magic,datawig,17,0.7992 ± 0.0000,17.5381 ± 0.3160
15_magic,datawig,18,0.7831 ± 0.0000,17.5450 ± 0.3084
15_magic,datawig,19,0.7892 ± 0.0000,17.5470 ± 0.3003
15_magic,datawig,20,0.7971 ± 0.0000,17.5408 ± 0.2940
15_magic,datawig,21,0.7944 ± 0.0000,17.5482 ± 0.2888
15_magic,datawig,22,0.7939 ± 0.0000,17.5601 ± 0.2874
15_magic,datawig,23,0.7934 ± 0.0000,17.5555 ± 0.2819
15_magic,datawig,24,0.7779 ± 0.0000,17.5640 ± 0.2790
15_magic,datawig,25,0.7876 ± 0.0000,17.5453 ± 0.2883
15_magic,datawig,26,0.7942 ± 0.0000,17.5300 ± 0.2929
15_magic,datawig,27,0.7842 ± 0.0000,17.5390 ± 0.2910
15_magic,datawig,28,0.7913 ± 0.0000,17.5548 ± 0.2973
15_magic,datawig,29,0.7847 ± 0.0000,17.5533 ± 0.2922
15_magic,datawig,30,0.7734 ± 0.0000,17.5540 ± 0.2874
