Dataset,method,Experiment,Accuracy,RMSE
18_maternal,datawig,15,0.8768 ± 0.0000,5.3429 ± 0.2553
18_maternal,datawig,16,0.8177 ± 0.0000,5.3349 ± 0.2491
18_maternal,datawig,17,0.8227 ± 0.0000,5.3331 ± 0.2417
18_maternal,datawig,18,0.8374 ± 0.0000,5.3539 ± 0.2501
18_maternal,datawig,19,0.8621 ± 0.0000,5.3568 ± 0.2437
18_maternal,datawig,20,0.8670 ± 0.0000,5.3622 ± 0.2387
18_maternal,datawig,21,0.8670 ± 0.0000,5.3856 ± 0.2553
18_maternal,datawig,22,0.8719 ± 0.0000,5.3965 ± 0.2544
18_maternal,datawig,23,0.8325 ± 0.0000,5.4004 ± 0.2495
18_maternal,datawig,24,0.9064 ± 0.0000,5.3734 ± 0.2764
18_maternal,datawig,25,0.8670 ± 0.0000,5.3653 ± 0.2737
18_maternal,datawig,26,0.8867 ± 0.0000,5.3731 ± 0.2712
18_maternal,datawig,27,0.8424 ± 0.0000,5.3883 ± 0.2772
18_maternal,datawig,28,0.9015 ± 0.0000,5.3766 ± 0.2790
18_maternal,datawig,29,0.8522 ± 0.0000,5.3941 ± 0.2894
18_maternal,datawig,30,0.8424 ± 0.0000,5.3871 ± 0.2870
18_maternal,dynamic,1,0.7389 ± 0.0000,76.6997 ± 0.0000
18_maternal,dynamic,2,0.6847 ± 0.0000,76.9441 ± 0.2444
18_maternal,dynamic,3,0.6847 ± 0.0000,77.0991 ± 0.2964
18_maternal,dynamic,4,0.7438 ± 0.0000,77.0127 ± 0.2971
18_maternal,dynamic,5,0.7340 ± 0.0000,76.9274 ± 0.3158
18_maternal,dynamic,6,0.7094 ± 0.0000,77.0298 ± 0.3681
18_maternal,dynamic,7,0.7291 ± 0.0000,77.0542 ± 0.3460
18_maternal,dynamic,8,0.7291 ± 0.0000,77.0380 ± 0.3265
18_maternal,dynamic,9,0.7094 ± 0.0000,77.0605 ± 0.3143
18_maternal,dynamic,10,0.7488 ± 0.0000,77.0894 ± 0.3105
18_maternal,dynamic,11,0.7291 ± 0.0000,77.0583 ± 0.3120
18_maternal,dynamic,12,0.7488 ± 0.0000,77.0567 ± 0.2987
18_maternal,dynamic,13,0.7340 ± 0.0000,77.0569 ± 0.2870
18_maternal,dynamic,14,0.7537 ± 0.0000,77.0656 ± 0.2784
18_maternal,dynamic,15,0.6946 ± 0.0000,77.1143 ± 0.3248
18_maternal,dynamic,16,0.7143 ± 0.0000,77.1119 ± 0.3146
18_maternal,dynamic,17,0.7438 ± 0.0000,77.1356 ± 0.3196
18_maternal,dynamic,18,0.7488 ± 0.0000,77.0784 ± 0.3899
18_maternal,dynamic,19,0.7734 ± 0.0000,77.0756 ± 0.3797
18_maternal,dynamic,20,0.6995 ± 0.0000,77.0679 ± 0.3716
18_maternal,dynamic,21,0.7241 ± 0.0000,77.0761 ± 0.3645
18_maternal,dynamic,22,0.7438 ± 0.0000,77.0558 ± 0.3680
18_maternal,dynamic,23,0.7094 ± 0.0000,77.0617 ± 0.3610
18_maternal,dynamic,24,0.7586 ± 0.0000,77.0752 ± 0.3592
18_maternal,dynamic,25,0.6798 ± 0.0000,77.1254 ± 0.4294
18_maternal,dynamic,26,0.7882 ± 0.0000,77.1111 ± 0.4270
18_maternal,dynamic,27,0.7291 ± 0.0000,77.0918 ± 0.4305
18_maternal,dynamic,28,0.7635 ± 0.0000,77.1041 ± 0.4275
18_maternal,dynamic,29,0.7340 ± 0.0000,77.0848 ± 0.4322
18_maternal,dynamic,30,0.7291 ± 0.0000,77.0605 ± 0.4446
