Dataset,method,Experiment,Accuracy,RMSE
2_heart,knn,26,0.6230 ± 0.0000,7.1586 ± 0.8215
2_heart,knn,27,0.7049 ± 0.0000,7.2207 ± 0.8660
2_heart,knn,28,0.7869 ± 0.0000,7.2117 ± 0.8517
2_heart,knn,29,0.6393 ± 0.0000,7.2174 ± 0.8374
2_heart,knn,30,0.7705 ± 0.0000,7.1982 ± 0.8298
2_heart,zero,1,0.6885 ± 0.0000,43.4488 ± 0.0000
2_heart,zero,2,0.7049 ± 0.0000,40.7009 ± 2.7479
2_heart,zero,3,0.6885 ± 0.0000,41.0524 ± 2.2980
2_heart,zero,4,0.5902 ± 0.0000,41.7549 ± 2.3326
2_heart,zero,5,0.6721 ± 0.0000,41.5321 ± 2.1334
2_heart,zero,6,0.6721 ± 0.0000,41.8568 ± 2.0784
2_heart,zero,7,0.7049 ± 0.0000,42.4557 ± 2.4197
2_heart,zero,8,0.6885 ± 0.0000,42.6939 ± 2.3495
2_heart,zero,9,0.6885 ± 0.0000,42.4613 ± 2.3107
2_heart,zero,10,0.6721 ± 0.0000,41.7647 ± 3.0286
2_heart,zero,11,0.6393 ± 0.0000,41.8763 ± 2.9092
2_heart,zero,12,0.7213 ± 0.0000,41.8039 ± 2.7956
2_heart,zero,13,0.6393 ± 0.0000,41.5927 ± 2.7838
2_heart,zero,14,0.6721 ± 0.0000,41.6271 ± 2.6854
2_heart,zero,15,0.5738 ± 0.0000,41.6872 ± 2.6041
2_heart,zero,16,0.6557 ± 0.0000,41.3370 ± 2.8631
2_heart,zero,17,0.5902 ± 0.0000,41.1366 ± 2.8910
2_heart,zero,18,0.6885 ± 0.0000,41.6822 ± 3.5991
2_heart,zero,19,0.6885 ± 0.0000,41.4855 ± 3.6011
2_heart,zero,20,0.7377 ± 0.0000,41.5104 ± 3.5116
2_heart,zero,21,0.6721 ± 0.0000,41.3930 ± 3.4669
2_heart,zero,22,0.6393 ± 0.0000,41.3975 ± 3.3873
2_heart,zero,23,0.6885 ± 0.0000,41.2884 ± 3.3521
2_heart,zero,24,0.7049 ± 0.0000,41.2752 ± 3.2822
2_heart,zero,25,0.7705 ± 0.0000,41.3537 ± 3.2387
2_heart,zero,26,0.6557 ± 0.0000,41.4304 ± 3.1989
2_heart,zero,27,0.6885 ± 0.0000,41.5384 ± 3.1871
2_heart,zero,28,0.7377 ± 0.0000,41.5607 ± 3.1318
2_heart,zero,29,0.6885 ± 0.0000,41.5922 ± 3.0818
2_heart,zero,30,0.7377 ± 0.0000,41.5489 ± 3.0390
8_liver,datawig,1,0.8696 ± 0.0000,7.0958 ± 0.0000
8_liver,datawig,2,0.9275 ± 0.0000,7.7553 ± 0.6595
8_liver,datawig,3,0.9275 ± 0.0000,7.3027 ± 0.8363
8_liver,datawig,4,0.9710 ± 0.0000,7.6153 ± 0.9043
8_liver,datawig,5,0.9130 ± 0.0000,8.4741 ± 1.8984
8_liver,datawig,6,0.9565 ± 0.0000,8.0524 ± 1.9729
8_liver,datawig,7,0.9130 ± 0.0000,8.5195 ± 2.1553
8_liver,datawig,8,0.9420 ± 0.0000,8.7917 ± 2.1409
8_liver,datawig,9,0.9420 ± 0.0000,9.5288 ± 2.9019
8_liver,datawig,10,0.9710 ± 0.0000,9.6499 ± 2.7769
8_liver,datawig,11,0.9420 ± 0.0000,9.4518 ± 2.7208
8_liver,datawig,12,0.9565 ± 0.0000,9.1271 ± 2.8187
8_liver,datawig,13,0.9710 ± 0.0000,9.2218 ± 2.7279
8_liver,datawig,14,0.9565 ± 0.0000,9.5078 ± 2.8237
8_liver,datawig,15,0.9565 ± 0.0000,9.6471 ± 2.7774
8_liver,datawig,16,0.9420 ± 0.0000,9.6635 ± 2.6899
8_liver,datawig,17,0.9710 ± 0.0000,9.4042 ± 2.8082
8_liver,datawig,18,0.9420 ± 0.0000,9.5435 ± 2.7889
8_liver,datawig,19,0.9565 ± 0.0000,9.6015 ± 2.7257
8_liver,datawig,20,0.7826 ± 0.0000,9.4620 ± 2.7253
8_liver,datawig,21,0.9420 ± 0.0000,9.5217 ± 2.6730
8_liver,datawig,22,0.8986 ± 0.0000,9.6811 ± 2.7118
8_liver,datawig,23,0.9275 ± 0.0000,9.6950 ± 2.6530
8_liver,datawig,24,0.9420 ± 0.0000,9.8516 ± 2.7035
8_liver,datawig,25,0.9565 ± 0.0000,9.7112 ± 2.7366
8_liver,datawig,26,0.9275 ± 0.0000,9.5992 ± 2.7413
8_liver,datawig,27,0.9565 ± 0.0000,9.4950 ± 2.7421
8_liver,datawig,28,0.8986 ± 0.0000,9.5309 ± 2.6991
8_liver,datawig,29,0.9565 ± 0.0000,9.4496 ± 2.6869
8_liver,datawig,30,0.9420 ± 0.0000,9.3126 ± 2.7429
8_liver,zero,1,0.8551 ± 0.0000,24.4566 ± 0.0000
8_liver,zero,2,0.9130 ± 0.0000,23.9733 ± 0.4832
8_liver,zero,3,0.9275 ± 0.0000,24.0017 ± 0.3966
8_liver,zero,4,0.9420 ± 0.0000,24.0522 ± 0.3544
8_liver,zero,5,0.8841 ± 0.0000,24.4304 ± 0.8203
8_liver,zero,6,0.9420 ± 0.0000,24.0937 ± 1.0618
8_liver,zero,7,0.9130 ± 0.0000,24.1723 ± 1.0017
8_liver,zero,8,0.9420 ± 0.0000,24.3634 ± 1.0647
8_liver,zero,9,0.9420 ± 0.0000,24.9533 ± 1.9473
8_liver,zero,10,0.9565 ± 0.0000,25.0103 ± 1.8553
8_liver,zero,11,0.9275 ± 0.0000,24.8659 ± 1.8269
8_liver,zero,12,0.9565 ± 0.0000,25.0536 ± 1.8566
8_liver,zero,13,0.9275 ± 0.0000,25.2282 ± 1.8835
8_liver,zero,14,0.9275 ± 0.0000,25.2414 ± 1.8157
8_liver,zero,15,0.9565 ± 0.0000,25.3769 ± 1.8259
8_liver,zero,16,0.8986 ± 0.0000,25.2653 ± 1.8200
8_liver,zero,17,0.9275 ± 0.0000,25.0689 ± 1.9325
8_liver,zero,18,0.8986 ± 0.0000,25.3203 ± 2.1450
8_liver,zero,19,0.8841 ± 0.0000,25.3727 ± 2.0997
8_liver,zero,20,0.9420 ± 0.0000,25.2847 ± 2.0822
8_liver,zero,21,0.9420 ± 0.0000,25.2266 ± 2.0485
8_liver,zero,22,0.8551 ± 0.0000,25.3084 ± 2.0362
8_liver,zero,23,0.8841 ± 0.0000,25.2708 ± 1.9993
8_liver,zero,24,0.9275 ± 0.0000,25.3494 ± 1.9931
8_liver,zero,25,0.9565 ± 0.0000,25.1817 ± 2.1185
8_liver,zero,26,0.8841 ± 0.0000,25.2086 ± 2.0817
8_liver,zero,27,0.9275 ± 0.0000,25.2154 ± 2.0431
8_liver,zero,28,0.9130 ± 0.0000,25.2368 ± 2.0093
8_liver,zero,29,0.8986 ± 0.0000,25.2709 ± 1.9826
8_liver,zero,30,0.9420 ± 0.0000,25.1515 ± 2.0526
9_abalone,datawig,1,0.6400 ± 0.0000,0.4538 ± 0.0000
9_abalone,datawig,2,0.6495 ± 0.0000,0.4887 ± 0.0348
9_abalone,datawig,3,0.6483 ± 0.0000,0.5031 ± 0.0350
9_abalone,datawig,4,0.6435 ± 0.0000,0.4992 ± 0.0311
9_abalone,datawig,5,0.6364 ± 0.0000,0.5069 ± 0.0318
9_abalone,datawig,6,0.6065 ± 0.0000,0.4963 ± 0.0374
9_abalone,datawig,7,0.6196 ± 0.0000,0.4960 ± 0.0347
9_abalone,datawig,8,0.6447 ± 0.0000,0.5003 ± 0.0343
9_abalone,datawig,9,0.6089 ± 0.0000,0.5056 ± 0.0358
9_abalone,datawig,10,0.6196 ± 0.0000,0.4974 ± 0.0419
