Dataset,method,Experiment,Accuracy,RMSE
10_lympho,datawig,15,0.8333 ± 0.0000,0.4631 ± 0.0444
10_lympho,datawig,16,0.9333 ± 0.0000,0.4612 ± 0.0436
10_lympho,datawig,17,0.8667 ± 0.0000,0.4605 ± 0.0424
10_lympho,datawig,18,0.7000 ± 0.0000,0.4576 ± 0.0429
10_lympho,datawig,19,0.9333 ± 0.0000,0.4563 ± 0.0421
10_lympho,datawig,20,0.7000 ± 0.0000,0.4589 ± 0.0425
10_lympho,datawig,21,0.8000 ± 0.0000,0.4588 ± 0.0415
10_lympho,datawig,22,0.8000 ± 0.0000,0.4630 ± 0.0448
10_lympho,datawig,23,0.7333 ± 0.0000,0.4619 ± 0.0441
10_lympho,datawig,24,0.8667 ± 0.0000,0.4612 ± 0.0433
10_lympho,datawig,25,0.8667 ± 0.0000,0.4649 ± 0.0462
10_lympho,datawig,26,0.7000 ± 0.0000,0.4623 ± 0.0471
10_lympho,datawig,27,0.9000 ± 0.0000,0.4608 ± 0.0469
10_lympho,datawig,28,0.7667 ± 0.0000,0.4620 ± 0.0464
10_lympho,datawig,29,0.9000 ± 0.0000,0.4604 ± 0.0463
10_lympho,datawig,30,0.7667 ± 0.0000,0.4624 ± 0.0468
10_lympho,dynamic,1,0.5000 ± 0.0000,0.8595 ± 0.0000
10_lympho,dynamic,2,0.3667 ± 0.0000,0.8642 ± 0.0047
10_lympho,dynamic,3,0.5000 ± 0.0000,0.8772 ± 0.0188
10_lympho,dynamic,4,0.4000 ± 0.0000,0.8643 ± 0.0277
10_lympho,dynamic,5,0.4667 ± 0.0000,0.8739 ± 0.0314
10_lympho,dynamic,6,0.5000 ± 0.0000,0.8723 ± 0.0289
10_lympho,dynamic,7,0.6000 ± 0.0000,0.8860 ± 0.0431
10_lympho,dynamic,8,0.4333 ± 0.0000,0.8779 ± 0.0457
10_lympho,dynamic,9,0.4333 ± 0.0000,0.8758 ± 0.0435
10_lympho,dynamic,10,0.5333 ± 0.0000,0.8794 ± 0.0427
10_lympho,dynamic,11,0.3667 ± 0.0000,0.8749 ± 0.0431
10_lympho,dynamic,12,0.4000 ± 0.0000,0.8784 ± 0.0428
10_lympho,dynamic,13,0.4667 ± 0.0000,0.8771 ± 0.0414
10_lympho,dynamic,14,0.4000 ± 0.0000,0.8766 ± 0.0399
10_lympho,dynamic,15,0.5333 ± 0.0000,0.8759 ± 0.0387
10_lympho,dynamic,16,0.3667 ± 0.0000,0.8755 ± 0.0375
10_lympho,dynamic,17,0.4667 ± 0.0000,0.8790 ± 0.0389
10_lympho,dynamic,18,0.4000 ± 0.0000,0.8783 ± 0.0379
10_lympho,dynamic,19,0.3333 ± 0.0000,0.8776 ± 0.0370
10_lympho,dynamic,20,0.6333 ± 0.0000,0.8803 ± 0.0379
10_lympho,dynamic,21,0.3667 ± 0.0000,0.8842 ± 0.0409
10_lympho,dynamic,22,0.5333 ± 0.0000,0.8857 ± 0.0405
10_lympho,dynamic,23,0.4667 ± 0.0000,0.8864 ± 0.0398
10_lympho,dynamic,24,0.4000 ± 0.0000,0.8814 ± 0.0458
10_lympho,dynamic,25,0.5333 ± 0.0000,0.8800 ± 0.0454
10_lympho,dynamic,26,0.5333 ± 0.0000,0.8792 ± 0.0447
10_lympho,dynamic,27,0.3667 ± 0.0000,0.8800 ± 0.0440
10_lympho,dynamic,28,0.3667 ± 0.0000,0.8794 ± 0.0434
10_lympho,dynamic,29,0.3667 ± 0.0000,0.8779 ± 0.0433
10_lympho,dynamic,30,0.4667 ± 0.0000,0.8791 ± 0.0430
