Dataset,method,Experiment,Accuracy,RMSE
22_seeds,knn,14,0.9286 ± 0.0000,0.1102 ± 0.0165
22_seeds,knn,15,0.9524 ± 0.0000,0.1100 ± 0.0159
22_seeds,knn,16,0.9524 ± 0.0000,0.1121 ± 0.0173
22_seeds,knn,17,0.8810 ± 0.0000,0.1122 ± 0.0168
22_seeds,knn,18,0.9286 ± 0.0000,0.1113 ± 0.0167
22_seeds,knn,19,0.9048 ± 0.0000,0.1102 ± 0.0170
22_seeds,knn,20,0.9286 ± 0.0000,0.1117 ± 0.0178
22_seeds,knn,21,0.9524 ± 0.0000,0.1121 ± 0.0175
22_seeds,knn,22,0.9524 ± 0.0000,0.1121 ± 0.0171
22_seeds,knn,23,0.9524 ± 0.0000,0.1126 ± 0.0169
22_seeds,knn,24,0.8810 ± 0.0000,0.1132 ± 0.0168
22_seeds,knn,25,0.9286 ± 0.0000,0.1136 ± 0.0165
22_seeds,knn,26,0.9048 ± 0.0000,0.1132 ± 0.0163
22_seeds,knn,27,0.9524 ± 0.0000,0.1127 ± 0.0162
22_seeds,knn,28,0.9048 ± 0.0000,0.1137 ± 0.0167
22_seeds,knn,29,0.9524 ± 0.0000,0.1129 ± 0.0170
22_seeds,knn,30,0.8571 ± 0.0000,0.1138 ± 0.0173
22_seeds,datawig,1,0.8571 ± 0.0000,0.2721 ± 0.0000
22_seeds,datawig,2,0.9286 ± 0.0000,0.2558 ± 0.0163
22_seeds,datawig,3,0.8571 ± 0.0000,0.2414 ± 0.0243
22_seeds,datawig,4,0.9048 ± 0.0000,0.2463 ± 0.0227
22_seeds,datawig,5,0.9286 ± 0.0000,0.2402 ± 0.0237
22_seeds,datawig,6,0.7857 ± 0.0000,0.2414 ± 0.0218
22_seeds,datawig,7,0.8095 ± 0.0000,0.2442 ± 0.0213
22_seeds,datawig,8,0.8571 ± 0.0000,0.2452 ± 0.0201
22_seeds,datawig,9,0.8571 ± 0.0000,0.2487 ± 0.0214
22_seeds,datawig,10,0.7857 ± 0.0000,0.2475 ± 0.0206
22_seeds,datawig,11,0.9048 ± 0.0000,0.2454 ± 0.0208
22_seeds,datawig,12,0.7381 ± 0.0000,0.2448 ± 0.0200
22_seeds,datawig,13,0.7619 ± 0.0000,0.2458 ± 0.0196
22_seeds,datawig,14,0.8095 ± 0.0000,0.2476 ± 0.0200
22_seeds,datawig,15,0.9286 ± 0.0000,0.2460 ± 0.0201
22_seeds,datawig,16,0.9048 ± 0.0000,0.2475 ± 0.0203
22_seeds,datawig,17,0.9048 ± 0.0000,0.2476 ± 0.0197
22_seeds,datawig,18,0.8810 ± 0.0000,0.2464 ± 0.0197
22_seeds,datawig,19,0.8333 ± 0.0000,0.2456 ± 0.0195
22_seeds,datawig,20,0.8095 ± 0.0000,0.2473 ± 0.0204
22_seeds,datawig,21,0.9286 ± 0.0000,0.2467 ± 0.0200
22_seeds,datawig,22,0.9048 ± 0.0000,0.2460 ± 0.0198
22_seeds,datawig,23,0.8095 ± 0.0000,0.2465 ± 0.0195
22_seeds,datawig,24,0.9048 ± 0.0000,0.2468 ± 0.0191
22_seeds,datawig,25,0.8571 ± 0.0000,0.2460 ± 0.0191
22_seeds,datawig,26,0.8095 ± 0.0000,0.2458 ± 0.0188
22_seeds,datawig,27,0.8810 ± 0.0000,0.2448 ± 0.0191
22_seeds,datawig,28,0.8095 ± 0.0000,0.2458 ± 0.0195
22_seeds,datawig,29,0.9286 ± 0.0000,0.2455 ± 0.0193
22_seeds,datawig,30,0.8810 ± 0.0000,0.2453 ± 0.0190
