Dataset,method,Experiment,Accuracy,RMSE
14_national,knn,18,0.9276 ± 0.0000,0.2423 ± 0.0190
14_national,knn,19,0.9254 ± 0.0000,0.2411 ± 0.0193
14_national,knn,20,0.9298 ± 0.0000,0.2423 ± 0.0195
14_national,knn,21,0.9276 ± 0.0000,0.2426 ± 0.0191
14_national,knn,22,0.9408 ± 0.0000,0.2438 ± 0.0195
14_national,knn,23,0.9342 ± 0.0000,0.2426 ± 0.0199
14_national,knn,24,0.9408 ± 0.0000,0.2428 ± 0.0195
14_national,knn,25,0.9298 ± 0.0000,0.2432 ± 0.0193
14_national,knn,26,0.9254 ± 0.0000,0.2420 ± 0.0199
14_national,knn,27,0.8860 ± 0.0000,0.2425 ± 0.0197
14_national,knn,28,0.9211 ± 0.0000,0.2433 ± 0.0199
14_national,knn,29,0.9035 ± 0.0000,0.2433 ± 0.0195
14_national,knn,30,0.9254 ± 0.0000,0.2430 ± 0.0193
14_national,datawig,1,0.9342 ± 0.0000,0.3775 ± 0.0000
14_national,datawig,2,0.9364 ± 0.0000,0.3135 ± 0.0640
14_national,datawig,3,0.9298 ± 0.0000,0.2997 ± 0.0558
14_national,datawig,4,0.9452 ± 0.0000,0.2766 ± 0.0627
14_national,datawig,5,0.9254 ± 0.0000,0.2835 ± 0.0577
14_national,datawig,6,0.9232 ± 0.0000,0.2939 ± 0.0576
14_national,datawig,7,0.9057 ± 0.0000,0.2913 ± 0.0537
14_national,datawig,8,0.9189 ± 0.0000,0.2907 ± 0.0503
14_national,datawig,9,0.9364 ± 0.0000,0.2864 ± 0.0489
14_national,datawig,10,0.9232 ± 0.0000,0.2909 ± 0.0483
14_national,datawig,11,0.9386 ± 0.0000,0.2877 ± 0.0471
14_national,datawig,12,0.9276 ± 0.0000,0.2806 ± 0.0509
14_national,datawig,13,0.9496 ± 0.0000,0.2794 ± 0.0491
14_national,datawig,14,0.9254 ± 0.0000,0.2747 ± 0.0502
14_national,datawig,15,0.9189 ± 0.0000,0.2732 ± 0.0488
14_national,datawig,16,0.9101 ± 0.0000,0.2723 ± 0.0474
14_national,datawig,17,0.9276 ± 0.0000,0.2681 ± 0.0490
14_national,datawig,18,0.9232 ± 0.0000,0.2670 ± 0.0478
14_national,datawig,19,0.9474 ± 0.0000,0.2641 ± 0.0482
14_national,datawig,20,0.9386 ± 0.0000,0.2635 ± 0.0471
14_national,datawig,21,0.9167 ± 0.0000,0.2613 ± 0.0470
14_national,datawig,22,0.9364 ± 0.0000,0.2615 ± 0.0459
14_national,datawig,23,0.9276 ± 0.0000,0.2592 ± 0.0462
14_national,datawig,24,0.9342 ± 0.0000,0.2587 ± 0.0453
14_national,datawig,25,0.9276 ± 0.0000,0.2612 ± 0.0461
14_national,datawig,26,0.9298 ± 0.0000,0.2611 ± 0.0452
14_national,datawig,27,0.9123 ± 0.0000,0.2620 ± 0.0446
14_national,datawig,28,0.8969 ± 0.0000,0.2632 ± 0.0442
14_national,datawig,29,0.9167 ± 0.0000,0.2637 ± 0.0435
14_national,datawig,30,0.9211 ± 0.0000,0.2629 ± 0.0431
