Dataset,method,Experiment,Accuracy,RMSE
12_darwin,knn,24,0.8197 ± 0.0000,7.1420 ± 0.8430
12_darwin,knn,25,0.8197 ± 0.0000,7.1326 ± 0.8272
12_darwin,knn,26,0.7213 ± 0.0000,7.1586 ± 0.8215
12_darwin,knn,27,0.7049 ± 0.0000,7.2207 ± 0.8660
12_darwin,knn,28,0.7213 ± 0.0000,7.2117 ± 0.8517
12_darwin,knn,29,0.7049 ± 0.0000,7.2174 ± 0.8374
12_darwin,knn,30,0.7705 ± 0.0000,7.1982 ± 0.8298
12_darwin,zero,1,0.7705 ± 0.0000,43.4488 ± 0.0000
12_darwin,zero,2,0.6885 ± 0.0000,40.7009 ± 2.7479
12_darwin,zero,3,0.7541 ± 0.0000,41.0524 ± 2.2980
12_darwin,zero,4,0.6885 ± 0.0000,41.7549 ± 2.3326
12_darwin,zero,5,0.6885 ± 0.0000,41.5321 ± 2.1334
12_darwin,zero,6,0.7049 ± 0.0000,41.8568 ± 2.0784
12_darwin,zero,7,0.6557 ± 0.0000,42.4557 ± 2.4197
12_darwin,zero,8,0.7049 ± 0.0000,42.6939 ± 2.3495
12_darwin,zero,9,0.7049 ± 0.0000,42.4613 ± 2.3107
12_darwin,zero,10,0.5574 ± 0.0000,41.7647 ± 3.0286
12_darwin,zero,11,0.5902 ± 0.0000,41.8763 ± 2.9092
12_darwin,zero,12,0.6230 ± 0.0000,41.8039 ± 2.7956
12_darwin,zero,13,0.6557 ± 0.0000,41.5927 ± 2.7838
12_darwin,zero,14,0.7541 ± 0.0000,41.6271 ± 2.6854
12_darwin,zero,15,0.5738 ± 0.0000,41.6872 ± 2.6041
12_darwin,zero,16,0.5246 ± 0.0000,41.3370 ± 2.8631
12_darwin,zero,17,0.5902 ± 0.0000,41.1366 ± 2.8910
12_darwin,zero,18,0.7541 ± 0.0000,41.6822 ± 3.5991
12_darwin,zero,19,0.6557 ± 0.0000,41.4855 ± 3.6011
12_darwin,zero,20,0.6066 ± 0.0000,41.5104 ± 3.5116
12_darwin,zero,21,0.7377 ± 0.0000,41.3930 ± 3.4669
12_darwin,zero,22,0.6393 ± 0.0000,41.3975 ± 3.3873
12_darwin,zero,23,0.6557 ± 0.0000,41.2884 ± 3.3521
12_darwin,zero,24,0.6885 ± 0.0000,41.2752 ± 3.2822
12_darwin,zero,25,0.7213 ± 0.0000,41.3537 ± 3.2387
12_darwin,zero,26,0.6230 ± 0.0000,41.4304 ± 3.1989
12_darwin,zero,27,0.7541 ± 0.0000,41.5384 ± 3.1871
12_darwin,zero,28,0.6885 ± 0.0000,41.5607 ± 3.1318
12_darwin,zero,29,0.7213 ± 0.0000,41.5922 ± 3.0818
12_darwin,zero,30,0.7869 ± 0.0000,41.5489 ± 3.0390
