Dataset,method,Experiment,Accuracy,RMSE
20_obesity,datawig,15,0.9433 ± 0.0000,3.0786 ± 0.1628
20_obesity,datawig,16,0.9480 ± 0.0000,3.0866 ± 0.1607
20_obesity,datawig,17,0.9433 ± 0.0000,3.0753 ± 0.1624
20_obesity,datawig,18,0.9480 ± 0.0000,3.0863 ± 0.1641
20_obesity,datawig,19,0.9362 ± 0.0000,3.0752 ± 0.1665
20_obesity,datawig,20,0.9385 ± 0.0000,3.0728 ± 0.1626
20_obesity,datawig,21,0.9480 ± 0.0000,3.0662 ± 0.1614
20_obesity,datawig,22,0.9456 ± 0.0000,3.0615 ± 0.1592
20_obesity,datawig,23,0.9480 ± 0.0000,3.0587 ± 0.1563
20_obesity,datawig,24,0.9669 ± 0.0000,3.0389 ± 0.1800
20_obesity,datawig,25,0.9433 ± 0.0000,3.0291 ± 0.1828
20_obesity,datawig,26,0.9480 ± 0.0000,3.0401 ± 0.1875
20_obesity,datawig,27,0.9456 ± 0.0000,3.0445 ± 0.1853
20_obesity,datawig,28,0.9267 ± 0.0000,3.0478 ± 0.1828
20_obesity,datawig,29,0.9598 ± 0.0000,3.0478 ± 0.1796
20_obesity,datawig,30,0.9527 ± 0.0000,3.0512 ± 0.1776
20_obesity,dynamic,1,0.8463 ± 0.0000,23.0979 ± 0.0000
20_obesity,dynamic,2,0.8558 ± 0.0000,23.2793 ± 0.1814
20_obesity,dynamic,3,0.8818 ± 0.0000,23.4722 ± 0.3104
20_obesity,dynamic,4,0.8818 ± 0.0000,23.4375 ± 0.2754
20_obesity,dynamic,5,0.8771 ± 0.0000,23.4990 ± 0.2753
20_obesity,dynamic,6,0.8723 ± 0.0000,23.4224 ± 0.3041
20_obesity,dynamic,7,0.8723 ± 0.0000,23.3959 ± 0.2889
20_obesity,dynamic,8,0.8747 ± 0.0000,23.4027 ± 0.2709
20_obesity,dynamic,9,0.8818 ± 0.0000,23.4131 ± 0.2571
20_obesity,dynamic,10,0.8842 ± 0.0000,23.4129 ± 0.2439
20_obesity,dynamic,11,0.8818 ± 0.0000,23.4225 ± 0.2345
20_obesity,dynamic,12,0.8842 ± 0.0000,23.4188 ± 0.2248
20_obesity,dynamic,13,0.8747 ± 0.0000,23.4343 ± 0.2226
20_obesity,dynamic,14,0.8676 ± 0.0000,23.4184 ± 0.2221
20_obesity,dynamic,15,0.8652 ± 0.0000,23.4372 ± 0.2258
20_obesity,dynamic,16,0.8889 ± 0.0000,23.4279 ± 0.2216
20_obesity,dynamic,17,0.8794 ± 0.0000,23.4279 ± 0.2150
20_obesity,dynamic,18,0.8652 ± 0.0000,23.4175 ± 0.2133
20_obesity,dynamic,19,0.8842 ± 0.0000,23.4366 ± 0.2229
20_obesity,dynamic,20,0.8700 ± 0.0000,23.4382 ± 0.2174
